Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Northcote,77 Union St,2,h,1634000,SP,Nelson,28/08/2016,5.5,3070,2,1,2,376,109,1920,Darebin City Council,-37.7789,144.9952,Northern Metropolitan,11364
Northcote,51 Beavers Rd,2,h,910000,S,Jellis,30/07/2016,5.5,3070,2,1,1,150,81,1995,Darebin City Council,-37.7665,144.9955,Northern Metropolitan,11364
Northcote,78 Bridge St,4,h,1650000,S,Nelson,30/07/2016,5.5,3070,4,1,1,382,168,1970,Darebin City Council,-37.7784,144.9959,Northern Metropolitan,11364
Northcote,155 Westbourne Gr,3,h,1510000,PI,Jellis,30/07/2016,5.5,3070,3,1,3,327,165,1900,Darebin City Council,-37.7741,144.9971,Northern Metropolitan,11364
Oak Park,40 Winifred St,4,h,865000,S,Brad,3/12/2016,11.5,3046,4,1,2,696,160,1955,Moreland City Council,-37.7209,144.9158,Northern Metropolitan,2651
Oak Park,1/9 Cartwright St,2,u,476000,S,hockingstuart,6/08/2016,11.5,3046,2,1,1,189,85,1995,Moreland City Council,-37.7151,144.9191,Northern Metropolitan,2651
Oak Park,44 Devereaux St,3,h,706000,PI,Eview,7/11/2016,11.5,3046,3,1,0,715,111,1960,Moreland City Council,-37.7143,144.9092,Northern Metropolitan,2651
Oak Park,11 Murphy St,4,h,920000,S,Ray,7/11/2016,11.5,3046,4,2,2,780,179,1965,Moreland City Council,-37.7168,144.9171,Northern Metropolitan,2651
Oak Park,4/13 Sylvester St,2,u,522000,S,Stockdale,8/10/2016,11.5,3046,2,1,1,161,91,2012,Moreland City Council,-37.7204,144.9131,Northern Metropolitan,2651
Oak Park,7 Pines Gr,4,h,690000,S,Brad,10/09/2016,11.5,3046,3,1,1,553,137,1960,Moreland City Council,-37.7161,144.9165,Northern Metropolitan,2651
Oak Park,1/22 Lex Gr,3,t,770000,S,Brad,11/02/2017,11.5,3046,3,2,2,272,138,2012,Moreland City Council,-37.7182,144.9244,Northern Metropolitan,2651
Oak Park,10 Grevillia Rd,5,h,1100000,PI,Nelson,12/11/2016,11.5,3046,5,2,4,783,223,1950,Moreland City Council,-37.7207,144.9263,Northern Metropolitan,2651
Oak Park,2/8 Gregory St,2,t,475000,PI,Barry,15/10/2016,11.5,3046,2,1,1,118,113,2010,Moreland City Council,-37.7232,144.9154,Northern Metropolitan,2651
Oak Park,5/25 Ethel St,3,u,651000,S,Nelson,16/07/2016,11.5,3046,3,2,2,198,113,2009,Moreland City Council,-37.722,144.9169,Northern Metropolitan,2651
Oak Park,96 Winifred St,3,h,815500,S,Brad,16/07/2016,11.5,3046,3,2,2,790,165,1940,Moreland City Council,-37.718,144.9124,Northern Metropolitan,2651
Oak Park,1 Jacaranda St,3,h,770000,S,Stockdale,17/09/2016,11.5,3046,3,2,2,382,173,1960,Moreland City Council,-37.7152,144.9165,Northern Metropolitan,2651
Oak Park,4/29 Margaret St,2,t,585500,S,Eview,18/03/2017,11.5,3046,2,1,1,161,86,2013,Moreland City Council,-37.7218,144.9188,Northern Metropolitan,2651
Oak Park,40 Devereaux St,4,h,840000,SP,Nelson,18/06/2016,11.5,3046,4,1,2,704,196,1960,Moreland City Council,-37.7143,144.9096,Northern Metropolitan,2651
Oak Park,2/16 Winifred St,2,u,470000,VB,Barry,22/05/2016,11.5,3046,2,1,1,138,76,2009,Moreland City Council,-37.7209,144.9179,Northern Metropolitan,2651
Oak Park,100 Winifred St,3,h,810000,SP,Brad,22/08/2016,11.5,3046,3,1,3,763,93,1960,Moreland City Council,-37.7178,144.9121,Northern Metropolitan,2651
Oak Park,68 Vincent St,4,h,855333,S,Eview,28/08/2016,11.5,3046,4,1,2,694,183,1974,Moreland City Council,-37.718,144.9138,Northern Metropolitan,2651
Oak Park,11 Hillcrest Rd,5,h,900000,VB,Brad,30/07/2016,11.5,3046,5,2,2,568,260,1995,Moreland City Council,-37.7129,144.9253,Northern Metropolitan,2651
Oakleigh South,16 Alleford St,3,h,875000,S,Buxton,4/03/2017,14.7,3167,3,2,1,258,105,1999,Kingston City Council,-37.9156,145.0879,South-Eastern Metropolitan,3692
Oakleigh South,2/1073 Centre Rd,4,h,651000,PI,Woodards,7/05/2016,14.7,3167,4,2,2,214,189,2010,Kingston City Council,-37.9244,145.0883,South-Eastern Metropolitan,3692
Oakleigh South,14 Columbia St,3,h,802000,S,Ray,8/10/2016,14.7,3167,1,1,2,533,120,1960,Kingston City Council,-37.9348,145.0836,South-Eastern Metropolitan,3692
Oakleigh South,4 Cascade St,5,h,900000,S,Ray,11/02/2017,14.7,3167,5,2,2,558,239,1987,Kingston City Council,-37.9366,145.0954,South-Eastern Metropolitan,3692
Oakleigh South,8 Riley St,3,h,1000000,S,Ray,12/11/2016,14.7,3167,3,2,2,575,120,1960,Kingston City Council,-37.9215,145.0925,South-Eastern Metropolitan,3692
Oakleigh South,7 Robyn Ct,4,h,801347,SP,Buxton,16/07/2016,14.7,3167,4,2,1,567,164,1970,Kingston City Council,-37.9361,145.0816,South-Eastern Metropolitan,3692
Oakleigh South,9 Emerald St,3,h,921000,S,hockingstuart,18/03/2017,14.7,3167,3,1,2,535,129,1970,Kingston City Council,-37.9377,145.0856,South-Eastern Metropolitan,3692
Oakleigh South,1172 North Rd,6,h,1900000,S,Harcourts,18/03/2017,14.7,3167,6,2,6,1200,181,1970,Kingston City Council,-37.9099,145.0875,South-Eastern Metropolitan,3692
Oakleigh South,1/19 Dermot St,2,h,752500,SP,Buxton,18/06/2016,14.7,3167,2,1,1,308,112,1950,Kingston City Council,-37.9191,145.0855,South-Eastern Metropolitan,3692
Oakleigh South,107 Golf Rd,3,h,1067000,S,Woodards,25/02/2017,14.7,3167,3,1,2,648,122,1940,Kingston City Council,-37.9196,145.0876,South-Eastern Metropolitan,3692
Oakleigh South,28 Devoy St,3,h,1260500,S,Buxton,26/07/2016,14.7,3167,3,1,1,774,107,1950,Kingston City Council,-37.9178,145.0872,South-Eastern Metropolitan,3692
Oakleigh South,15 Druitt St,3,h,850500,S,Buxton,27/11/2016,14.7,3167,3,1,2,531,118,1962,Kingston City Council,-37.9303,145.082,South-Eastern Metropolitan,3692
Oakleigh South,22 Pitt St,3,h,1068000,S,Ray,27/11/2016,14.7,3167,3,2,2,609,172,1970,Kingston City Council,-37.9213,145.0854,South-Eastern Metropolitan,3692
Oakleigh South,20 Vanessa Ct,4,h,937500,SP,Greg,28/05/2016,14.7,3167,4,2,2,539,226,1993,Kingston City Council,-37.9413,145.0957,South-Eastern Metropolitan,3692
Oakleigh South,15 Yarra Ct,4,h,1126000,S,Buxton,28/08/2016,14.7,3167,4,2,2,530,242,1980,Kingston City Council,-37.935,145.083,South-Eastern Metropolitan,3692
Oakleigh South,19 Reid St,2,h,778000,S,Ray,30/07/2016,14.7,3167,2,1,1,806,89,1965,Kingston City Council,-37.9112,145.0873,South-Eastern Metropolitan,3692
Parkville,50 Strickland Rd,4,h,1230000,S,Nelson,3/09/2016,2.6,3052,4,2,2,357,249,2009,Melbourne City Council,-37.7767,144.9403,Northern Metropolitan,2309
Parkville,92 Fitzgibbon St,2,h,1805000,S,Collins,8/10/2016,2.6,3052,2,1,1,187,102,1890,Melbourne City Council,-37.7939,144.9572,Northern Metropolitan,2309
Parkville,152 Park Dr,2,h,2200000,S,Collins,15/10/2016,2.6,3052,2,2,1,190,172,1875,Melbourne City Council,-37.7928,144.9575,Northern Metropolitan,2309
Parkville,199 Park Dr,2,h,1265000,S,Nelson,19/11/2016,2.6,3052,2,1,0,70,102,1890,Melbourne City Council,-37.7931,144.9565,Northern Metropolitan,2309
Parkville,110 Gatehouse St,4,h,1928000,S,Jellis,24/09/2016,2.6,3052,4,1,0,194,186,1890,Melbourne City Council,-37.7944,144.9542,Northern Metropolitan,2309
Parkville,12/196 The Avenue,1,u,526000,SP,Nelson,25/02/2017,2.6,3052,1,1,1,2488,50,1995,Melbourne City Council,-37.7829,144.9574,Northern Metropolitan,2309
Parkville,187 Park Dr,3,h,2236000,S,Collins,27/06/2016,2.6,3052,4,2,1,154,196,1890,Melbourne City Council,-37.7934,144.9562,Northern Metropolitan,2309
Parkville,28/238 The Avenue,3,u,1403000,S,Nelson,27/11/2016,2.6,3052,3,2,2,2401,132,1980,Melbourne City Council,-37.7818,144.9576,Northern Metropolitan,2309
Pascoe Vale,9 Irvine St,3,h,1120000,S,Brad,3/09/2016,9.9,3044,2,1,2,50,141,1950,Moreland City Council,-37.734,144.9416,Northern Metropolitan,7485
Pascoe Vale,7 Virginia St,3,h,770000,S,Nelson,3/09/2016,9.9,3044,3,1,4,560,120,1960,Moreland City Council,-37.7156,144.9429,Northern Metropolitan,7485
Pascoe Vale,27 Quick St,4,h,975000,S,Brad,3/12/2016,9.9,3044,4,1,1,733,159,1960,Moreland City Council,-37.7194,144.9307,Northern Metropolitan,7485
Pascoe Vale,23 Alexandra St,3,h,780000,S,Brad,4/03/2017,9.9,3044,3,1,1,446,115,1950,Moreland City Council,-37.7181,144.9422,Northern Metropolitan,7485
Pascoe Vale,5/10 Dorset Rd,3,u,600000,S,Nelson,4/03/2017,9.9,3044,3,1,1,204,124,2008,Moreland City Council,-37.7234,144.9497,Northern Metropolitan,7485
Pascoe Vale,16 Stennis St,4,h,955000,S,Nelson,4/03/2017,9.9,3044,4,2,2,686,135,1950,Moreland City Council,-37.731,144.9486,Northern Metropolitan,7485
Pascoe Vale,31 Zenith St,4,h,1196000,S,Nelson,4/03/2017,9.9,3044,4,2,2,559,281,1997,Moreland City Council,-37.7236,144.9347,Northern Metropolitan,7485
Pascoe Vale,24 Alexandra St,3,h,731000,S,Brad,4/06/2016,9.9,3044,3,1,2,568,111,1960,Moreland City Council,-37.7178,144.9422,Northern Metropolitan,7485
Pascoe Vale,2/22 Joffre Rd,3,u,585000,S,Jellis,6/08/2016,9.9,3044,3,1,1,180,98,2009,Moreland City Council,-37.718,144.94,Northern Metropolitan,7485
Pascoe Vale,2/58 Railway Pde,2,t,480000,PI,Nelson,6/08/2016,9.9,3044,2,1,1,113,94,1988,Moreland City Council,-37.7269,144.9274,Northern Metropolitan,7485
Pascoe Vale,1/94 Railway Pde,4,t,605000,PI,Brad,6/08/2016,9.9,3044,4,2,1,215,157,1990,Moreland City Council,-37.7247,144.9257,Northern Metropolitan,7485
Pascoe Vale,2 Donnelly Ct,3,h,738000,SP,Brad,7/05/2016,9.9,3044,3,1,1,821,106,1974,Moreland City Council,-37.7153,144.9418,Northern Metropolitan,7485
Pascoe Vale,9/12 Pascoe St,2,h,386000,S,D'Aprano,7/05/2016,9.9,3044,2,1,1,111,67,1987,Moreland City Council,-37.7152,144.9349,Northern Metropolitan,7485
Pascoe Vale,5/19 Raeburn St,2,u,452000,S,hockingstuart,7/05/2016,9.9,3044,2,1,1,159,87,1990,Moreland City Council,-37.7291,144.9446,Northern Metropolitan,7485
Pascoe Vale,3/30 Snell Gr,3,h,522500,S,Raine,7/05/2016,9.9,3044,3,1,1,192,121,2005,Moreland City Council,-37.7177,144.9321,Northern Metropolitan,7485
Pascoe Vale,60 Kent Rd,2,h,741000,S,Raine,7/11/2016,9.9,3044,2,1,2,520,300,2006,Moreland City Council,-37.7204,144.9446,Northern Metropolitan,7485
Pascoe Vale,1c Hazel Gr,2,t,530000,SP,hockingstuart,8/10/2016,9.9,3044,2,1,1,156,98,2004,Moreland City Council,-37.7311,144.9395,Northern Metropolitan,7485
Pascoe Vale,9 Kevin St,3,h,815000,S,Brad,8/10/2016,9.9,3044,2,1,1,438,94,1960,Moreland City Council,-37.7338,144.9441,Northern Metropolitan,7485
Pascoe Vale,34 Essex St,3,h,775000,S,Brad,10/09/2016,9.9,3044,3,1,1,406,103,1960,Moreland City Council,-37.7269,144.9447,Northern Metropolitan,7485
Pascoe Vale,16 Hayes Pde,5,h,950000,VB,Nelson,10/12/2016,9.9,3044,5,2,2,705,166,1950,Moreland City Council,-37.7328,144.9281,Northern Metropolitan,7485
Pascoe Vale,54 Railway Pde,3,h,900000,S,Brad,10/12/2016,9.9,3044,3,1,1,570,139,1950,Moreland City Council,-37.7273,144.9274,Northern Metropolitan,7485
Pascoe Vale,22 Derby St,3,h,835000,PI,Nelson,12/11/2016,9.9,3044,3,1,2,422,132,1950,Moreland City Council,-37.7337,144.9458,Northern Metropolitan,7485
Pascoe Vale,1/5 Farringdon St,3,t,790000,S,Brad,12/11/2016,9.9,3044,3,3,1,291,175,2009,Moreland City Council,-37.7271,144.9261,Northern Metropolitan,7485
Pascoe Vale,229 Sussex St,4,h,810000,VB,Nelson,12/11/2016,9.9,3044,4,2,1,455,147,1950,Moreland City Council,-37.7207,144.9511,Northern Metropolitan,7485
Pascoe Vale,4/37 Arndt Rd,2,t,500000,VB,Brad,13/08/2016,9.9,3044,2,1,1,147,109,2012,Moreland City Council,-37.7209,144.93,Northern Metropolitan,7485
Pascoe Vale,2/60 Bolingbroke St,2,u,485000,S,Brad,13/08/2016,9.9,3044,2,1,1,139,74,1975,Moreland City Council,-37.7315,144.9301,Northern Metropolitan,7485
Pascoe Vale,1/30 Archibald St,2,u,488000,S,Nelson,14/05/2016,9.9,3044,3,1,2,219,84,2001,Moreland City Council,-37.7283,144.9331,Northern Metropolitan,7485
Pascoe Vale,199 Cumberland Rd,3,h,900000,SP,Nelson,14/05/2016,9.9,3044,3,2,2,608,168,1940,Moreland City Council,-37.7182,144.9405,Northern Metropolitan,7485
Pascoe Vale,6 Merbein St,2,h,680000,PI,hockingstuart,14/05/2016,9.9,3044,2,1,2,590,95,1940,Moreland City Council,-37.717,144.9509,Northern Metropolitan,7485
Pascoe Vale,2/6 Devon Rd,3,t,590000,PI,Nelson,15/10/2016,9.9,3044,3,2,2,191,142,2000,Moreland City Council,-37.7223,144.9315,Northern Metropolitan,7485
Pascoe Vale,7 Dorothy St,3,h,770000,SP,Barry,15/10/2016,9.9,3044,3,1,3,464,124,1955,Moreland City Council,-37.7184,144.9488,Northern Metropolitan,7485
Pascoe Vale,27 Sefton St,3,h,975000,SP,Brad,15/10/2016,9.9,3044,3,1,3,686,151,1970,Moreland City Council,-37.7231,144.9252,Northern Metropolitan,7485
Pascoe Vale,109 Derby St,4,h,970000,S,Nelson,16/04/2016,9.9,3044,3,2,1,535,154,1920,Moreland City Council,-37.7282,144.9462,Northern Metropolitan,7485
Pascoe Vale,101 Northumberland Rd,3,t,600000,S,Eview,17/09/2016,9.9,3044,3,3,1,205,107,1940,Moreland City Council,-37.7212,144.9326,Northern Metropolitan,7485
Pascoe Vale,2/42 Railway Pde,2,t,510000,S,D'Aprano,17/09/2016,9.9,3044,2,1,1,110,91,2013,Moreland City Council,-37.7282,144.928,Northern Metropolitan,7485
Pascoe Vale,282 Cumberland Rd,3,h,750000,SP,hockingstuart,18/03/2017,9.9,3044,3,2,2,540,146,1999,Moreland City Council,-37.7174,144.941,Northern Metropolitan,7485
Pascoe Vale,48 Derby St,4,h,822000,SP,hockingstuart,18/03/2017,9.9,3044,4,2,2,250,194,1983,Moreland City Council,-37.7319,144.9461,Northern Metropolitan,7485
Pascoe Vale,8/16 Pascoe St,3,t,430000,VB,Trimson,18/06/2016,9.9,3044,3,2,1,146,106,2006,Moreland City Council,-37.7152,144.9346,Northern Metropolitan,7485
Pascoe Vale,7 Coane St,4,h,1350000,PI,Nelson,19/11/2016,9.9,3044,4,2,2,646,287,1995,Moreland City Council,-37.7256,144.9383,Northern Metropolitan,7485
Pascoe Vale,6 Collings Ct,2,h,810000,S,Brad,22/05/2016,9.9,3044,2,1,1,783,94,1950,Moreland City Council,-37.7196,144.9485,Northern Metropolitan,7485
Pascoe Vale,30 Downs St,2,t,550500,S,Nelson,22/05/2016,9.9,3044,2,1,2,135,100,2012,Moreland City Council,-37.7242,144.9411,Northern Metropolitan,7485
Pascoe Vale,1/10 Callander Rd,2,t,610000,S,Ray,22/08/2016,9.9,3044,2,1,1,169,109,1995,Moreland City Council,-37.7186,144.9306,Northern Metropolitan,7485
Pascoe Vale,4/143 Sussex St,3,u,533000,SP,Brad,22/08/2016,9.9,3044,3,2,2,197,111,2007,Moreland City Council,-37.7266,144.9496,Northern Metropolitan,7485
Pascoe Vale,3/191 Sussex St,2,t,410000,VB,Brad,23/04/2016,9.9,3044,2,1,1,105,88,2014,Moreland City Council,-37.7233,144.9507,Northern Metropolitan,7485
Pascoe Vale,5 Virginia St,3,h,600000,PI,Re,23/04/2016,9.9,3044,3,1,4,557,111,1955,Moreland City Council,-37.7156,144.94299999999998,Northern Metropolitan,7485
Pascoe Vale,2a Kent Rd,3,h,616000,S,Nelson,24/09/2016,9.9,3044,3,1,1,190,108,1970,Moreland City Council,-37.7211,144.9508,Northern Metropolitan,7485
Pascoe Vale,12 Coane St,3,h,960000,S,hockingstuart,25/02/2017,9.9,3044,3,1,2,641,111,1950,Moreland City Council,-37.7253,144.938,Northern Metropolitan,7485
Pascoe Vale,95 Essex St,4,h,985000,SP,Ray,25/02/2017,9.9,3044,4,2,2,511,182,2007,Moreland City Council,-37.7268,144.9401,Northern Metropolitan,7485
Pascoe Vale,272 Sussex St,3,h,670000,S,hockingstuart,25/02/2017,9.9,3044,3,1,1,596,145,1949,Moreland City Council,-37.721,144.9514,Northern Metropolitan,7485
Pascoe Vale,4/47 Surrey St,4,t,665000,SP,New,26/07/2016,9.9,3044,4,2,2,148,141,2001,Moreland City Council,-37.7231,144.9482,Northern Metropolitan,7485
Pascoe Vale,17 Prospect St,3,h,880000,S,Nelson,27/06/2016,9.9,3044,3,2,2,588,106,1960,Moreland City Council,-37.7283,144.9356,Northern Metropolitan,7485
Pascoe Vale,4 Raeburn St,3,h,700000,S,Nelson,27/06/2016,9.9,3044,3,1,2,449,104,1950,Moreland City Council,-37.7286,144.9456,Northern Metropolitan,7485
Pascoe Vale,2/36 Alpine Gr,3,t,600000,VB,hockingstuart,27/11/2016,9.9,3044,3,2,1,122,139,1998,Moreland City Council,-37.7231,144.9373,Northern Metropolitan,7485
Pascoe Vale,103 Sussex St,2,h,1570000,S,Barry,27/11/2016,9.9,3044,2,1,1,746,265,1950,Moreland City Council,-37.7304,144.9496,Northern Metropolitan,7485
Pascoe Vale,2/153 Essex St,2,h,525500,S,Considine,28/05/2016,9.9,3044,2,1,1,111,84,2000,Moreland City Council,-37.7261,144.9336,Northern Metropolitan,7485
Pascoe Vale,259 Sussex St,3,h,612500,S,Brad,28/05/2016,9.9,3044,3,1,1,522,132,1950,Moreland City Council,-37.7187,144.9514,Northern Metropolitan,7485
Pascoe Vale,4/305 Cumberland Rd,1,u,248500,S,Brad,28/08/2016,9.9,3044,1,1,1,49,49,1970,Moreland City Council,-37.7152,144.9402,Northern Metropolitan,7485
Pascoe Vale,130 Essex St,3,h,960000,S,Brad,28/08/2016,9.9,3044,3,2,2,501,501,1960,Moreland City Council,-37.7258,144.9347,Northern Metropolitan,7485
Pascoe Vale,12 Derby St,4,h,650000,SP,Nelson,30/07/2016,9.9,3044,4,1,2,410,141,1940,Moreland City Council,-37.7346,144.9456,Northern Metropolitan,7485
Pascoe Vale,4/1 Rhodes Pde,3,h,500000,VB,hockingstuart,30/07/2016,9.9,3044,3,1,2,191,92,2013,Moreland City Council,-37.7168,144.9329,Northern Metropolitan,7485
Pascoe Vale,217 Sussex St,3,h,599000,SP,Ray,30/07/2016,9.9,3044,3,1,1,534,100,1950,Moreland City Council,-37.7215,144.951,Northern Metropolitan,7485
Port Melbourne,40 Nelson St,3,h,1150000,S,Marshall,3/12/2016,3.8,3207,3,2,1,0,134,1990,Melbourne City Council,-37.8359,144.9342,Southern Metropolitan,8648
Port Melbourne,130 Nott St,3,h,985000,S,Marshall,3/12/2016,3.8,3207,3,1,0,171,167,1890,Melbourne City Council,-37.8385,144.9409,Southern Metropolitan,8648
Port Melbourne,106/216 Rouse St,3,u,1200000,SP,Wilson,3/12/2016,3.8,3207,3,2,2,0,139,2012,Melbourne City Council,-37.841,144.9379,Southern Metropolitan,8648
Port Melbourne,175 Stokes St,3,h,2200000,S,Greg,3/12/2016,3.8,3207,3,2,0,250,280,1863,Melbourne City Council,-37.8381,144.9391,Southern Metropolitan,8648
Port Melbourne,366 Williamstown Rd,4,h,2105000,S,Cayzer,3/12/2016,3.8,3207,4,2,3,611,181,1940,Melbourne City Council,-37.8349,144.9266,Southern Metropolitan,8648
Port Melbourne,404/101 Bay St,2,u,550000,S,Buxton,4/02/2016,3.8,3207,2,1,1,0,57,2012,Melbourne City Council,-37.8408,144.94,Southern Metropolitan,8648
Port Melbourne,66 Dunstan Pde,4,h,1915000,S,Marshall,4/03/2017,3.8,3207,4,3,1,323,237,1935,Melbourne City Council,-37.8371,144.921,Southern Metropolitan,8648
Port Melbourne,22 Park Sq,3,h,1630000,S,Marshall,4/03/2017,3.8,3207,3,2,2,135,135,1997,Melbourne City Council,-37.8395,144.9343,Southern Metropolitan,8648
Port Melbourne,467 Bay St,2,h,1000000,S,Marshall,4/06/2016,3.8,3207,2,2,0,96,108,1890,Melbourne City Council,-37.8327,144.9474,Southern Metropolitan,8648
Port Melbourne,89 Cruikshank St,3,h,1470000,S,Marshall,4/06/2016,3.8,3207,3,1,0,153,109,1880,Melbourne City Council,-37.8382,144.9469,Southern Metropolitan,8648
Port Melbourne,212/50 Dow St,2,u,725000,VB,Cayzer,4/06/2016,3.8,3207,2,2,2,0,87,2010,Melbourne City Council,-37.8431,144.9403,Southern Metropolitan,8648
Port Melbourne,2/2 Graham St,2,u,600000,VB,Greg,4/06/2016,3.8,3207,2,1,1,0,74,2005,Melbourne City Council,-37.8424,144.9449,Southern Metropolitan,8648
Port Melbourne,164 Liardet St,3,h,1342000,S,Chisholm,4/06/2016,3.8,3207,3,2,2,173,137,1900,Melbourne City Council,-37.8375,144.941,Southern Metropolitan,8648
Port Melbourne,510/166 Rouse St,1,u,500000,S,Greg,4/06/2016,3.8,3207,1,1,1,0,60,2006,Melbourne City Council,-37.8416,144.939,Southern Metropolitan,8648
Port Melbourne,304/38 Nott St,2,u,795000,S,Cayzer,6/08/2016,3.8,3207,2,2,1,579,84,2013,Melbourne City Council,-37.8416,144.9381,Southern Metropolitan,8648
Port Melbourne,130/70 Nott St,2,u,590000,VB,Marshall,6/08/2016,3.8,3207,2,2,1,0,70,2012,Melbourne City Council,-37.8404,144.9391,Southern Metropolitan,8648
Port Melbourne,6/157 Beach St,2,u,1100000,SP,Cayzer,7/05/2016,3.8,3207,2,2,1,0,110,2006,Melbourne City Council,-37.8392,144.9257,Southern Metropolitan,8648
Port Melbourne,218 Nott St,2,h,1275000,S,Marshall,7/05/2016,3.8,3207,2,2,1,115,115,2015,Melbourne City Council,-37.8351,144.9441,Southern Metropolitan,8648
Port Melbourne,106 Ross St,2,h,1000000,VB,Marshall,7/05/2016,3.8,3207,2,1,1,90,106,2007,Melbourne City Council,-37.8357,144.9376,Southern Metropolitan,8648
Port Melbourne,255 Ross St,4,h,1820000,S,Marshall,7/11/2016,3.8,3207,4,2,1,212,158,1900,Melbourne City Council,-37.8331,144.9412,Southern Metropolitan,8648
Port Melbourne,4/200 Bay St,2,u,655000,S,Biggin,10/09/2016,3.8,3207,2,2,1,0,83,2000,Melbourne City Council,-37.8392,144.9421,Southern Metropolitan,8648
Port Melbourne,44 Cruikshank St,2,h,1350000,S,RT,10/09/2016,3.8,3207,2,1,1,195,94,1900,Melbourne City Council,-37.8395,144.9462,Southern Metropolitan,8648
Port Melbourne,95 Heath St,3,h,1560000,S,Greg,10/09/2016,3.8,3207,3,2,2,241,131,1900,Melbourne City Council,-37.8346,144.9448,Southern Metropolitan,8648
Port Melbourne,172 Albert St,2,h,1060000,S,hockingstuart,10/12/2016,3.8,3207,2,1,0,106,70,1910,Melbourne City Council,-37.8346,144.9373,Southern Metropolitan,8648
Port Melbourne,405/155 Beach St,2,u,1610000,S,Kay,10/12/2016,3.8,3207,2,2,2,0,104,2007,Melbourne City Council,-37.8392,144.9257,Southern Metropolitan,8648
Port Melbourne,243 Graham St,2,h,1101000,S,Cayzer,10/12/2016,3.8,3207,2,1,0,152,71,1910,Melbourne City Council,-37.8393,144.9386,Southern Metropolitan,8648
Port Melbourne,2/8 Thomas St,2,h,880000,S,Greg,10/12/2016,3.8,3207,2,1,2,163,83,1980,Melbourne City Council,-37.8359,144.9358,Southern Metropolitan,8648
Port Melbourne,8 Garton St,2,h,1080000,S,Scott,12/11/2016,3.8,3207,2,1,0,105,70,1910,Melbourne City Council,-37.8338,144.9474,Southern Metropolitan,8648
Port Melbourne,205 Heath St,2,h,1115000,S,Chisholm,12/11/2016,3.8,3207,2,1,0,120,76,1900,Melbourne City Council,-37.8322,144.947,Southern Metropolitan,8648
Port Melbourne,413/54 Nott St,2,u,516000,SP,Cayzer,12/11/2016,3.8,3207,2,1,1,0,70,2004,Melbourne City Council,-37.8407,144.9389,Southern Metropolitan,8648
Port Melbourne,75 Swallow St,3,h,1753000,S,Frank,12/11/2016,3.8,3207,3,2,1,225,153,1910,Melbourne City Council,-37.8381,144.9329,Southern Metropolitan,8648
Port Melbourne,39 Heath St,2,h,900000,SP,Cayzer,14/05/2016,3.8,3207,2,1,0,124,70,1900,Melbourne City Council,-37.8356,144.9439,Southern Metropolitan,8648
Port Melbourne,146 Dow St,5,h,2350000,S,hockingstuart,15/10/2016,3.8,3207,5,1,2,350,173,1890,Melbourne City Council,-37.8407,144.9424,Southern Metropolitan,8648
Port Melbourne,59 Heath St,3,h,1670000,S,Greg,16/04/2016,3.8,3207,3,2,1,140,169,1880,Melbourne City Council,-37.8353,144.9442,Southern Metropolitan,8648
Port Melbourne,180 Station St,3,h,1402000,S,RT,16/07/2016,3.8,3207,3,1,0,108,106,1900,Melbourne City Council,-37.8332,144.945,Southern Metropolitan,8648
Port Melbourne,9 The Cove,3,h,1570000,S,Biggin,17/09/2016,3.8,3207,3,2,1,210,211,1999,Melbourne City Council,-37.8382,144.9272,Southern Metropolitan,8648
Port Melbourne,95 Station St,2,h,1150000,S,Marshall,18/03/2017,3.8,3207,2,1,0,82,90,1910,Melbourne City Council,-37.8361,144.9403,Southern Metropolitan,8648
Port Melbourne,230 Nott St,3,h,1384000,S,Marshall,18/06/2016,3.8,3207,3,1,0,184,100,1905,Melbourne City Council,-37.8348,144.9443,Southern Metropolitan,8648
Port Melbourne,309/166 Rouse St,2,u,655000,S,Cayzer,18/06/2016,3.8,3207,2,1,1,0,86,2006,Melbourne City Council,-37.8416,144.939,Southern Metropolitan,8648
Port Melbourne,503/99 Nott St,1,u,456000,SP,Jellis,19/11/2016,3.8,3207,1,1,1,0,63,2007,Melbourne City Council,-37.8405,144.9385,Southern Metropolitan,8648
Port Melbourne,410/54 Nott St,2,u,520000,S,hockingstuart,22/05/2016,3.8,3207,1,1,1,0,70,2005,Melbourne City Council,-37.8407,144.9389,Southern Metropolitan,8648
Port Melbourne,405/1 Danks St W,1,u,470000,SP,LITTLE,22/08/2016,3.8,3207,1,1,1,0,62,2000,Melbourne City Council,-37.8436,144.944,Southern Metropolitan,8648
Port Melbourne,4/190 Graham St,2,u,600000,VB,RT,22/08/2016,3.8,3207,2,1,1,0,72,1996,Melbourne City Council,-37.8398,144.9404,Southern Metropolitan,8648
Port Melbourne,1/3 Liardet St,2,u,670000,S,Biggin,22/08/2016,3.8,3207,2,1,1,0,71,2006,Melbourne City Council,-37.8424,144.9449,Southern Metropolitan,8648
Port Melbourne,98 Heath St,2,h,1400000,S,Marshall,25/02/2017,3.8,3207,2,1,1,168,102,1934,Melbourne City Council,-37.8346,144.9453,Southern Metropolitan,8648
