Suburb,Address,Rooms,Type,Price,Method,Real Estate Agent,Date,Distance,Postcode,Number of Bathroom,number of carpark,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size,Year,Month
Strathmore,18 Strathaird St,4,h,810000,PI,Nelson,2017-05-06,9.7,3041,1,1,543,137,1960,Moonee Valley City Council,-37.7199,144.9044,Western Metropolitan,3284,40,2383,1005,391,2823,0.8,2191,2.6,2017,5
Strathmore,186 Mascoma St,5,h,910000,SP,Brad,2017-04-08,9.7,3041,2,2,533,204,1965,Moonee Valley City Council,-37.7189,144.9044,Western Metropolitan,3284,40,2383,1005,391,2823,0.8,2191,2.6,2017,4
Strathmore Heights,7 Caravelle Cr,3,h,1000000,S,Considine,2017-08-19,8.2,3041,1,2,534,149,1960,Moonee Valley City Council,-37.711059999999996,144.89427,Western Metropolitan,389,40,2383,1005,391,2823,0.8,2191,2.6,2017,8
Essendon North,10A Salisbury St,3,h,820000,S,Nelson,2017-11-18,8.2,3041,2,2,337,153,1940,Moonee Valley City Council,-37.7362,144.9022,Western Metropolitan,1308,40,2383,1005,391,2823,0.8,2191,2.6,2017,11
Fitzroy,199 Moor St,1,h,947500,S,Nelson,2016-11-07,1.6,3065,1,0,87,66,1980,Yarra City Council,-37.8019,144.9821,Northern Metropolitan,5825,35,2500,1265,451,3072,1.0,2194,2.0,2016,11
Fitzroy,116 Leicester St,2,h,800000,VB,Harrington,2016-06-27,1.6,3065,2,1,64,138,1995,Yarra City Council,-37.7956,144.9804,Northern Metropolitan,5825,35,2500,1265,451,3072,1.0,2194,2.0,2016,6
Flemington,107 Shields St,2,h,918000,S,Nelson,2016-09-10,4.4,3031,1,0,136,78,1900,Melbourne City Council,-37.7839,144.9343,Northern Metropolitan,3593,35,2119,1106,361,2750,0.9,1947,2.1,2016,9
Flemington,21 Wisewould St,2,h,855000,SP,Nelson,2016-12-10,4.4,3031,1,0,225,85,1930,Melbourne City Council,-37.7849,144.9197,Northern Metropolitan,3593,35,2119,1106,361,2750,0.9,1947,2.1,2016,12
Kensington,65 Gatehouse Dr,3,h,852000,S,Nelson,2016-09-03,4.2,3031,1,1,166,138,2000,Melbourne City Council,-37.7929,144.9197,Northern Metropolitan,5263,35,2119,1106,361,2750,0.9,1947,2.1,2016,9
Kensington,10 Altona St,2,h,905000,S,Edward,2016-10-08,4.2,3031,2,1,138,126,1999,Melbourne City Council,-37.799,144.9276,Northern Metropolitan,5263,35,2119,1106,361,2750,0.9,1947,2.1,2016,10
Kensington,70 Hardiman St,2,h,960000,S,Nelson,2016-10-08,4.2,3031,1,1,174,72,1900,Melbourne City Council,-37.7959,144.9343,Northern Metropolitan,5263,35,2119,1106,361,2750,0.9,1947,2.1,2016,10
Kensington,13 Youlden St,3,h,870000,S,Greg,2016-10-08,4.2,3031,1,1,211,95,1992,Melbourne City Council,-37.7891,144.92600000000004,Northern Metropolitan,5263,35,2119,1106,361,2750,0.9,1947,2.1,2016,10
Kensington,32 Epsom Rd,2,h,825000,S,Rendina,2016-05-14,4.2,3031,1,1,211,88,1915,Melbourne City Council,-37.7925,144.9264,Northern Metropolitan,5263,35,2119,1106,361,2750,0.9,1947,2.1,2016,5
Kensington,51 Gatehouse Dr,3,h,1000000,SP,Nelson,2016-11-19,4.2,3031,2,2,211,132,1997,Melbourne City Council,-37.7926,144.9197,Northern Metropolitan,5263,35,2119,1106,361,2750,0.9,1947,2.1,2016,11
Kensington,123 Rankins Rd,2,h,850000,SP,Nelson,2016-09-24,4.2,3031,1,1,169,90,1900,Melbourne City Council,-37.7925,144.9315,Northern Metropolitan,5263,35,2119,1106,361,2750,0.9,1947,2.1,2016,9
Kensington,5 Rogan La,2,h,868000,S,Nelson,2017-02-25,4.2,3031,1,1,97,103,2000,Melbourne City Council,-37.7921,144.9234,Northern Metropolitan,5263,35,2119,1106,361,2750,0.9,1947,2.1,2017,2
Flemington,84 Canterbury St,2,h,953000,S,Biggin,2017-04-08,4.4,3031,1,0,274,103,1930,Melbourne City Council,-37.7813,144.9238,Northern Metropolitan,3593,35,2119,1106,361,2750,0.9,1947,2.1,2017,4
Flemington,143 Victoria St,3,h,940000,S,hockingstuart,2017-04-08,4.4,3031,1,1,320,110,1940,Melbourne City Council,-37.7844,144.9359,Northern Metropolitan,3593,35,2119,1106,361,2750,0.9,1947,2.1,2017,4
Flemington,54 Princes St,3,h,917000,S,Jellis,2017-04-29,4.4,3031,1,0,143,136,1890,Melbourne City Council,-37.7868,144.9336,Northern Metropolitan,3593,35,2119,1106,361,2750,0.9,1947,2.1,2017,4
Kensington,41 Kensington Rd,3,h,902500,S,Rendina,2017-04-22,4.2,3031,1,1,0,125,2003,Melbourne City Council,-37.7954,144.9259,Northern Metropolitan,5263,35,2119,1106,361,2750,0.9,1947,2.1,2017,4
Kensington,53 Rankins Rd,2,h,990000,SP,Nelson,2017-06-03,3.4,3031,1,0,165,105,1930,Melbourne City Council,-37.7902,144.93192,Northern Metropolitan,5263,35,2119,1106,361,2750,0.9,1947,2.1,2017,6
Flemington,8 John St,2,h,990000,S,Nelson,2017-05-27,3.4,3031,1,1,180,82,1900,Melbourne City Council,-37.7839,144.92727,Northern Metropolitan,3593,35,2119,1106,361,2750,0.9,1947,2.1,2017,5
Flemington,127 Princes St,3,h,820000,PI,Jellis,2017-09-09,3.4,3031,1,0,185,98,1900,Melbourne City Council,-37.78449000000001,144.93482,Northern Metropolitan,3593,35,2119,1106,361,2750,0.9,1947,2.1,2017,9
Kensington,10 Market St,4,h,939000,S,Rendina,2017-11-18,3.4,3031,2,1,116,140,2000,Melbourne City Council,-37.7893,144.9274,Northern Metropolitan,5263,35,2119,1106,361,2750,0.9,1947,2.1,2017,11
Footscray,25 Southampton St,3,h,840000,S,Sweeney,2016-12-03,6.4,3011,1,0,164,93,1900,Maribyrnong City Council,-37.7959,144.8863,Western Metropolitan,7570,34,2000,981,369,2474,1.0,1896,2.1,2016,12
Footscray,58 Wolverhampton St,4,h,977000,S,Village,2016-12-03,6.4,3011,2,1,154,161,2007,Maribyrnong City Council,-37.7983,144.8911,Western Metropolitan,7570,34,2000,981,369,2474,1.0,1896,2.1,2016,12
Footscray,8 Buckingham St,3,h,876000,S,Jas,2017-03-04,6.4,3011,2,2,204,106,1990,Maribyrnong City Council,-37.8012,144.8921,Western Metropolitan,7570,34,2000,981,369,2474,1.0,1896,2.1,2017,3
Footscray,8 McCubbin St,3,h,910000,S,Village,2016-08-06,6.4,3011,1,1,361,118,1940,Maribyrnong City Council,-37.7913,144.8879,Western Metropolitan,7570,34,2000,981,369,2474,1.0,1896,2.1,2016,8
Footscray,1/13 Essex St,3,h,853000,S,Village,2016-10-08,6.4,3011,1,1,0,141,2010,Maribyrnong City Council,-37.7962,144.8851,Western Metropolitan,7570,34,2000,981,369,2474,1.0,1896,2.1,2016,10
Footscray,211A Ballarat Rd,2,h,950000,PI,Burnham,2017-02-11,6.4,3011,1,2,657,92,1940,Maribyrnong City Council,-37.7909,144.8884,Western Metropolitan,7570,34,2000,981,369,2474,1.0,1896,2.1,2017,2
Footscray,36 Windsor St,3,h,932000,S,Jas,2016-08-13,6.4,3011,1,1,451,130,1910,Maribyrnong City Council,-37.8023,144.8915,Western Metropolitan,7570,34,2000,981,369,2474,1.0,1896,2.1,2016,8
Footscray,31 Southampton St,3,h,860500,S,Burnham,2016-09-17,6.4,3011,2,2,322,228,1980,Maribyrnong City Council,-37.7963,144.8862,Western Metropolitan,7570,34,2000,981,369,2474,1.0,1896,2.1,2016,9
Footscray,51 Lynch St,2,h,858000,SP,Jas,2016-05-22,6.4,3011,1,1,313,93,1915,Maribyrnong City Council,-37.7966,144.9016,Western Metropolitan,7570,34,2000,981,369,2474,1.0,1896,2.1,2016,5
Footscray,35 Leander St,2,h,835000,SP,Jas,2016-08-22,6.4,3011,1,1,222,109,1920,Maribyrnong City Council,-37.7962,144.8844,Western Metropolitan,7570,34,2000,981,369,2474,1.0,1896,2.1,2016,8
Footscray,24 Dudley St,3,h,850000,SP,Village,2017-02-25,6.4,3011,1,0,190,99,1930,Maribyrnong City Council,-37.795,144.88299999999995,Western Metropolitan,7570,34,2000,981,369,2474,1.0,1896,2.1,2017,2
Footscray,62 Moore St,3,h,980000,S,GL,2016-07-26,6.4,3011,2,2,196,154,2006,Maribyrnong City Council,-37.7987,144.9034,Western Metropolitan,7570,34,2000,981,369,2474,1.0,1896,2.1,2016,7
Footscray,12 Tait St,4,h,815000,PI,Biggin,2016-05-28,6.4,3011,2,1,369,151,1910,Maribyrnong City Council,-37.7914,144.8957,Western Metropolitan,7570,34,2000,981,369,2474,1.0,1896,2.1,2016,5
Seddon,14 Pole St,3,h,970000,S,Jas,2016-12-03,6.6,3011,1,0,137,98,1890,Maribyrnong City Council,-37.8078,144.8972,Western Metropolitan,2417,34,2000,981,369,2474,1.0,1896,2.1,2016,12
Seddon,61 Station Rd,3,h,990000,S,Jas,2016-11-12,6.6,3011,1,0,371,134,1910,Maribyrnong City Council,-37.8066,144.8853,Western Metropolitan,2417,34,2000,981,369,2474,1.0,1896,2.1,2016,11
Seddon,64 Pilgrim St,3,h,880000,SP,Jas,2016-10-15,6.6,3011,1,0,216,125,1890,Maribyrnong City Council,-37.8052,144.8941,Western Metropolitan,2417,34,2000,981,369,2474,1.0,1896,2.1,2016,10
Seddon,38 Alfred St,3,h,920000,PI,Jas,2016-04-16,6.6,3011,2,2,0,132,2000,Maribyrnong City Council,-37.8057,144.8857,Western Metropolitan,2417,34,2000,981,369,2474,1.0,1896,2.1,2016,4
Seddon,16 Margaret St,3,h,965000,S,Jas,2016-04-16,6.6,3011,1,0,217,104,1910,Maribyrnong City Council,-37.8037,144.8874,Western Metropolitan,2417,34,2000,981,369,2474,1.0,1896,2.1,2016,4
Seddon,258 Nicholson St,3,h,920000,VB,Jas,2016-07-16,6.6,3011,2,1,309,149,1910,Maribyrnong City Council,-37.806999999999995,144.898,Western Metropolitan,2417,34,2000,981,369,2474,1.0,1896,2.1,2016,7
Seddon,70 Station Rd,3,h,875000,S,Jas,2016-07-16,6.6,3011,2,2,193,154,2000,Maribyrnong City Council,-37.8065,144.8866,Western Metropolitan,2417,34,2000,981,369,2474,1.0,1896,2.1,2016,7
Seddon,5 Williamstown Rd,2,h,822500,SP,Biggin,2016-09-17,6.6,3011,2,1,228,111,1930,Maribyrnong City Council,-37.8034,144.8855,Western Metropolitan,2417,34,2000,981,369,2474,1.0,1896,2.1,2016,9
Seddon,27 thomson St,2,h,955000,SP,Jas,2016-11-19,6.6,3011,1,0,148,72,1912,Maribyrnong City Council,-37.8084,144.8907,Western Metropolitan,2417,34,2000,981,369,2474,1.0,1896,2.1,2016,11
Seddon,32 Walter St,4,h,970000,VB,Jas,2016-04-23,6.6,3011,2,1,149,127,1920,Maribyrnong City Council,-37.8047,144.8948,Western Metropolitan,2417,34,2000,981,369,2474,1.0,1896,2.1,2016,4
Seddon,80 Gamon St,2,h,815000,S,Chisholm,2016-07-30,6.6,3011,1,0,172,81,1900,Maribyrnong City Council,-37.81,144.8896,Western Metropolitan,2417,34,2000,981,369,2474,1.0,1896,2.1,2016,7
Footscray,75 MacPherson St,2,h,885000,S,Jas,2017-04-08,6.4,3011,1,0,267,99,1890,Maribyrnong City Council,-37.7961,144.89,Western Metropolitan,7570,34,2000,981,369,2474,1.0,1896,2.1,2017,4
Footscray,47 Shepherd St,3,h,871000,S,Greg,2017-05-13,6.4,3011,1,1,267,101,1900,Maribyrnong City Council,-37.7951,144.8901,Western Metropolitan,7570,34,2000,981,369,2474,1.0,1896,2.1,2017,5
Footscray,27 MacPherson St,2,h,882000,SP,Village,2017-04-29,6.4,3011,1,0,172,80,1900,Maribyrnong City Council,-37.7936,144.8905,Western Metropolitan,7570,34,2000,981,369,2474,1.0,1896,2.1,2017,4
Footscray,39 Moore St,3,h,895000,PI,Burnham,2017-04-29,6.4,3011,1,2,272,106,1920,Maribyrnong City Council,-37.7977,144.904,Western Metropolitan,7570,34,2000,981,369,2474,1.0,1896,2.1,2017,4
Seddon,57 Charles St,2,h,850000,VB,Village,2017-07-01,5.1,3011,1,1,152,91,1910,Maribyrnong City Council,-37.80697,144.8928,Western Metropolitan,2417,34,2000,981,369,2474,1.0,1896,2.1,2017,7
Seddon,57 Charles St,2,h,830000,VB,Village,2017-05-27,5.1,3011,1,1,152,91,1910,Maribyrnong City Council,-37.80697,144.8928,Western Metropolitan,2417,34,2000,981,369,2474,1.0,1896,2.1,2017,5
Seddon,19 Station Rd,2,h,940000,S,Jellis,2017-05-27,5.1,3011,1,0,207,94,1910,Maribyrnong City Council,-37.8071,144.88912,Western Metropolitan,2417,34,2000,981,369,2474,1.0,1896,2.1,2017,5
Footscray,27 Leander St,2,h,991000,S,Village,2017-07-15,5.1,3011,1,1,318,106,1910,Maribyrnong City Council,-37.79529,144.88453,Western Metropolitan,7570,34,2000,981,369,2474,1.0,1896,2.1,2017,7
Footscray,16 Creswick St,3,h,900000,PI,Sweeney,2017-07-22,5.1,3011,1,3,312,106,1880,Maribyrnong City Council,-37.79334,144.89128,Western Metropolitan,7570,34,2000,981,369,2474,1.0,1896,2.1,2017,7
Footscray,15 Greer St,4,h,1000000,SA,Nelson,2017-07-22,5.1,3011,2,1,180,206,1994,Maribyrnong City Council,-37.796859999999995,144.908,Western Metropolitan,7570,34,2000,981,369,2474,1.0,1896,2.1,2017,7
Footscray,12 Jerrold St,4,h,891000,S,Sweeney,2017-07-22,5.1,3011,1,3,446,101,1920,Maribyrnong City Council,-37.79221,144.89076,Western Metropolitan,7570,34,2000,981,369,2474,1.0,1896,2.1,2017,7
Seddon,2/70 Windsor St,2,h,945000,SP,Village,2017-07-29,5.1,3011,1,1,126,65,1890,Maribyrnong City Council,-37.80473,144.89095,Western Metropolitan,2417,34,2000,981,369,2474,1.0,1896,2.1,2017,7
Footscray,27 Summerhill Rd,2,h,800000,VB,hockingstuart,2017-09-09,5.1,3011,1,2,353,123,1930,Maribyrnong City Council,-37.79047,144.88289,Western Metropolitan,7570,34,2000,981,369,2474,1.0,1896,2.1,2017,9
Footscray,28 Central Av,2,h,942000,SP,Jas,2017-08-19,5.1,3011,1,1,241,91,1915,Maribyrnong City Council,-37.79583,144.89406,Western Metropolitan,7570,34,2000,981,369,2474,1.0,1896,2.1,2017,8
Seddon,22 Margaret St,2,h,817000,S,Thomson,2017-10-07,5.1,3011,1,1,256,75,1900,Maribyrnong City Council,-37.80389,144.88711,Western Metropolitan,2417,34,2000,981,369,2474,1.0,1896,2.1,2017,10
Footscray,58 Cross St,3,h,860000,S,Jellis,2017-10-14,5.1,3011,2,2,162,143,2015,Maribyrnong City Council,-37.8007,144.88207,Western Metropolitan,7570,34,2000,981,369,2474,1.0,1896,2.1,2017,10
Footscray,4 Essex St,2,h,868000,S,Douglas,2017-10-14,5.1,3011,1,2,231,105,1940,Maribyrnong City Council,-37.79612,144.88783,Western Metropolitan,7570,34,2000,981,369,2474,1.0,1896,2.1,2017,10
Seddon,182 Pilgrim St,2,h,807500,SP,Sweeney,2018-02-03,5.1,3011,1,2,328,77,2016,Maribyrnong City Council,-37.80421,144.88637,Western Metropolitan,2417,34,2000,981,369,2474,1.0,1896,2.1,2018,2
Seddon,59 Gamon St,2,h,885000,S,Sweeney,2018-02-17,5.1,3011,1,0,176,78,1914,Maribyrnong City Council,-37.80898,144.8902,Western Metropolitan,2417,34,2000,981,369,2474,1.0,1896,2.1,2018,2
Footscray,14 Tiernan St,4,h,850000,SP,Jas,2018-03-17,5.1,3011,1,2,388,102,1920,Maribyrnong City Council,-37.79419,144.89618000000004,Western Metropolitan,7570,34,2000,981,369,2474,1.0,1896,2.1,2018,3
Footscray,105 Eleanor St,3,h,945000,S,Jas,2018-02-24,5.1,3011,1,0,219,107,1900,Maribyrnong City Council,-37.79732,144.8848,Western Metropolitan,7570,34,2000,981,369,2474,1.0,1896,2.1,2018,2
Footscray,21 Stafford St,3,h,931000,SP,Jas,2018-02-24,5.1,3011,1,0,240,101,1930,Maribyrnong City Council,-37.79392,144.88418000000001,Western Metropolitan,7570,34,2000,981,369,2474,1.0,1896,2.1,2018,2
Glen Iris,56 Wills St,2,h,920000,S,Fletchers,2016-10-15,9.2,3146,1,2,334,115,1930,Boroondara City Council,-37.8577,145.0576,Southern Metropolitan,10412,40,2830,1179,450,3447,0.9,2491,2.5,2016,10
Glenroy,39 Morley St,3,h,806500,S,Barry,2016-12-03,13.0,3046,1,2,766,127,1965,Moreland City Council,-37.6988,144.9372,Northern Metropolitan,8870,35,2000,791,371,2053,0.9,1727,2.5,2016,12
Glenroy,42 Sadie St,3,h,822000,S,Stockdale,2017-03-04,13.0,3046,1,4,700,105,1950,Moreland City Council,-37.6988,144.9438,Northern Metropolitan,8870,35,2000,791,371,2053,0.9,1727,2.5,2017,3
Glenroy,15 Stanley St,3,h,980000,SP,Brad,2017-03-04,13.0,3046,2,3,1029,136,1950,Moreland City Council,-37.7115,144.9147,Northern Metropolitan,8870,35,2000,791,371,2053,0.9,1727,2.5,2017,3
Glenroy,45 Cosmos St,5,h,810000,S,Stockdale,2017-03-11,13.0,3046,4,4,695,176,1950,Moreland City Council,-37.7028,144.9377,Northern Metropolitan,8870,35,2000,791,371,2053,0.9,1727,2.5,2017,3
Glenroy,107 Glenroy Rd,4,h,1000000,PI,Barry,2016-11-27,13.0,3046,2,8,977,304,1935,Moreland City Council,-37.7063,144.9273,Northern Metropolitan,8870,35,2000,791,371,2053,0.9,1727,2.5,2016,11
Glenroy,44 Morley St,4,h,825000,S,Stockdale,2016-07-30,13.0,3046,2,4,768,194,1970,Moreland City Council,-37.6979,144.9377,Northern Metropolitan,8870,35,2000,791,371,2053,0.9,1727,2.5,2016,7
Hadfield,4 Surrey St,4,h,870000,S,Barry,2016-12-03,12.1,3046,3,5,591,268,2010,Moreland City Council,-37.7127,144.9489,Northern Metropolitan,2606,35,2000,791,371,2053,0.9,1727,2.5,2016,12
Hadfield,26 South St,3,h,810000,S,Holland,2017-03-04,12.1,3046,2,2,592,129,1950,Moreland City Council,-37.7149,144.9473,Northern Metropolitan,2606,35,2000,791,371,2053,0.9,1727,2.5,2017,3
Hadfield,75 West St,3,h,800000,S,Stockdale,2016-12-10,12.1,3046,2,2,565,116,1960,Moreland City Council,-37.7094,144.9377,Northern Metropolitan,2606,35,2000,791,371,2053,0.9,1727,2.5,2016,12
Oak Park,40 Winifred St,4,h,865000,S,Brad,2016-12-03,11.5,3046,1,2,696,160,1955,Moreland City Council,-37.7209,144.9158,Northern Metropolitan,2651,35,2000,791,371,2053,0.9,1727,2.5,2016,12
Oak Park,11 Murphy St,4,h,920000,S,Ray,2016-11-07,11.5,3046,2,2,780,179,1965,Moreland City Council,-37.7168,144.9171,Northern Metropolitan,2651,35,2000,791,371,2053,0.9,1727,2.5,2016,11
Oak Park,96 Winifred St,3,h,815500,S,Brad,2016-07-16,11.5,3046,2,2,790,165,1940,Moreland City Council,-37.718,144.9124,Northern Metropolitan,2651,35,2000,791,371,2053,0.9,1727,2.5,2016,7
Oak Park,40 Devereaux St,4,h,840000,SP,Nelson,2016-06-18,11.5,3046,1,2,704,196,1960,Moreland City Council,-37.7143,144.9096,Northern Metropolitan,2651,35,2000,791,371,2053,0.9,1727,2.5,2016,6
Oak Park,100 Winifred St,3,h,810000,SP,Brad,2016-08-22,11.5,3046,1,3,763,93,1960,Moreland City Council,-37.7178,144.9121,Northern Metropolitan,2651,35,2000,791,371,2053,0.9,1727,2.5,2016,8
Oak Park,68 Vincent St,4,h,855333,S,Eview,2016-08-28,11.5,3046,1,2,694,183,1974,Moreland City Council,-37.718,144.9138,Northern Metropolitan,2651,35,2000,791,371,2053,0.9,1727,2.5,2016,8
Oak Park,11 Hillcrest Rd,5,h,900000,VB,Brad,2016-07-30,11.5,3046,2,2,568,260,1995,Moreland City Council,-37.7129,144.9253,Northern Metropolitan,2651,35,2000,791,371,2053,0.9,1727,2.5,2016,7
Glenroy,19 Wheatsheaf Rd,3,h,895000,S,Barry,2017-05-06,13.0,3046,1,2,697,148,1955,Moreland City Council,-37.7097,144.9256,Northern Metropolitan,8870,35,2000,791,371,2053,0.9,1727,2.5,2017,5
Glenroy,67 Morley St,3,h,885000,PI,Barry,2017-04-08,13.0,3046,1,2,751,145,1972,Moreland City Council,-37.6962,144.9376,Northern Metropolitan,8870,35,2000,791,371,2053,0.9,1727,2.5,2017,4
Glenroy,91 Gowrie St,3,h,822000,S,Barry,2017-05-13,13.0,3046,1,2,738,107,1960,Moreland City Council,-37.6972,144.941,Northern Metropolitan,8870,35,2000,791,371,2053,0.9,1727,2.5,2017,5
Glenroy,11 Salisbury St,3,h,935000,S,Stockdale,2017-04-29,13.0,3046,1,2,666,176,1960,Moreland City Council,-37.7015,144.9191,Northern Metropolitan,8870,35,2000,791,371,2053,0.9,1727,2.5,2017,4
Hadfield,20 Lockley St,3,h,827000,S,Brad,2017-06-03,11.2,3046,1,2,676,113,1960,Moreland City Council,-37.70328,144.94161,Northern Metropolitan,2606,35,2000,791,371,2053,0.9,1727,2.5,2017,6
Oak Park,74 Devereaux St,3,h,840000,SP,Nelson,2017-06-17,11.2,3046,1,1,722,115,1960,Moreland City Council,-37.71433,144.90616,Northern Metropolitan,2651,35,2000,791,371,2053,0.9,1727,2.5,2017,6
Glenroy,1 Dromana St,3,h,865000,S,Brad,2017-05-27,11.2,3046,1,1,746,152,1960,Moreland City Council,-37.71051,144.90925,Northern Metropolitan,8870,35,2000,791,371,2053,0.9,1727,2.5,2017,5
Glenroy,8 Kalang Rd,3,h,922000,S,Eview,2017-05-27,11.2,3046,1,1,584,153,1960,Moreland City Council,-37.710159999999995,144.9215,Northern Metropolitan,8870,35,2000,791,371,2053,0.9,1727,2.5,2017,5
Glenroy,73 Pecham St,3,h,963500,S,Stockdale,2017-05-27,11.2,3046,2,6,697,174,1960,Moreland City Council,-37.69647,144.9113,Northern Metropolitan,8870,35,2000,791,371,2053,0.9,1727,2.5,2017,5
Glenroy,8 Granville St,3,h,940000,SP,Stockdale,2017-07-22,11.2,3046,2,5,627,173,1960,Moreland City Council,-37.70198,144.92166,Northern Metropolitan,8870,35,2000,791,371,2053,0.9,1727,2.5,2017,7
Glenroy,20A Apsley St,3,h,820000,S,Stockdale,2017-07-29,11.2,3046,1,4,650,135,1950,Moreland City Council,-37.707679999999996,144.92586,Northern Metropolitan,8870,35,2000,791,371,2053,0.9,1727,2.5,2017,7
Glenroy,19 Cromwell St,4,h,835000,S,Barry,2017-09-03,11.2,3046,1,3,649,122,1960,Moreland City Council,-37.7022,144.92241,Northern Metropolitan,8870,35,2000,791,371,2053,0.9,1727,2.5,2017,9
Glenroy,129 Glenroy Rd,3,h,830000,S,Nelson,2017-09-03,11.2,3046,1,2,655,110,1960,Moreland City Council,-37.70608,144.92541,Northern Metropolitan,8870,35,2000,791,371,2053,0.9,1727,2.5,2017,9
Glenroy,8A Finchley Av,4,h,831000,S,Ray,2017-08-19,11.2,3046,3,3,708,175,2007,Moreland City Council,-37.70317,144.91396,Northern Metropolitan,8870,35,2000,791,371,2053,0.9,1727,2.5,2017,8
Glenroy,78 Justin Av,2,h,805000,SP,RW,2017-08-19,11.2,3046,1,4,712,82,1970,Moreland City Council,-37.69994000000001,144.93489,Northern Metropolitan,8870,35,2000,791,371,2053,0.9,1727,2.5,2017,8
Glenroy,29 Sadie St,5,h,939000,S,Barry,2017-11-25,11.2,3046,2,3,775,208,1960,Moreland City Council,-37.6994,144.9428,Northern Metropolitan,8870,35,2000,791,371,2053,0.9,1727,2.5,2017,11
Glenroy,125 Augustine Tce,5,h,810000,SP,Boran,2017-12-09,11.2,3046,3,2,909,342,1990,Moreland City Council,-37.695,144.91038,Northern Metropolitan,8870,35,2000,791,371,2053,0.9,1727,2.5,2017,12
Glenroy,15 George St,4,h,876500,S,Eview,2018-03-10,11.2,3046,2,2,600,154,1970,Moreland City Council,-37.71283,144.91446000000005,Northern Metropolitan,8870,35,2000,791,371,2053,0.9,1727,2.5,2018,3
Glenroy,55 Grandview St,3,h,880000,PI,Nelson,2018-03-17,11.2,3046,2,3,619,140,1950,Moreland City Council,-37.70994,144.90986999999996,Northern Metropolitan,8870,35,2000,791,371,2053,0.9,1727,2.5,2018,3
Gowanbrae,2 Mirrim Pl,4,h,802500,S,Nelson,2016-11-12,13.6,3043,2,2,0,264,2005,Moreland City Council,-37.705,144.9004,Western Metropolitan,1071,41,1900,700,375,1881,0.8,1505,2.5,2016,11
Gowanbrae,18 Primula Bvd,4,h,800000,S,Nelson,2016-07-26,13.6,3043,2,2,719,251,2000,Moreland City Council,-37.7062,144.8978,Western Metropolitan,1071,41,1900,700,375,1881,0.8,1505,2.5,2016,7
Gowanbrae,7 Adelaide Bvd,4,h,990000,S,Nelson,2017-05-13,13.6,3043,2,2,702,170,2003,Moreland City Council,-37.7071,144.8989,Western Metropolitan,1071,41,1900,700,375,1881,0.8,1505,2.5,2017,5
Gowanbrae,13 Gowanbrae Dr,4,h,970000,S,Nelson,2017-04-29,13.6,3043,2,3,737,265,2010,Moreland City Council,-37.7088,144.8938,Western Metropolitan,1071,41,1900,700,375,1881,0.8,1505,2.5,2017,4
Gowanbrae,82 Gowanbrae Dr,4,h,945000,S,Nelson,2017-06-17,12.9,3043,2,4,474,210,2000,Moreland City Council,-37.70626,144.89551,Western Metropolitan,1071,41,1900,700,375,1881,0.8,1505,2.5,2017,6
Tullamarine,19 Gordon St,4,h,895000,S,Jason,2017-07-08,12.9,3043,2,2,700,267,1999,Brimbank City Council,-37.70598,144.87616,Western Metropolitan,3296,41,1900,700,375,1881,0.8,1505,2.5,2017,7
Tullamarine,56 Broadmeadows Rd,3,h,822000,S,Jason,2017-07-22,12.9,3043,1,1,778,112,1960,Brimbank City Council,-37.70321,144.87972,Western Metropolitan,3296,41,1900,700,375,1881,0.8,1505,2.5,2017,7
Gowanbrae,85 Marigold Cr,4,h,931000,S,Nelson,2017-08-19,12.9,3043,2,2,462,212,2008,Moreland City Council,-37.699529999999996,144.89941000000005,Western Metropolitan,1071,41,1900,700,375,1881,0.8,1505,2.5,2017,8
Gowanbrae,147 Gowanbrae Dr,4,h,900000,VB,Nelson,2017-10-07,12.9,3043,2,2,406,243,2005,Moreland City Council,-37.70305,144.89815,Western Metropolitan,1071,41,1900,700,375,1881,0.8,1505,2.5,2017,10
Tullamarine,55 Derby St,3,h,805000,SP,Jason,2017-10-21,12.9,3043,1,4,802,108,1960,Brimbank City Council,-37.6899,144.87418,Western Metropolitan,3296,41,1900,700,375,1881,0.8,1505,2.5,2017,10
Hampton East,1/23 Wickham Rd,3,h,926000,S,Buxton,2016-06-18,14.5,3188,2,2,393,140,1950,Bayside City Council,-37.9431,145.0267,Southern Metropolitan,2356,43,3000,1029,471,3366,0.8,2405,2.5,2016,6
Hampton East,18 King St,3,h,990000,VB,Hodges,2017-10-21,13.8,3188,2,1,725,332,1950,Bayside City Council,-37.93394,145.03241,Southern Metropolitan,2356,43,3000,1029,471,3366,0.8,2405,2.5,2017,10
Heidelberg Heights,97 Edwin St,2,h,815000,SP,Fletchers,2016-09-03,10.5,3081,1,2,589,120,1930,Banyule City Council,-37.7501,145.0505,Eastern Metropolitan,2947,35,2080,762,351,2111,0.9,1597,2.3,2016,9
Heidelberg Heights,2 Bonar St,3,h,994000,S,Love,2016-12-10,10.5,3081,2,2,807,192,1950,Banyule City Council,-37.7453,145.0559,Eastern Metropolitan,2947,35,2080,762,351,2111,0.9,1597,2.3,2016,12
