POA_CODE_2021,M_Tot_0,M_Tot_1_19,M_Tot_20_29,M_Tot_30_34,M_Tot_35_39,M_Tot_40_44,M_Tot_45_49,M_Tot_50_over,M_Tot_hours_NS,M_Tot_Tot,F_AgriForestFish_0,F_AgriForestFish_1_19,F_AgriForestFish_20_29,F_AgriForestFish_30_34,F_AgriForestFish_35_39,F_AgriForestFish_40_44,F_AgriForestFish_45_49,F_AgriForestFish_50_over,F_AgriForestFish_hours_NS,F_AgriForestFish_Tot,F_Min_0,F_Min_1_19,F_Min_20_29,F_Min_30_34,F_Min_35_39,F_Min_40_44,F_Min_45_49,F_Min_50_over,F_Min_hours_NS,F_Min_Tot,F_Mnfg_0,F_Mnfg_1_19,F_Mnfg_20_29,F_Mnfg_30_34,F_Mnfg_35_39,F_Mnfg_40_44,F_Mnfg_45_49,F_Mnfg_50_over,F_Mnfg_hours_NS,F_Mnfg_Tot,F_EGW_WS_0,F_EGW_WS_1_19,F_EGW_WS_20_29,F_EGW_WS_30_34,F_EGW_WS_35_39,F_EGW_WS_40_44,F_EGW_WS_45_49,F_EGW_WS_50_over,F_EGW_WS_hours_NS,F_EGW_WS_Tot,F_Cnstn_0,F_Cnstn_1_19,F_Cnstn_20_29,F_Cnstn_30_34,F_Cnstn_35_39,F_Cnstn_40_44,F_Cnstn_45_49,F_Cnstn_50_over,F_Cnstn_hours_NS,F_Cnstn_Tot,F_WTrade_0,F_WTrade_1_19,F_WTrade_20_29,F_WTrade_30_34,F_WTrade_35_39,F_WTrade_40_44,F_WTrade_45_49,F_WTrade_50_over,F_WTrade_hours_NS,F_WTrade_Tot,F_RTrade_0,F_RTrade_1_19,F_RTrade_20_29,F_RTrade_30_34,F_RTrade_35_39,F_RTrade_40_44,F_RTrade_45_49,F_RTrade_50_over,F_RTrade_hours_NS,F_RTrade_Tot,F_AccomFoodS_0,F_AccomFoodS_1_19,F_AccomFoodS_20_29,F_AccomFoodS_30_34,F_AccomFoodS_35_39,F_AccomFoodS_40_44,F_AccomFoodS_45_49,F_AccomFoodS_50_over,F_AccomFoodS_hours_NS,F_AccomFoodS_Tot,F_TransPostWhse_0,F_TransPostWhse_1_19,F_TransPostWhse_20_29,F_TransPostWhse_30_34,F_TransPostWhse_35_39,F_TransPostWhse_40_44,F_TransPostWhse_45_49,F_TransPostWhse_50_over,F_TransPostWhse_hours_NS,F_TransPostWhse_Tot,F_InfoMedTelecom_0,F_InfoMedTelecom_1_19,F_InfoMedTelecom_20_29,F_InfoMedTelecom_30_34,F_InfoMedTelecom_35_39,F_InfoMedTelecom_40_44,F_InfoMedTelecom_45_49,F_InfoMedTelecom_50_over,F_InfoMedTelecom_hours_NS,F_InfoMedTelecom_Tot,F_FinInsurS_0,F_FinInsurS_1_19,F_FinInsurS_20_29,F_FinInsurS_30_34,F_FinInsurS_35_39,F_FinInsurS_40_44,F_FinInsurS_45_49,F_FinInsurS_50_over,F_FinInsurS_hours_NS,F_FinInsurS_Tot,F_RentHirREserv_0,F_RentHirREserv_1_19,F_RentHirREserv_20_29,F_RentHirREserv_30_34,F_RentHirREserv_35_39,F_RentHirREserv_40_44,F_RentHirREserv_45_49,F_RentHirREserv_50_over,F_RentHirREserv_hours_NS,F_RentHirREserv_Tot,F_ProScieTechServ_0,F_ProScieTechServ_1_19,F_ProScieTechServ_20_29,F_ProScieTechServ_30_34,F_ProScieTechServ_35_39,F_ProScieTechServ_40_44,F_ProScieTechServ_45_49,F_ProScieTechServ_50_over,F_ProScieTechServ_hours_NS,F_ProScieTechServ_Tot,F_AdminSupServ_0,F_AdminSupServ_1_19,F_AdminSupServ_20_29,F_AdminSupServ_30_34,F_AdminSupServ_35_39,F_AdminSupServ_40_44,F_AdminSupServ_45_49,F_AdminSupServ_50_over,F_AdminSupServ_hours_NS,F_AdminSupServ_Tot,F_PubAdmiSafety_0,F_PubAdmiSafety_1_19,F_PubAdmiSafety_20_29,F_PubAdmiSafety_30_34,F_PubAdmiSafety_35_39,F_PubAdmiSafety_40_44,F_PubAdmiSafety_45_49,F_PubAdmiSafety_50_over,F_PubAdmiSafety_hours_NS,F_PubAdmiSafety_Tot,F_EducTrain_0,F_EducTrain_1_19,F_EducTrain_20_29,F_EducTrain_30_34,F_EducTrain_35_39,F_EducTrain_40_44,F_EducTrain_45_49,F_EducTrain_50_over,F_EducTrain_hours_NS,F_EducTrain_Tot,F_HealthCareSocA_0,F_HealthCareSocA_1_19,F_HealthCareSocA_20_29,F_HealthCareSocA_30_34,F_HealthCareSocA_35_39,F_HealthCareSocA_40_44,F_HealthCareSocA_45_49,F_HealthCareSocA_50_over,F_HealthCareSocA_hours_NS,F_HealthCareSocA_Tot,F_ArtRecServ_0,F_ArtRecServ_1_19,F_ArtRecServ_20_29,F_ArtRecServ_30_34,F_ArtRecServ_35_39,F_ArtRecServ_40_44,F_ArtRecServ_45_49,F_ArtRecServ_50_over,F_ArtRecServ_hours_NS,F_ArtRecServ_Tot,F_OthServ_0,F_OthServ_1_19,F_OthServ_20_29,F_OthServ_30_34,F_OthServ_35_39,F_OthServ_40_44,F_OthServ_45_49,F_OthServ_50_over,F_OthServ_hours_NS,F_OthServ_Tot
POA3168,233,1097,890,347,1428,1352,225,405,176,6158,4,3,5,0,6,0,0,0,0,16,0,0,0,0,0,0,0,0,0,8,10,35,34,14,63,30,12,8,0,198,3,4,0,4,9,6,0,0,0,33,5,10,5,5,23,22,4,4,0,77,4,13,11,3,50,37,5,5,0,131,50,171,116,38,78,36,6,16,3,511,79,251,115,28,30,23,4,5,7,541,5,12,14,6,19,18,0,3,0,85,0,11,3,4,9,7,0,4,0,47,5,16,19,9,43,48,4,5,0,144,0,3,12,0,14,14,5,0,0,41,11,60,40,17,130,127,23,14,5,416,22,67,61,17,49,22,4,3,4,245,4,13,12,9,44,23,5,8,0,112,30,275,76,41,125,79,16,40,4,690,57,186,214,197,229,168,14,44,10,1119,19,26,9,0,0,0,0,0,0,54,15,21,15,12,19,9,0,0,0,105
POA3169,168,569,639,328,1450,1361,272,419,155,5359,0,3,5,0,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,4,13,29,30,31,101,67,16,12,5,302,3,0,0,0,8,4,0,3,0,17,5,20,14,4,29,30,3,5,0,112,3,12,15,11,41,30,9,10,0,123,35,126,72,38,95,49,10,15,3,447,28,115,73,23,32,24,3,8,5,310,7,15,21,7,27,18,7,3,0,104,3,6,4,0,22,14,7,0,0,62,10,9,13,14,64,70,6,11,3,211,0,0,4,4,23,15,3,8,0,49,11,24,35,31,109,86,14,17,5,333,9,46,58,17,40,8,0,7,3,186,11,19,22,12,70,34,9,11,0,186,21,100,63,41,119,69,13,32,0,463,60,156,203,173,278,137,26,35,13,1074,12,9,5,5,5,7,0,0,0,36,19,38,27,11,24,17,9,3,5,156
POA3170,156,520,381,276,1264,1414,316,604,109,5034,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,12,30,36,21,103,60,18,15,6,289,0,4,3,0,13,10,3,0,0,33,4,23,13,9,25,35,5,5,5,130,6,8,20,11,58,41,4,5,0,143,38,168,102,39,98,60,14,5,0,535,34,105,48,14,44,15,6,20,3,282,9,10,12,6,25,15,5,3,0,82,0,8,9,5,21,15,0,3,0,60,13,7,27,26,59,67,10,16,0,229,0,7,5,8,16,11,0,0,0,52,18,41,50,29,87,80,12,36,3,362,13,21,36,11,25,16,3,0,0,129,7,12,23,16,62,38,9,7,0,177,38,105,87,54,132,76,36,49,4,581,53,137,174,151,187,144,20,42,8,917,6,18,10,0,6,5,0,0,0,49,23,31,39,19,33,23,6,3,0,171
POA3171,152,630,653,340,1595,1172,220,367,193,5322,6,18,24,14,27,15,9,3,0,105,0,0,0,0,0,0,0,0,0,3,10,49,67,35,217,105,19,22,0,524,3,0,0,0,12,5,0,0,0,16,0,13,13,9,20,13,0,4,3,74,3,10,11,10,50,19,12,0,0,113,32,114,86,37,94,50,21,21,12,459,18,164,95,25,51,27,6,22,10,413,3,16,18,4,30,10,0,4,0,95,0,7,12,0,10,0,0,3,0,42,0,6,11,14,37,63,8,14,0,150,0,6,4,5,14,3,0,0,0,33,0,19,20,14,86,40,10,4,0,205,6,44,35,17,29,12,5,4,0,161,0,8,8,6,23,18,7,11,0,81,13,52,33,22,74,46,7,11,0,250,34,95,169,124,159,96,28,39,16,755,9,5,5,0,3,7,0,0,0,28,9,71,61,21,36,22,3,12,5,239
POA3172,178,620,450,311,1551,1466,341,669,124,5694,0,12,13,14,38,15,4,7,0,109,0,0,0,0,0,5,0,0,0,5,13,58,57,36,206,116,15,34,9,546,0,0,4,0,11,8,0,3,0,33,5,18,16,7,33,17,0,12,0,113,9,22,10,18,62,32,7,4,0,164,44,215,118,45,124,46,19,25,7,648,26,180,63,18,36,27,12,22,4,376,12,16,20,11,28,27,3,6,0,126,4,3,5,4,3,10,0,3,0,37,5,15,20,20,57,52,6,3,0,185,0,3,7,5,24,9,0,7,0,63,9,46,37,33,82,58,13,22,0,294,11,37,44,15,49,12,5,8,0,172,7,19,21,29,49,24,7,12,3,173,25,77,66,72,106,54,38,39,3,494,59,148,198,157,190,147,24,40,11,970,9,20,14,3,4,6,0,4,3,61,20,71,60,21,54,16,6,10,3,256
POA3173,193,783,544,444,2340,2031,444,766,155,7699,0,8,16,10,44,22,8,4,0,115,0,0,0,0,0,5,0,0,0,7,25,74,74,66,306,158,27,41,4,772,0,0,9,6,15,15,0,5,0,46,5,22,27,14,52,47,3,9,0,180,10,13,14,17,92,51,17,15,0,225,36,220,153,64,140,81,16,25,3,749,37,171,71,43,52,41,6,39,3,472,8,24,20,13,46,26,9,10,0,161,0,0,3,4,20,7,0,3,0,49,16,19,31,20,119,108,11,17,0,339,0,8,5,7,37,19,0,6,0,86,19,40,43,37,129,120,11,25,0,421,8,55,32,23,70,24,5,5,9,228,5,17,33,17,91,45,11,9,4,238,29,106,81,46,155,83,10,49,0,561,61,175,241,209,324,197,19,44,8,1269,12,21,10,4,4,4,4,5,0,67,37,58,63,20,56,35,8,8,0,284
POA3174,279,1006,1029,605,2916,2240,502,718,293,9591,7,34,20,19,59,23,3,7,0,176,0,0,0,0,0,0,0,0,0,0,20,94,89,67,321,149,36,38,10,825,0,3,3,0,13,16,6,3,0,38,5,19,17,11,44,31,3,11,0,136,12,9,16,13,79,34,3,11,0,182,46,228,175,60,143,71,18,23,11,778,36,238,114,42,70,35,14,21,7,579,5,25,29,16,49,32,3,5,0,169,3,10,6,6,21,4,4,0,0,57,14,21,25,18,90,90,7,9,0,272,5,8,8,4,18,21,0,4,0,65,15,53,46,15,130,86,12,27,3,382,22,85,93,33,94,55,7,14,0,395,12,28,45,26,96,32,6,15,0,250,23,129,108,67,161,75,23,46,6,636,74,269,371,311,397,237,36,77,29,1792,13,20,9,0,8,6,0,0,0,62,42,118,91,31,60,29,12,11,6,395
POA3175,295,1216,1253,802,3517,3102,768,1073,392,12415,0,9,10,14,31,12,0,3,0,81,0,0,0,0,0,0,0,0,0,0,10,94,98,60,278,147,28,42,9,772,3,0,0,0,17,9,0,0,0,32,12,35,20,3,60,36,4,7,9,187,3,17,18,18,79,49,10,4,0,202,77,291,187,84,168,81,6,21,21,937,42,257,135,31,72,39,9,22,17,617,8,23,31,20,52,42,8,6,3,197,7,7,9,0,25,13,0,4,0,67,10,16,32,15,86,75,16,10,0,262,3,9,13,5,34,16,0,0,0,81,13,63,50,27,132,79,16,14,0,399,24,114,102,34,102,47,4,12,11,444,11,30,36,25,115,49,10,20,0,305,37,146,114,92,212,101,21,56,7,795,100,349,469,391,481,264,58,104,44,2254,16,17,8,6,10,3,5,3,0,71,42,64,59,37,54,27,9,9,4,304
POA3177,87,283,227,179,755,682,212,204,107,2742,0,5,3,0,0,6,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,15,19,12,65,27,12,6,0,154,0,0,0,0,0,0,0,0,0,3,0,9,5,8,11,12,0,0,0,43,0,4,5,0,18,11,0,0,5,40,18,56,45,23,31,18,5,4,4,197,9,44,27,4,13,8,0,4,0,118,10,3,9,7,14,11,3,0,0,49,0,0,0,0,7,3,0,0,0,9,0,0,0,3,15,17,0,4,0,41,0,0,3,6,3,0,0,0,0,10,0,17,4,7,21,18,4,4,0,68,4,30,23,3,31,9,0,4,0,107,4,8,9,4,20,20,3,6,0,79,4,28,21,20,41,10,4,5,0,141,10,56,91,68,86,35,4,16,5,378,0,4,0,0,0,0,0,0,0,14,6,15,18,0,12,5,0,0,0,54
POA3178,297,939,545,452,2181,2838,760,1301,109,9425,0,4,8,3,5,4,0,0,0,20,0,0,0,0,0,0,0,0,0,8,25,67,78,44,192,125,33,36,0,594,0,4,4,4,24,9,4,5,0,58,6,46,39,25,63,74,10,15,8,287,7,28,35,46,117,93,24,25,0,371,82,374,234,84,190,126,28,29,7,1163,55,243,67,24,37,34,6,21,8,501,9,15,17,17,62,36,17,10,0,187,10,10,7,6,29,18,5,14,0,107,19,25,41,33,79,88,18,36,0,344,6,19,16,8,47,35,3,4,0,141,15,63,93,41,152,132,31,52,0,581,9,59,39,18,64,46,0,14,3,244,21,37,40,36,117,76,12,24,0,363,49,233,189,120,246,146,51,96,7,1134,105,291,386,285,358,276,44,82,14,1842,28,39,13,11,21,0,3,0,0,116,28,87,73,26,58,35,9,11,0,340
POA3179,56,158,118,95,409,477,98,197,36,1652,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,8,9,5,7,28,17,4,5,0,83,0,0,0,0,5,0,4,4,0,16,4,6,8,4,5,16,4,3,0,46,0,4,6,4,22,11,3,0,0,51,10,48,32,12,40,17,4,0,0,168,8,47,15,0,7,4,0,3,0,90,0,8,4,5,5,11,5,4,0,35,0,0,0,0,10,5,0,0,0,11,0,4,4,5,20,12,3,6,0,54,0,3,0,0,7,3,0,0,0,8,5,6,14,7,31,25,8,0,0,101,0,14,5,11,11,7,0,0,0,54,4,9,11,5,23,6,0,6,0,60,9,40,35,14,37,18,4,13,0,187,13,52,83,56,86,49,10,14,0,364,0,6,5,0,0,5,0,0,0,16,7,14,16,4,4,8,4,0,0,53
POA3180,55,171,135,103,523,591,133,209,20,1942,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,6,14,14,8,38,21,5,3,0,115,0,0,0,0,4,3,0,0,0,8,0,7,7,4,20,16,0,9,0,66,6,8,7,7,11,22,7,0,0,65,17,70,32,14,34,21,4,7,4,209,19,50,20,8,19,8,0,0,4,127,0,3,0,3,4,4,0,0,0,20,0,4,6,0,10,8,0,0,0,27,4,0,6,6,12,22,4,7,0,58,4,0,5,0,7,5,0,0,0,30,6,14,16,10,38,35,7,8,0,132,4,8,12,4,9,6,0,0,0,43,5,5,12,0,12,18,0,3,0,73,7,45,42,25,49,34,21,27,0,250,15,83,106,67,96,63,11,12,6,460,6,3,0,3,4,4,0,0,0,25,11,18,15,10,14,3,0,0,0,68
POA3181,239,558,430,293,1285,1853,517,1224,88,6492,0,0,0,0,0,4,0,0,0,4,0,0,0,0,3,8,0,0,0,13,5,22,11,13,29,44,11,20,0,164,0,0,6,4,23,23,4,5,0,63,3,12,11,12,42,47,9,16,0,155,7,8,8,0,31,45,16,18,0,135,32,115,80,53,111,123,25,45,8,600,55,117,82,35,59,36,18,20,4,424,4,6,9,11,19,30,11,5,0,89,8,9,15,10,53,34,13,26,0,173,20,22,16,11,102,130,40,59,0,394,3,8,12,7,52,43,7,23,0,154,44,67,75,56,207,319,98,184,0,1057,8,36,23,22,44,69,12,35,0,249,17,12,19,24,121,89,22,41,0,345,24,99,48,43,142,121,47,78,5,602,70,132,161,175,210,244,55,89,9,1153,24,36,21,13,28,34,7,16,0,179,32,24,32,15,37,34,9,8,0,195
POA3182,282,658,661,370,1485,1995,546,1018,97,7120,0,0,0,0,5,6,0,0,0,13,0,0,0,0,8,5,5,4,0,16,3,21,10,13,32,54,13,27,0,183,0,0,0,0,15,13,16,6,0,57,6,9,13,10,31,72,11,22,0,176,0,14,4,5,31,45,17,15,0,128,40,103,89,49,122,77,27,38,7,557,69,167,109,56,86,44,13,27,11,583,15,15,11,4,23,26,9,10,0,120,8,16,9,10,39,52,17,34,0,186,18,13,15,20,106,115,28,56,0,374,4,8,16,11,43,33,6,20,0,141,32,77,75,85,223,333,63,159,0,1047,10,40,53,20,66,77,22,26,5,318,27,14,39,27,163,114,27,54,4,459,30,135,85,62,149,153,49,109,4,779,64,145,188,172,267,274,45,78,10,1241,14,32,32,20,38,40,3,21,3,221,35,53,54,35,67,32,9,21,3,309
POA3183,191,599,485,324,980,1424,413,815,80,5299,0,3,0,0,3,0,3,0,0,9,0,0,0,0,0,0,0,0,0,4,0,17,16,13,31,40,22,17,0,155,0,0,0,0,7,11,6,3,0,41,7,6,5,7,23,22,11,23,0,103,0,12,5,0,26,17,13,15,0,88,39,89,63,42,78,85,23,30,4,462,45,116,66,17,37,28,13,9,3,336,5,3,21,5,20,20,3,13,0,88,13,11,24,5,24,34,4,30,0,150,9,5,22,18,76,74,18,35,0,254,5,11,14,0,23,28,5,15,0,100,25,59,63,58,146,183,55,111,3,693,10,38,30,9,65,39,12,6,0,205,20,11,34,18,107,82,40,32,0,343,28,177,149,63,145,103,55,91,5,830,45,142,155,152,205,203,46,56,10,1032,10,29,28,8,21,23,4,14,0,145,28,48,31,14,37,26,6,12,3,196
POA3184,153,428,309,248,791,1164,391,899,54,4430,0,0,0,0,0,0,0,4,0,7,0,0,0,0,4,0,0,7,0,11,9,6,15,12,34,33,10,16,0,142,0,0,3,3,14,6,0,7,0,37,7,6,12,9,21,44,4,16,0,124,4,4,8,8,25,31,8,13,0,106,43,82,61,42,76,62,18,31,0,419,31,102,42,19,30,17,15,5,3,263,0,9,0,5,7,20,5,16,0,79,5,11,14,8,25,34,17,25,0,143,10,11,15,15,56,83,24,54,0,264,3,10,12,3,33,41,10,19,0,123,30,54,63,58,119,199,61,110,0,703,3,18,28,19,33,34,9,16,0,154,16,17,30,32,92,61,16,29,0,294,40,106,97,57,113,115,43,88,5,663,55,138,138,150,189,189,56,53,0,955,18,26,22,18,30,33,6,12,0,158,10,37,34,24,27,32,6,10,0,182
POA3185,141,355,302,214,625,963,310,696,43,3653,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,9,5,14,7,13,10,29,5,14,0,107,0,3,6,0,6,8,6,4,0,30,0,5,11,3,14,25,9,12,0,80,9,7,3,5,14,17,8,11,0,66,21,101,52,34,69,60,20,20,0,378,39,112,24,19,18,20,9,9,4,247,4,3,3,0,15,12,3,3,0,48,4,9,11,14,17,29,6,12,0,99,7,13,18,25,48,71,24,26,0,229,0,9,9,3,17,24,7,8,0,77,15,61,67,43,98,133,43,69,0,537,3,26,20,5,25,23,5,16,0,115,12,11,14,24,65,54,12,33,0,228,24,106,79,39,76,81,28,65,4,513,33,128,109,143,127,159,25,39,5,771,11,23,14,10,14,12,5,5,3,98,16,30,18,7,24,16,7,10,0,125
POA3186,184,738,437,320,653,1383,413,1550,79,5755,0,0,3,4,0,0,3,0,0,9,0,0,0,0,0,3,0,0,0,7,8,36,25,22,31,34,15,22,0,185,0,5,0,8,4,8,0,6,0,32,7,30,20,16,22,24,4,12,0,134,5,20,23,20,31,18,6,18,0,148,39,156,87,43,57,71,30,46,3,527,52,139,43,19,21,11,0,21,6,312,0,16,15,6,17,20,5,19,0,108,15,9,7,6,12,29,3,25,0,102,14,24,48,29,41,91,21,82,4,359,3,28,28,12,25,38,9,13,3,167,46,149,102,61,116,180,49,133,7,838,8,35,23,14,18,26,5,22,0,144,13,18,30,19,56,67,13,27,0,252,38,161,103,48,74,94,31,84,10,644,39,216,198,134,125,150,43,63,4,974,17,25,16,11,10,14,13,11,0,119,23,50,25,29,11,11,3,8,4,164
POA3187,147,529,282,188,525,1053,350,958,42,4083,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,4,0,0,6,18,12,15,30,22,12,16,0,139,0,0,0,3,6,8,0,3,0,22,3,19,12,10,15,20,3,8,0,92,7,12,14,11,18,24,3,7,0,102,52,132,67,26,44,38,21,27,0,409,33,129,34,15,13,10,3,9,3,246,7,9,9,3,6,16,0,12,0,47,0,6,9,10,10,12,6,7,0,65,14,17,23,20,33,75,13,47,0,247,0,17,15,6,16,28,7,16,0,109,17,60,74,46,60,141,32,72,4,512,7,21,11,9,10,11,4,12,0,96,13,13,18,18,59,39,14,22,0,193,24,135,82,51,54,67,40,61,0,514,41,146,139,111,116,104,18,45,4,722,9,31,13,4,0,16,3,4,0,90,15,33,16,9,11,11,9,4,0,113
POA3188,175,609,298,212,677,1240,412,1132,48,4796,0,3,0,0,3,6,0,0,0,9,0,0,0,0,0,4,0,0,0,3,3,29,15,11,21,34,13,30,0,146,0,0,0,0,7,11,4,0,0,29,0,25,25,10,9,30,6,14,0,114,5,15,19,9,31,26,11,15,0,133,49,166,87,37,44,54,21,35,4,496,29,130,34,15,13,20,7,5,0,256,3,7,0,5,12,20,0,7,0,65,3,11,9,7,21,25,8,9,0,97,9,9,27,18,54,64,27,44,0,257,0,24,11,8,20,38,5,11,0,115,36,88,78,67,101,128,43,91,0,630,6,23,23,15,19,32,4,11,0,135,18,16,23,27,56,41,14,31,0,227,31,124,92,56,73,103,47,80,0,601,47,182,193,126,130,130,34,47,10,895,14,47,15,7,8,16,0,9,0,113,18,47,26,19,21,17,6,12,0,162
POA3189,58,131,123,78,363,481,120,276,14,1639,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,9,3,5,19,20,3,6,0,61,0,0,3,0,6,9,0,0,0,15,0,3,8,0,8,12,0,0,0,35,0,8,13,4,16,14,5,0,0,49,14,34,34,19,22,18,5,3,0,160,11,44,20,6,4,7,0,0,0,97,0,0,8,0,6,3,0,0,0,19,0,3,6,3,4,10,0,8,0,37,0,3,3,15,14,30,0,3,0,73,0,4,5,4,3,9,0,4,0,25,9,16,24,10,33,43,3,13,0,158,0,6,9,3,12,3,3,0,0,38,5,6,6,7,31,11,3,3,0,80,14,37,35,24,47,28,10,24,0,215,18,57,62,55,73,50,17,19,3,372,0,9,6,3,4,0,0,4,0,33,5,14,13,8,6,6,0,3,0,53
POA3190,129,297,173,160,619,949,295,531,32,3181,0,0,0,0,0,0,5,0,0,3,5,0,0,0,0,0,4,0,0,11,9,29,17,10,32,31,5,10,0,138,0,0,3,3,4,7,3,6,0,31,3,14,14,4,27,18,0,11,0,99,3,7,5,8,18,24,9,4,0,77,21,79,44,34,56,39,9,22,6,313,20,72,23,10,16,12,0,7,0,164,4,9,11,3,9,14,0,6,0,45,9,5,0,0,18,10,3,7,0,51,11,7,7,18,39,59,13,19,0,176,0,6,3,10,9,12,7,6,0,57,18,38,60,37,67,103,9,58,0,396,6,13,8,12,12,24,7,3,0,87,8,4,24,24,58,43,12,16,3,192,22,92,79,37,74,73,24,56,0,455,38,102,126,107,135,105,23,26,7,671,11,21,11,8,10,4,6,3,0,62,8,29,27,7,15,16,8,5,0,117
POA3191,97,360,198,122,341,720,228,651,30,2743,0,4,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,18,14,10,18,22,6,15,0,93,0,4,0,0,3,10,0,3,0,22,0,13,18,3,8,19,4,4,0,71,0,3,9,5,11,17,0,7,0,56,23,98,42,21,29,44,3,14,0,271,20,79,19,10,3,7,0,6,0,152,4,10,7,0,10,12,0,9,0,47,6,3,9,7,15,15,3,15,0,65,11,8,19,15,22,43,11,19,0,141,0,4,12,5,9,11,5,7,0,58,14,48,48,35,57,66,23,55,0,351,8,19,12,12,14,16,6,6,0,93,8,12,17,16,46,35,8,22,0,155,26,76,54,30,59,50,15,45,5,365,33,125,113,53,82,49,12,26,3,498,5,20,7,11,10,9,0,3,0,73,9,20,12,7,16,13,0,10,0,83
POA3192,224,621,411,292,1251,1844,529,976,71,6221,0,6,3,0,3,5,0,0,0,19,0,0,0,0,3,6,0,0,0,7,11,29,42,21,65,46,13,17,0,241,3,4,3,5,13,4,0,5,0,35,9,34,20,22,31,32,10,13,0,169,7,9,30,12,36,30,11,8,0,143,54,233,119,58,101,60,20,33,6,671,38,181,74,24,33,24,8,7,0,388,6,18,21,5,21,12,6,5,4,88,13,10,12,7,24,32,6,10,0,108,24,11,22,34,70,100,15,33,0,306,10,10,23,9,24,24,9,11,0,122,18,68,71,61,112,153,24,66,3,581,11,26,22,16,33,24,4,9,4,148,30,19,63,33,110,75,21,37,5,394,37,160,139,95,144,121,43,105,6,851,60,206,270,246,233,199,25,51,11,1295,12,34,12,15,13,12,5,10,0,120,24,45,47,20,41,27,4,9,0,228
POA3193,185,627,340,251,610,1278,451,1270,46,5060,0,0,3,7,3,4,0,0,0,12,0,0,0,0,0,0,0,5,0,11,6,41,28,24,40,51,10,43,0,246,0,0,0,3,4,7,4,6,0,21,11,36,37,13,25,26,0,11,0,160,3,16,19,15,28,23,7,15,5,143,57,215,82,39,60,46,22,24,3,546,49,137,40,8,13,12,0,16,8,278,7,18,8,6,12,8,8,10,0,71,6,13,9,9,9,22,10,17,0,88,7,29,28,18,30,74,19,30,4,246,5,23,22,11,11,33,3,20,0,134,22,97,87,60,77,118,30,63,3,568,8,25,23,13,17,23,8,10,0,123,13,21,33,26,43,37,17,23,4,222,42,186,130,84,103,87,36,101,5,766,46,199,207,131,98,117,28,54,5,889,17,43,9,10,14,17,4,11,0,118,14,45,28,19,16,15,4,6,0,148
POA3194,138,344,221,143,691,1038,305,572,33,3473,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,7,22,20,12,29,39,5,15,0,151,0,0,0,3,10,7,0,3,0,22,4,10,17,8,22,28,4,21,0,112,7,10,13,7,25,26,4,9,0,99,32,97,65,27,78,53,15,10,3,378,16,81,27,8,24,14,3,3,0,173,10,9,10,4,12,11,0,3,0,62,4,0,0,9,13,19,0,6,0,58,16,6,15,24,39,52,14,20,0,184,0,7,9,0,12,19,0,6,0,67,13,52,49,29,70,95,28,37,0,376,3,21,13,6,18,17,7,3,0,88,14,19,24,27,75,44,11,24,0,247,22,88,83,38,118,79,42,67,3,538,50,110,147,126,145,122,29,35,6,761,9,17,15,4,7,11,3,0,0,69,11,23,27,19,23,23,6,0,0,137
POA3195,381,1038,578,438,1809,2951,844,1778,111,9928,0,5,3,3,6,6,0,0,0,31,0,0,0,0,0,0,0,0,0,7,20,88,78,53,121,97,25,41,4,524,8,0,10,8,22,17,0,12,0,77,13,49,44,31,70,75,19,20,0,332,4,24,30,33,62,67,19,23,0,264,69,390,199,74,138,110,29,39,6,1059,68,301,85,26,40,20,14,24,5,574,11,25,24,15,37,43,0,11,3,170,10,18,15,6,33,34,13,17,0,144,22,29,51,53,92,159,19,44,0,463,6,19,23,15,49,36,13,21,0,186,39,112,128,99,143,180,46,93,3,850,11,53,41,25,46,35,11,15,0,239,35,39,77,54,158,135,25,57,0,582,82,278,246,164,264,236,105,187,9,1560,111,360,438,338,351,293,84,91,18,2082,19,71,30,7,27,23,8,10,0,196,36,75,60,32,54,34,14,18,0,323
