POA_CODE_2021,CANA_HNA_MHC_dep_anx,CANA_HNA_Stroke,CANA_HNA_oth_LTHC,CANA_HNA_no_LTHC,CANA_HNA_LTHC_NS,CANA_HNA_Tot,CANA_dsnt_HNA_Arth,CANA_dsnt_HNA_Asth,CANA_dsnt_HNA_Can_rem,CANA_dsnt_HNA_Dem_Alzh,CANA_dsnt_HNA_Dis_ges_dia,CANA_dsnt_HNA_HD_HA_ang,CANA_dsnt_HNA_Kid_dis,CANA_dsnt_HNA_LC_COPD_emph,CANA_dsnt_HNA_MHC_dep_anx,CANA_dsnt_HNA_Stroke,CANA_dsnt_HNA_oth_LTHC,CANA_dsnt_HNA_no_LTHC,CANA_dsnt_HNA_LTHC_NS,CANA_dsnt_HNA_Tot,CANA_NFA_NS_Arth,CANA_NFA_NS_Asth,CANA_NFA_NS_Can_rem,CANA_NFA_NS_Dem_Alzh,CANA_NFA_NS_Dia_ges_dia,CANA_NFA_NS_HD_HA_ang,CANA_NFA_NS_Kid_dis,CANA_NFA_NS_LC_COPD_emph,CANA_NFA_NS_MHC_dep_anx,CANA_NFA_NS_Stroke,CANA_NFA_NS_oth_LTHC,CANA_NFA_NS_no_LTHC,CANA_NFA_NS_LTHC_NS,CANA_NFA_NS_Tot,CANA_Tot_Arth,CANA_Tot_Asth,CANA_Tot_Can_rem,CANA_Tot_Dem_Alzh,CANA_Tot_Dia_ges_dia,CANA_Tot_HD_HA_ang,CANA_Tot_Kid_dis,CANA_Tot_LC_COPD_emph,CANA_Tot_MHC_dep_anx,CANA_Tot_Stroke,CANA_Tot_oth_LTHC,CANA_Tot_no_LTHC,CANA_Tot_LTHC_NS,CANA_Tot_Tot,ADFS_CS_Arth,ADFS_CS_Asth,ADFS_CS_Can_rem,ADFS_CS_Dem_Alzh,ADFS_CS_Dia_ges_dia,ADFS_CS_HD_HA_ang,ADFS_CS_Kid_dis,ADFS_CS_LC_COPD_emph,ADFS_CS_MHC_dep_anx,ADFS_CS_Stroke,ADFS_CS_oth_LTHC,ADFS_CS_no_LTHC,ADFS_CS_LTHC_NS,ADFS_CS_Tot,ADFS_PS_NCS_Arth,ADFS_PS_NCS_Asth,ADFS_PS_NCS_Can_rem,ADFS_PS_NCS_Dem_Alzh,ADFS_PS_NCS_Dia_ges_dia,ADFS_PS_NCS_HD_HA_ang,ADFS_PS_NCS_Kid_dis,ADFS_PS_NCS_LC_COPD_emph,ADFS_PS_NCSMHC_dep_anx,ADFS_PS_NCS_Stroke,ADFS_PS_NCS_oth_LTHC,ADFS_PS_NCS_no_LTHC,ADFS_PS_NCS_LTHC_NS,ADFS_PS_NCS_Tot,ADFS_Tot_Ser_Arth,ADFS_Tot_Ser_Asth,ADFS_Tot_Ser_Can_rem,ADFS_Tot_Ser_Dem_Alzh,ADFS_Tot_Ser_Dia_ges_dia,ADFS_Tot_Ser_HD_HA_ang,ADFS_Tot_Ser_Kid_dis,ADFS_Tot_Ser_LC_COPD_emph,ADFS_Tot_SerMHC_dep_anx,ADFS_Tot_Ser_Stroke,ADFS_Tot_Ser_oth_LTHC,ADFS_Tot_Ser_no_LTHC,ADFS_Tot_Ser_LTHC_NS,ADFS_Tot_Ser_Tot,ADFS_HNS_Arth,ADFS_HNS_Asth,ADFS_HNS_Can_rem,ADFS_HNS_Dem_Alzh,ADFS_HNS_Dia_ges_dia,ADFS_HNS_HD_HA_ang,ADFS_HNS_Kid_dis,ADFS_HNS_LC_COPD_emph,ADFS_HNS_MHC_dep_anx,ADFS_HNS_Stroke,ADFS_HNS_oth_LTHC,ADFS_HNS_no_LTHC,ADFS_HNS_LTHC_NS,ADFS_HNS_Tot,ADFS_NS_Arth,ADFS_NS_Asth,ADFS_NS_Can_rem,ADFS_NS_Dem_Alzh,ADFS_NS_Dia_ges_dia,ADFS_NS_HD_HA_ang,ADFS_NS_Kid_dis,ADFS_NS_LC_COPD_ang,ADFS_NS_MHC_dep_anx,ADFS_NS_Stroke,ADFS_NS_oth_LTHC,ADFS_NS_no_LTHC,ADFS_NS_LTHC_NS,ADFS_NS_Tot,ADFS_Tot_Arth,ADFS_Tot_Asth,ADFS_Tot_Can_rem,ADFS_Tot_Dem_Alzh,ADFS_Tot_Dia_ges_dia,ADFS_Tot_HD_HA_ang,ADFS_Tot_Kid_dis,ADFS_Tot_LC_COPD_emph,ADFS_Tot_MHC_dep_anx,ADFS_Tot_Stroke,ADFS_Tot_oth_LTHC,ADFS_Tot_no_LTHC,ADFS_Tot_LTHC_NS,ADFS_Tot_Tot
POA3125,233,72,326,81,8,827,673,910,283,18,451,329,65,90,947,53,855,9756,341,13525,14,8,4,0,10,5,0,0,5,0,11,52,709,797,918,983,373,148,581,489,130,138,1182,126,1184,9881,1058,15147,0,0,0,0,0,0,0,0,0,0,0,12,0,14,34,15,18,3,16,38,3,6,7,5,16,55,0,158,37,12,18,3,16,38,3,6,9,5,22,67,0,167,863,857,343,136,550,433,118,129,1118,103,1059,8073,303,12224,8,7,5,10,15,10,3,5,16,6,18,56,631,735,914,875,373,148,580,484,129,139,1147,121,1099,8198,938,13128
POA3126,130,35,190,41,3,385,474,549,257,10,204,255,40,54,430,36,501,4847,180,7151,3,0,0,0,0,4,0,0,3,0,5,24,200,239,589,586,322,132,253,356,65,88,562,70,690,4912,386,7773,0,0,0,0,0,0,0,0,0,0,0,11,0,8,26,13,24,9,14,34,5,8,18,5,24,50,4,144,26,13,24,9,14,34,5,8,16,5,24,61,4,150,554,480,288,110,234,313,64,79,507,68,603,3818,154,6178,5,3,7,11,0,10,0,3,18,3,15,12,164,212,589,498,318,132,246,356,67,88,542,70,642,3890,326,6539
POA3127,181,52,287,101,25,756,1102,1336,509,12,456,522,78,115,1193,66,1262,11867,447,17267,3,5,3,0,5,5,0,0,6,0,10,98,454,584,1310,1417,593,103,560,648,108,164,1372,119,1561,12067,923,18608,0,0,0,0,0,0,0,0,0,0,5,12,0,18,40,13,34,3,13,39,6,8,15,10,34,101,7,247,40,15,32,3,17,39,6,8,15,10,42,115,7,267,1250,1216,556,92,525,590,97,145,1300,100,1407,9398,375,14874,14,10,6,7,9,10,3,0,12,0,16,42,400,490,1305,1243,593,103,550,643,106,160,1329,118,1458,9555,778,15630
POA3128,272,73,514,148,26,1209,895,1146,347,20,590,455,82,129,1264,70,1249,15177,448,20243,12,4,7,0,11,12,3,5,10,0,16,106,1238,1389,1224,1281,472,160,781,696,145,205,1546,144,1774,15438,1710,22841,3,0,0,0,0,0,0,0,0,0,0,14,0,24,36,14,18,3,18,33,4,15,12,0,18,72,5,173,37,15,18,3,18,33,5,15,15,0,21,89,8,195,1161,1130,447,144,756,635,135,176,1455,136,1603,12852,400,18483,25,7,8,11,8,14,0,8,17,5,41,122,1142,1336,1224,1155,474,160,779,683,139,205,1488,144,1661,13062,1551,20017
POA3129,216,65,317,130,14,873,915,1181,384,20,551,426,99,113,1081,58,1112,11659,433,16479,11,10,9,0,3,3,0,5,10,4,9,73,480,590,1148,1278,481,90,694,578,135,164,1307,123,1439,11861,926,17946,0,0,0,0,0,0,0,0,4,0,3,11,0,15,34,15,29,3,27,25,5,11,14,7,27,72,0,189,36,17,27,3,24,22,5,12,19,7,31,89,0,206,1103,1081,442,88,656,534,127,146,1222,112,1288,9162,348,14198,11,5,6,0,9,11,0,0,9,0,8,50,397,477,1148,1107,477,90,685,575,132,162,1249,123,1326,9301,748,14882
POA3130,490,142,699,221,35,1918,1923,2331,792,28,1112,968,201,254,2111,158,2160,20574,786,30099,30,14,9,4,15,15,3,5,21,8,21,136,810,1031,2532,2597,997,247,1436,1326,297,381,2621,302,2881,20934,1628,33044,0,0,0,0,0,0,0,0,0,0,0,21,0,24,95,36,58,16,56,102,14,32,51,29,74,159,13,480,99,36,56,16,56,102,14,30,49,29,76,180,16,506,2404,2197,924,219,1362,1190,276,338,2459,264,2574,15842,657,25963,27,17,7,10,8,22,6,6,17,11,13,89,701,867,2532,2248,985,247,1430,1312,292,376,2516,302,2661,16117,1373,27336
POA3131,492,120,564,175,20,1607,1322,1629,469,38,835,635,109,201,1405,117,1459,14256,533,20580,23,13,6,6,13,15,3,6,11,8,12,90,851,1000,1832,1833,642,259,1104,962,204,305,1905,241,2036,14521,1409,23191,0,0,0,0,0,0,0,0,0,0,0,17,0,15,82,37,42,10,33,66,10,24,28,11,47,107,10,303,85,38,42,10,33,65,10,24,28,11,47,126,10,326,1671,1530,574,190,1043,817,171,262,1734,211,1794,11066,443,17963,64,30,23,55,30,72,18,13,70,21,47,63,733,970,1824,1596,640,251,1103,960,200,304,1826,241,1887,11257,1187,19262
POA3132,172,47,283,84,18,738,948,1344,404,10,546,380,75,132,1177,64,1174,10695,377,15622,16,3,0,0,0,3,4,0,13,3,12,55,342,432,1160,1456,474,56,671,490,117,177,1352,120,1469,10834,729,16795,0,0,0,0,0,0,0,0,0,0,0,18,0,23,43,27,40,6,18,34,12,6,25,3,42,105,4,268,49,26,40,6,23,34,12,6,25,3,42,124,7,290,1108,1232,434,49,642,450,108,165,1280,116,1296,8147,314,13175,12,3,0,0,0,3,0,0,6,3,6,46,287,357,1160,1263,474,56,669,484,116,173,1314,120,1343,8315,611,13818
POA3133,273,120,464,116,7,1241,1361,1520,619,34,877,706,121,180,1093,107,1403,14630,531,20962,17,13,7,15,7,6,6,0,29,7,33,90,593,745,1763,1657,780,182,1108,966,191,263,1395,240,1897,14834,1138,22951,0,0,0,0,0,0,0,0,0,0,0,11,0,14,78,27,51,4,43,68,16,22,34,13,49,107,9,333,78,29,51,4,43,67,16,22,41,13,52,121,9,347,1646,1373,716,151,1045,867,161,226,1243,207,1628,11237,447,17907,30,15,15,24,14,26,13,8,40,17,50,63,527,675,1755,1414,776,185,1105,961,189,258,1324,237,1724,11420,983,18925
POA3134,554,139,771,212,30,1946,2126,2608,820,41,1175,949,193,285,2401,159,2217,21253,897,31418,73,41,25,64,35,55,13,11,118,19,65,138,882,1246,2740,2904,1018,369,1468,1312,289,446,3070,318,3055,21601,1808,34607,0,5,0,0,0,0,0,0,0,0,0,14,4,19,110,42,64,21,63,84,12,30,61,22,67,202,13,543,112,46,64,21,67,82,18,30,64,22,68,216,10,565,2545,2442,917,275,1358,1159,250,397,2743,276,2644,16281,738,26930,70,24,29,74,31,56,15,17,120,25,60,81,732,1021,2731,2514,1015,367,1459,1298,278,443,2928,316,2775,16577,1485,28513
POA3135,377,88,420,129,17,1124,1331,1838,511,17,707,563,123,193,1677,114,1461,12239,579,18885,17,13,11,3,13,7,0,0,20,8,17,85,553,691,1672,2005,634,112,869,733,174,287,2068,208,1896,12450,1149,20698,0,3,0,0,0,0,0,0,0,0,3,23,0,29,64,26,38,0,39,58,15,18,40,17,38,128,8,330,64,30,38,0,39,58,15,18,41,19,41,150,8,368,1571,1695,572,84,814,649,154,258,1882,177,1657,9012,456,15769,36,7,12,22,15,21,3,6,34,3,28,33,454,575,1672,1732,622,112,863,721,172,280,1954,204,1725,9196,923,16708
POA3136,874,233,1139,292,109,2870,3406,3836,1220,38,1649,1351,270,530,3632,249,3219,26950,1355,41886,49,32,14,18,20,22,0,4,42,5,23,188,1219,1545,4256,4247,1541,338,2054,1814,412,790,4543,485,4380,27429,2680,46296,3,5,0,0,0,0,0,0,6,0,0,34,0,45,194,74,94,22,117,155,31,51,110,28,126,276,23,829,194,74,94,22,117,155,31,51,116,28,128,311,20,875,3959,3562,1412,260,1888,1597,361,714,4164,433,3777,20130,1122,35574,97,34,33,58,26,48,13,13,51,23,50,87,1068,1366,4249,3669,1542,338,2034,1800,396,777,4329,483,3953,20527,2209,37816
POA3137,267,59,350,90,21,924,1155,1291,408,20,578,458,80,187,1294,79,956,8309,457,13213,6,6,0,0,9,5,0,3,13,0,15,48,337,422,1432,1419,500,106,703,619,143,274,1573,138,1319,8447,819,14558,0,0,0,0,0,0,0,0,0,0,0,10,0,16,61,32,33,0,38,48,10,20,28,11,37,89,5,252,61,28,33,0,33,48,10,20,28,11,37,100,5,266,1351,1207,457,78,655,546,115,246,1448,122,1128,6191,372,11288,21,6,5,25,10,19,5,4,16,6,29,24,281,372,1434,1242,500,106,703,610,139,273,1486,137,1204,6320,656,11925
POA3138,366,68,507,123,41,1244,1606,2030,556,29,873,609,134,227,1991,117,1619,13463,770,21054,15,13,7,5,10,12,0,5,15,0,21,89,616,765,1948,2232,684,152,1068,787,182,330,2373,185,2139,13678,1420,23059,5,3,0,0,0,0,0,0,0,0,3,13,5,22,91,38,45,6,54,73,12,25,40,11,60,119,15,372,92,37,46,7,55,73,13,25,41,11,64,133,15,390,1826,1881,630,139,982,696,161,296,2185,166,1837,9832,615,17505,24,7,8,3,11,14,6,0,8,6,9,52,493,592,1942,1926,683,148,1053,783,181,326,2236,184,1911,10018,1132,18489
POA3139,200,39,262,61,18,705,1086,1294,331,16,463,406,64,193,1222,88,908,8133,528,12979,8,11,4,0,3,3,0,4,10,0,5,77,457,575,1305,1418,397,53,581,524,94,263,1428,127,1182,8277,1005,14257,0,0,0,0,0,0,0,0,0,0,0,12,0,13,48,18,21,3,21,38,4,15,24,14,31,81,9,220,48,20,21,3,21,40,4,15,26,14,31,94,12,233,1235,1180,369,45,550,463,89,232,1305,114,1022,5979,402,10800,15,6,0,0,8,8,7,5,8,3,8,30,395,454,1302,1207,396,49,575,511,95,252,1339,126,1056,6102,807,11485
POA3140,324,74,382,127,24,1071,1431,1553,462,16,669,542,119,209,1527,93,1215,9658,593,15692,11,12,0,0,9,4,0,5,7,0,15,57,483,589,1786,1743,557,103,823,716,179,290,1858,173,1611,9841,1100,17348,6,0,0,0,0,0,0,0,0,0,0,10,0,16,92,39,24,10,43,58,10,17,41,18,49,124,11,341,94,36,28,11,44,54,9,17,41,17,47,133,14,356,1674,1481,519,89,768,646,162,267,1718,149,1408,7302,469,13526,17,3,6,4,7,5,0,7,11,3,8,45,415,491,1778,1522,555,103,822,710,176,289,1764,169,1463,7482,899,14376
POA3141,205,49,249,63,7,680,925,1953,462,12,391,420,102,126,2245,73,1457,15802,572,22594,8,15,3,0,12,3,5,0,10,0,11,109,1601,1756,1150,2056,541,71,514,557,137,176,2451,123,1722,15976,2186,25028,0,0,0,0,0,0,0,0,0,0,0,27,0,36,21,11,22,4,21,36,10,11,15,5,26,116,10,235,26,14,22,4,21,36,10,11,19,5,27,141,10,270,1111,1971,511,65,490,516,129,156,2409,117,1645,14319,529,21445,11,9,8,0,10,9,0,6,11,0,8,57,1462,1555,1150,1989,537,71,515,559,137,176,2435,123,1678,14523,1998,23266
POA3142,80,27,146,79,9,468,753,754,432,26,282,415,74,99,721,69,646,8070,303,11532,7,4,9,0,4,5,0,0,8,0,4,55,723,816,893,794,494,82,325,511,98,129,807,93,795,8204,1034,12817,0,0,0,0,0,0,0,0,0,0,0,11,0,17,37,9,28,10,17,41,12,10,14,9,19,101,4,215,37,9,32,10,17,41,12,10,16,9,18,112,4,227,849,736,464,71,307,466,75,115,773,86,736,6872,278,10481,13,8,0,0,0,7,0,3,5,0,9,33,650,711,893,746,495,82,323,509,93,126,795,93,759,7019,926,11428
POA3143,83,30,93,36,0,308,479,683,266,15,185,273,51,61,707,44,542,6001,225,8662,9,0,0,0,3,6,0,7,4,0,0,45,350,410,572,721,301,41,234,332,56,76,793,70,639,6085,570,9376,0,0,0,0,0,0,0,0,0,0,0,8,0,7,20,14,13,0,11,20,4,4,5,13,12,52,0,115,20,14,15,0,11,20,4,4,5,13,12,61,0,128,544,652,285,37,223,299,56,72,770,55,595,4964,196,7717,6,4,5,3,0,4,0,0,5,0,4,17,311,337,564,672,299,41,231,329,59,76,779,71,617,5042,506,8187
POA3144,101,28,168,43,7,445,690,764,372,22,228,331,58,107,653,66,592,6798,266,9931,3,0,3,0,0,0,0,0,0,0,3,44,329,386,843,821,443,91,279,436,89,129,755,100,762,6877,604,10763,0,0,0,0,0,0,0,0,0,0,0,4,0,4,37,13,30,5,10,22,3,13,12,12,18,59,4,164,37,16,30,5,10,22,3,13,12,12,18,61,4,163,794,714,408,86,269,405,81,121,716,84,680,5433,223,8651,8,4,5,0,0,4,0,3,5,0,6,29,286,329,843,732,442,91,278,433,87,129,732,100,701,5520,513,9147
POA3145,263,79,404,108,11,1098,1087,1580,604,30,566,572,109,136,1439,93,1457,15270,626,21633,15,15,6,3,7,8,0,3,10,0,12,107,699,866,1418,1712,733,233,725,789,163,209,1718,178,1874,15493,1333,23594,0,0,0,0,0,0,0,0,0,0,0,17,0,22,51,12,41,9,22,44,9,12,25,10,29,92,3,262,51,18,44,9,22,44,9,12,28,10,29,113,3,283,1345,1511,683,213,689,731,151,194,1630,158,1688,12158,521,18880,14,3,5,13,9,15,0,7,21,3,30,58,598,717,1414,1536,732,233,720,788,161,209,1671,178,1751,12327,1119,19880
POA3146,199,68,311,115,19,905,1301,1935,677,23,580,671,108,180,1643,97,1622,17119,649,24443,16,8,10,0,3,4,5,0,12,3,14,105,627,779,1550,2019,777,137,694,847,153,241,1855,168,1944,17343,1290,26131,0,3,0,0,0,0,0,0,0,0,0,29,0,35,49,22,35,7,24,56,4,14,21,12,49,152,7,339,49,27,35,9,24,56,4,14,18,12,47,177,7,375,1485,1756,732,132,659,772,129,228,1750,145,1726,13269,543,20606,14,9,4,3,3,3,4,0,5,7,10,35,547,633,1546,1793,769,137,690,838,138,237,1777,166,1780,13483,1097,21616
POA3147,343,66,348,102,25,1107,808,1103,321,21,446,362,74,111,975,68,929,9364,360,13478,9,6,0,3,4,11,0,0,7,0,7,54,431,518,1158,1256,439,242,623,548,125,174,1323,135,1288,9522,816,15102,0,0,0,0,0,0,0,0,0,0,0,15,0,19,31,17,18,12,24,40,9,12,25,4,29,70,8,191,31,23,18,12,21,40,9,12,26,4,26,89,8,209,1082,1032,407,164,590,488,115,152,1230,127,1121,7121,310,11635,50,13,6,61,10,16,0,4,13,5,15,30,353,479,1158,1063,438,235,620,538,125,168,1270,135,1166,7239,668,12322
POA3148,136,34,200,68,11,543,366,607,141,8,312,183,38,61,551,28,538,6214,217,8529,5,4,4,0,7,0,4,6,8,0,8,50,411,481,543,687,204,53,427,289,75,101,693,58,742,6340,640,9552,0,0,0,0,0,0,0,0,0,0,0,10,0,10,19,8,4,0,7,13,4,5,11,6,8,20,5,62,19,8,4,0,9,13,4,5,11,6,8,29,5,74,513,603,196,50,416,264,66,94,655,52,678,5001,201,7574,4,7,0,0,6,3,0,0,5,0,4,37,344,394,540,615,203,53,428,281,72,101,672,56,689,5068,545,8044
POA3149,337,120,609,227,68,1864,1776,2048,766,43,1247,984,181,214,1571,133,1961,23470,733,32244,24,19,7,0,18,15,0,6,11,3,14,152,992,1232,2319,2252,951,241,1549,1341,273,369,1919,252,2585,23844,1796,35340,0,5,0,0,0,0,0,0,4,0,0,25,0,29,108,26,57,11,52,84,15,24,30,14,54,154,15,440,109,33,57,11,52,85,15,24,27,14,55,179,15,466,2192,1885,890,223,1488,1238,256,344,1807,234,2319,18392,664,27856,15,9,10,4,3,15,0,0,9,0,19,105,854,1025,2315,1930,953,241,1541,1334,274,369,1842,255,2399,18682,1535,29344
POA3150,847,336,1404,384,44,3693,3290,3400,1452,104,2779,1968,338,430,2400,305,3554,41349,1270,57061,83,26,40,55,41,68,12,7,76,13,85,289,2039,2551,4557,3808,1912,787,3511,2841,554,693,3324,655,5036,42018,3358,63298,0,3,0,0,0,0,0,0,0,0,3,43,0,44,174,48,97,29,91,170,21,54,63,30,106,234,26,714,174,50,97,29,93,170,21,54,61,30,106,272,26,759,4254,3188,1770,661,3345,2587,511,616,3073,592,4514,32796,1153,50245,119,29,44,98,60,71,18,17,94,31,148,168,1733,2192,4554,3276,1910,783,3490,2827,553,688,3229,655,4771,33233,2909,53198
POA3151,122,40,251,78,18,663,632,658,244,22,438,302,71,93,517,60,609,6907,189,9698,4,0,4,0,6,6,0,0,0,0,5,46,247,314,846,731,310,77,572,424,95,129,646,102,865,7029,450,10675,5,0,0,0,0,0,0,0,0,0,0,5,0,9,27,12,22,4,12,24,6,8,6,3,17,27,3,111,29,12,22,4,12,24,6,8,6,3,25,35,3,121,811,658,290,75,549,388,87,119,622,93,768,5655,183,8786,9,0,0,0,10,5,0,0,0,4,28,40,222,307,846,662,310,77,568,420,94,129,638,102,824,5728,407,9214
POA3152,562,159,879,207,35,2144,2127,2478,826,27,1655,1047,205,287,1915,166,2244,21598,853,31670,40,17,18,14,22,23,3,15,18,8,86,158,808,1127,2821,2760,1060,335,2030,1487,325,444,2494,332,3210,21968,1690,34940,4,0,0,0,0,4,0,0,4,0,0,24,0,32,126,38,70,5,89,83,23,27,61,10,61,130,12,460,129,38,70,5,89,87,22,27,64,10,60,159,12,494,2623,2360,968,298,1900,1365,284,404,2289,306,2784,16765,720,27570,70,16,20,33,28,31,4,8,30,13,120,81,670,968,2819,2411,1059,335,2021,1474,319,435,2383,335,2970,16999,1402,29027
POA3153,537,95,622,158,39,1499,1423,1845,422,17,873,581,107,251,1798,118,1419,12048,588,18799,21,18,6,3,10,11,4,5,14,3,8,99,810,975,1876,2105,601,196,1095,823,183,368,2353,220,2054,12305,1436,21276,3,0,0,0,0,0,0,0,0,0,0,15,0,20,86,30,41,11,34,60,17,27,59,15,59,97,13,316,89,30,41,11,32,60,17,28,60,15,60,112,15,331,1728,1789,540,153,1038,739,152,323,2155,188,1768,9194,500,16411,57,19,12,33,19,23,11,9,51,16,47,54,670,836,1871,1844,594,196,1090,818,178,357,2262,217,1873,9356,1177,17577
POA3154,107,26,121,19,5,269,332,376,108,6,146,138,26,46,403,21,278,2565,172,4051,6,10,0,0,3,4,4,0,3,3,4,27,133,177,406,412,142,55,185,206,45,76,511,44,403,2605,313,4500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,6,0,11,11,0,8,19,3,9,30,4,84,14,7,6,0,11,11,0,8,16,3,9,30,4,81,386,339,134,54,164,185,41,67,462,40,347,1860,146,3411,5,9,0,3,6,7,3,5,9,0,11,4,107,139,407,353,140,55,186,206,45,78,492,44,365,1897,258,3634
POA3155,483,130,552,155,33,1560,1631,2178,498,16,1025,747,140,284,2107,143,1642,13236,675,21067,20,13,11,4,21,13,4,5,17,4,13,81,870,1035,2114,2430,671,197,1299,1013,223,421,2606,279,2201,13475,1575,23660,0,0,0,0,0,0,0,0,5,0,0,19,0,23,99,40,42,9,71,81,16,30,61,22,59,150,16,444,99,40,39,9,73,85,16,30,63,22,59,171,16,468,1973,2074,602,152,1196,880,198,382,2378,246,1941,10057,544,18236,34,12,24,40,22,38,0,7,52,11,30,67,701,924,2105,2129,667,197,1291,1005,212,418,2488,276,2034,10293,1258,19623
POA3156,716,157,870,208,32,2172,2694,3155,957,41,1544,1080,197,423,2951,182,2503,22618,1196,34953,27,29,8,3,11,11,0,8,26,4,23,138,1116,1359,3376,3492,1178,269,1921,1470,308,633,3697,350,3390,22965,2347,38484,6,0,0,0,3,0,0,0,4,0,3,27,0,27,147,54,67,14,91,112,19,39,83,33,77,238,8,618,146,56,67,14,91,112,19,39,83,33,79,261,8,649,3189,2921,1095,238,1812,1335,285,576,3435,306,2944,17238,1005,30043,40,26,6,14,13,18,0,6,30,7,29,70,927,1089,3373,2994,1170,269,1915,1459,307,626,3549,343,3064,17573,1940,31780
POA3158,98,14,101,42,14,259,476,620,169,0,215,179,36,62,616,28,517,4014,258,6368,5,0,0,0,0,4,0,0,6,0,5,30,139,190,552,668,182,9,240,217,40,89,719,33,617,4088,411,6818,4,0,0,0,0,0,0,0,0,0,0,10,0,15,26,9,10,0,18,13,0,3,17,0,14,49,3,124,28,10,10,0,18,13,0,3,17,0,15,58,3,136,521,560,175,9,220,204,43,85,656,33,541,2954,207,5219,0,0,0,0,0,3,0,0,0,0,0,13,122,139,555,571,182,9,240,217,41,88,671,33,559,3027,336,5497
POA3159,29,3,37,8,0,91,197,205,74,0,90,77,8,21,252,19,211,1472,79,2361,0,0,0,0,0,4,0,4,0,0,0,11,122,142,222,220,83,5,96,91,14,28,275,23,247,1495,204,2593,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,8,0,0,4,4,6,0,3,0,4,22,3,40,3,8,0,0,4,4,6,0,3,0,4,27,3,44,217,178,78,5,91,89,11,31,264,23,223,1068,64,1939,0,0,0,0,0,4,0,4,0,0,0,9,91,102,222,184,79,5,92,91,14,28,272,23,226,1093,160,2090
POA3160,127,21,160,48,14,390,708,797,236,7,246,254,53,109,939,45,672,5216,286,8353,4,0,0,0,4,4,3,0,5,0,9,33,232,283,816,855,269,25,296,306,64,136,1066,59,842,5293,529,9024,0,0,0,0,0,0,0,0,0,0,0,10,0,10,23,12,13,0,16,22,7,8,29,3,14,64,9,159,23,12,13,0,16,22,4,8,29,3,14,74,7,165,776,731,250,23,276,279,57,124,985,55,765,3834,229,6949,12,6,7,0,4,8,0,4,4,4,0,10,204,238,807,747,268,20,293,301,64,136,1019,59,782,3920,440,7355
POA3161,214,57,286,85,12,774,821,1106,372,14,466,459,95,96,1081,43,1068,10831,343,15315,11,9,0,5,0,9,3,3,4,5,6,69,718,820,1073,1171,463,172,600,632,137,149,1298,100,1364,10987,1080,16903,0,0,0,0,0,0,0,0,0,0,0,9,0,9,20,4,9,9,9,27,3,8,21,7,12,51,0,134,20,4,9,9,9,27,3,8,21,7,12,63,4,149,1046,1060,441,159,579,596,130,140,1243,98,1252,8571,324,13408,7,3,5,0,3,4,0,4,4,0,3,54,611,690,1073,1068,456,172,595,632,135,149,1260,99,1272,8686,940,14245
POA3162,423,97,563,78,12,1138,954,1150,481,15,592,509,123,128,1191,62,1195,11140,443,16287,9,5,3,0,3,10,6,5,10,0,8,67,545,645,1286,1260,605,295,790,744,196,186,1620,159,1771,11293,1000,18075,0,0,0,0,0,0,0,0,0,0,4,15,0,16,30,16,14,9,20,31,9,5,23,7,35,72,3,180,35,22,14,9,20,31,9,5,23,7,34,83,3,194,1235,1084,582,270,747,701,191,180,1523,148,1592,8506,386,14199,18,0,8,14,9,7,3,5,11,0,20,38,467,553,1282,1108,599,295,783,738,201,190,1559,157,1652,8624,853,14950
POA3163,368,117,589,168,51,1527,1484,2276,671,25,947,691,152,228,2388,124,2016,21268,712,30046,14,13,0,0,11,4,0,4,22,4,12,131,1050,1242,1943,2430,816,181,1179,963,219,317,2778,238,2622,21570,1809,32810,0,0,0,0,0,0,0,0,0,0,0,34,4,41,52,22,14,8,27,42,7,11,43,12,40,123,10,272,51,22,12,8,27,42,7,11,48,12,38,157,8,311,1868,2160,797,179,1136,906,210,296,2674,224,2432,17203,662,26701,16,12,3,0,12,7,0,6,15,0,18,96,921,1069,1938,2202,817,181,1175,955,217,316,2725,236,2487,17456,1594,28081
POA3165,348,104,501,172,35,1495,1427,1933,594,27,1000,772,145,225,1691,124,1807,19786,775,27732,28,11,11,0,14,7,3,4,15,0,14,137,736,940,1926,2092,766,168,1291,1089,263,349,2052,226,2323,20094,1544,30159,0,0,0,0,0,0,0,0,0,0,0,10,0,17,55,20,37,8,32,49,13,17,35,9,27,125,10,307,55,23,37,8,32,49,13,20,35,9,29,137,18,325,1825,1751,719,127,1238,1000,238,312,1883,209,2038,14614,644,22917,48,9,10,30,17,29,4,10,47,7,30,87,585,767,1923,1782,760,168,1287,1084,257,342,1961,226,2102,14842,1248,24008
