POA_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
POA3149,1235,1364,2594,789,972,1756,4,0,7,302,384,693,0,0,0,2589,2877,5470,21,37,63,1080,1172,2253,24,34,54,4,4,14,42,52,99,51,58,108,85,92,174,146,156,306,223,278,503,5,13,12,12,23,34,435,612,1048,394,498,886,23,19,35,6234,7290,13524,1286,1195,2476,390,294,686,38,48,80,0,0,0,140,129,271,83,96,178,220,225,443,7007,6652,13657,43,49,91,27,38,68,7079,6739,13816,893,818,1721,17373,17968,35340
POA3150,2747,2953,5702,1418,1830,3251,7,15,19,734,876,1613,0,4,3,4370,4814,9189,100,112,211,1243,1373,2614,20,38,56,37,42,82,79,76,155,223,263,488,180,194,367,304,355,653,400,466,867,23,31,59,33,31,62,745,1067,1813,845,1053,1895,27,34,53,10781,12667,23449,2624,2499,5116,850,759,1612,52,59,112,0,0,0,264,265,529,170,198,367,438,457,895,11811,10987,22799,91,51,142,21,37,54,11932,11068,23001,1678,1741,3418,31094,32202,63298
POA3151,409,449,857,200,286,483,0,0,0,115,140,254,3,3,5,775,864,1638,3,3,5,512,523,1036,0,13,18,13,5,19,7,16,21,14,15,24,22,18,40,32,43,75,75,112,186,7,10,16,4,3,9,131,159,295,137,147,285,0,3,0,2048,2357,4408,311,285,595,102,97,199,12,3,11,0,0,0,21,28,52,35,35,76,56,66,126,2028,1917,3945,15,3,20,0,5,6,2048,1931,3976,257,250,508,5243,5432,10675
POA3152,1015,1127,2145,898,1187,2091,4,3,4,532,614,1147,0,0,0,2562,3130,5692,77,81,158,475,511,978,13,25,37,85,103,191,67,88,154,59,54,111,137,154,287,506,560,1064,341,410,746,33,44,74,59,62,121,400,504,901,678,835,1517,21,16,28,6936,8377,15310,922,913,1836,274,254,523,19,18,36,0,0,0,146,177,321,79,102,183,226,279,503,6619,6109,12726,47,63,107,24,32,61,6688,6210,12892,823,863,1681,16899,18039,34940
POA3153,303,420,729,576,779,1357,0,0,0,274,302,574,9,8,10,1615,1847,3463,48,68,113,138,127,259,16,36,56,43,58,101,30,52,83,20,21,41,32,40,75,141,170,312,159,188,341,15,19,36,37,44,85,192,272,468,348,441,791,45,54,99,3744,4523,8267,361,361,730,118,106,220,7,5,10,0,0,0,100,81,175,77,81,152,170,163,333,4954,4538,9497,36,19,58,13,35,55,5002,4598,9604,675,712,1391,10379,10894,21276
POA3154,19,26,42,159,211,372,0,0,0,44,49,96,0,0,0,314,390,705,14,19,36,14,11,25,7,5,11,8,13,18,16,18,37,0,0,0,5,8,18,22,40,64,27,37,60,3,6,10,6,9,11,30,35,63,62,58,119,10,4,16,741,912,1655,14,7,23,5,6,14,0,0,3,0,0,0,0,0,0,4,8,13,4,12,12,1285,1173,2459,12,10,20,4,11,18,1308,1188,2494,126,143,264,2210,2295,4500
POA3155,349,464,820,712,935,1646,0,0,0,229,260,484,19,19,43,1650,2001,3656,45,52,88,186,180,363,26,31,52,42,43,80,34,46,83,22,21,45,29,42,73,127,166,293,153,213,367,21,31,53,25,26,48,202,307,511,339,406,744,27,44,70,3887,4807,8697,355,361,716,148,118,267,5,15,16,0,0,0,56,66,118,66,90,153,125,151,278,5817,5411,11224,41,30,74,22,44,67,5877,5487,11364,772,732,1507,11519,12142,23660
POA3156,422,527,946,1288,1600,2884,0,0,0,289,360,650,55,51,105,3730,4140,7867,43,54,97,417,351,764,44,68,112,35,45,83,67,78,148,70,65,130,78,91,172,233,272,502,292,341,636,33,43,73,46,49,100,327,489,824,535,628,1164,37,49,91,7617,8787,16403,372,349,726,249,260,514,21,30,45,0,0,0,75,66,140,64,100,166,139,176,315,9095,8280,17372,62,45,103,40,69,111,9197,8397,17586,980,968,1948,18997,19486,38484
POA3158,30,50,74,186,258,438,0,0,0,38,54,93,0,0,0,424,472,895,5,10,15,30,21,46,13,14,30,6,4,14,9,10,23,0,0,3,10,5,17,27,25,43,32,48,76,0,0,4,8,10,15,46,68,112,78,90,167,11,14,23,919,1093,2010,17,12,23,7,9,16,6,11,21,0,0,0,0,3,3,23,26,49,26,33,55,2184,2014,4200,19,16,34,12,29,33,2214,2052,4271,193,151,342,3408,3405,6818
POA3159,3,16,16,94,108,204,0,0,0,17,23,39,0,0,0,126,171,296,0,0,5,6,11,19,0,0,4,0,0,0,8,8,7,0,0,0,7,0,6,0,3,6,13,13,26,0,0,3,0,4,3,14,24,42,32,40,77,0,0,5,331,409,740,0,3,5,4,4,4,12,8,13,0,0,0,0,0,0,7,10,20,13,10,19,819,766,1588,7,5,12,8,4,11,832,776,1610,107,82,185,1294,1300,2593
POA3160,41,78,119,234,313,545,0,0,0,76,72,147,0,0,0,515,543,1059,11,10,14,39,39,80,11,17,27,6,0,0,11,15,32,0,0,0,8,19,27,45,55,98,51,65,117,0,0,3,9,3,13,70,107,178,150,160,304,8,14,25,1245,1429,2675,18,7,23,3,5,12,10,12,20,0,0,0,3,4,9,16,42,57,28,43,70,2874,2686,5563,27,24,49,10,18,29,2911,2728,5639,258,204,465,4520,4506,9024
POA3161,104,144,249,223,278,502,0,0,0,29,39,62,0,0,0,701,853,1550,0,0,6,188,237,427,10,10,23,5,3,5,7,11,21,7,5,14,6,14,19,5,17,29,38,29,63,0,0,0,3,3,7,43,56,101,55,101,156,0,0,0,1325,1659,2982,247,183,428,50,50,106,3279,3613,6891,0,0,0,16,12,24,15,24,36,30,33,65,2482,2452,4932,28,26,54,12,18,25,2527,2495,5017,550,614,1173,8112,8790,16903
POA3162,106,144,252,282,340,622,0,0,0,26,39,65,0,0,0,893,1039,1934,4,0,8,323,450,771,8,18,27,5,3,9,6,22,29,17,20,35,21,22,42,10,23,38,40,48,88,5,4,3,0,6,3,64,91,159,63,89,150,9,3,11,1786,2203,3992,158,135,294,37,47,78,3292,3580,6871,0,0,0,21,13,38,19,17,38,38,35,78,2693,2584,5279,31,16,47,14,17,27,2741,2620,5357,598,552,1147,8756,9319,18075
POA3163,394,560,950,692,844,1536,0,0,0,92,102,199,0,0,0,2546,2962,5505,14,14,24,915,1021,1940,39,43,79,4,8,9,27,37,60,27,31,60,39,45,92,44,86,135,122,153,270,5,3,7,10,16,29,160,280,446,210,297,502,8,11,20,4957,5961,10919,1668,1416,3087,227,181,409,886,1050,1938,0,0,0,65,44,115,70,79,152,136,133,266,6786,6528,13311,72,78,156,24,28,49,6879,6644,13518,852,863,1715,16007,16810,32810
POA3165,285,366,653,629,797,1422,0,0,0,92,98,188,0,0,0,2876,3269,6142,7,19,25,1424,1542,2972,30,37,67,10,10,15,37,34,72,36,40,77,27,39,65,45,64,113,119,147,275,7,13,21,4,9,14,214,318,527,247,289,536,6,24,30,5811,6740,12555,569,498,1066,125,128,253,1424,1454,2878,0,0,0,40,28,72,57,70,127,95,99,196,5697,5318,11014,47,24,72,18,32,48,5761,5370,11129,701,733,1433,14777,15386,30159
POA3166,354,512,870,381,526,913,0,0,0,83,116,199,0,0,0,2509,2827,5331,14,16,25,1738,1911,3649,16,28,45,0,5,10,16,27,45,40,52,97,51,43,98,72,67,140,110,132,236,5,0,0,13,11,21,180,188,373,183,231,414,3,8,16,5416,6194,11614,787,657,1442,220,182,403,94,106,202,0,0,0,68,63,132,57,67,122,125,127,252,4435,4088,8523,54,43,102,18,23,43,4510,4158,8666,681,626,1306,12194,12557,24753
POA3167,207,236,441,148,183,335,0,0,0,36,33,69,0,0,0,1004,1078,2084,4,3,9,773,769,1541,6,12,16,0,0,4,5,13,17,15,20,31,17,14,32,19,35,57,34,39,73,0,0,0,3,5,10,51,85,136,77,110,190,0,0,0,2204,2414,4611,359,288,650,100,88,187,104,110,215,0,0,0,40,31,70,31,31,60,69,60,131,1589,1456,3040,17,15,31,9,12,16,1611,1482,3094,248,264,513,4905,4946,9851
POA3168,812,810,1617,186,210,400,0,0,0,114,133,247,3,5,7,1334,1577,2917,6,0,10,542,606,1145,18,16,34,9,8,18,15,10,21,29,22,51,51,61,116,83,83,164,78,81,155,3,4,4,12,23,38,72,91,163,209,283,495,5,0,6,2774,3225,6000,1846,1092,2941,631,432,1064,29,32,61,0,0,0,249,192,439,59,56,111,306,249,555,4062,3478,7541,36,34,73,15,9,27,4116,3516,7632,1170,847,2012,11681,10201,21880
POA3169,881,975,1860,192,213,403,0,11,6,58,73,138,0,0,0,2023,2206,4226,18,15,33,1316,1483,2795,34,47,89,30,12,43,10,9,18,45,48,91,45,55,97,85,102,187,99,131,229,0,0,0,20,18,33,70,80,152,229,273,499,0,5,11,4260,4784,9040,1183,894,2080,421,403,821,60,72,134,0,0,0,282,208,489,37,47,85,323,256,576,2713,2298,5017,26,16,39,8,21,28,2745,2334,5078,658,563,1221,10541,10285,20820
POA3170,728,806,1537,361,468,828,6,7,11,112,129,244,0,0,0,2358,2499,4859,17,17,32,1046,1085,2132,17,20,45,16,18,25,15,24,41,89,90,182,44,47,89,109,129,242,117,136,251,8,15,22,19,14,37,131,189,325,231,287,514,3,7,10,4701,5173,9883,516,484,998,469,378,849,15,21,38,0,0,0,95,81,167,44,48,96,133,131,262,2828,2470,5300,23,9,30,11,18,29,2863,2497,5361,548,413,967,9982,9903,19889
POA3171,2382,2785,5172,161,181,336,0,0,4,106,119,220,0,0,0,1791,1924,3712,33,32,66,291,320,610,23,32,49,18,20,36,9,9,19,15,9,19,49,41,90,42,43,87,74,74,147,0,4,4,31,34,64,97,107,212,217,223,438,12,10,26,2956,3188,6144,574,364,932,1276,1016,2297,14,14,29,0,0,0,407,306,717,33,27,63,443,337,784,3004,2365,5374,9,14,23,5,4,12,3021,2383,5403,743,676,1416,11408,10765,22174
POA3172,2036,2454,4490,603,754,1356,0,0,0,100,114,212,0,0,0,2449,2591,5042,14,11,24,512,524,1034,46,53,102,28,33,66,24,22,47,19,20,46,31,28,56,99,113,209,97,146,244,3,5,6,13,19,30,171,251,418,225,256,485,8,6,17,4434,4961,9396,208,166,376,382,316,703,87,78,167,0,0,6,139,84,224,38,40,78,179,124,304,3583,3037,6617,16,12,29,11,13,25,3613,3062,6673,600,551,1151,11544,11716,23261
POA3173,2720,3153,5876,391,447,834,0,0,3,108,111,215,0,0,3,3087,3292,6381,15,18,34,505,516,1022,35,46,78,22,27,41,14,15,25,22,26,48,56,58,112,199,240,438,104,114,221,0,4,4,25,31,60,141,178,314,395,417,816,7,9,18,5130,5554,10686,758,719,1481,1148,1029,2176,26,23,50,0,0,0,307,248,552,67,54,118,370,296,670,4029,3583,7606,23,17,41,10,15,29,4059,3612,7672,709,703,1413,14925,15094,30018
POA3174,3067,3549,6615,495,587,1080,0,0,4,170,202,373,0,3,4,3634,3985,7622,37,31,63,822,869,1693,65,84,145,25,30,53,17,39,61,64,75,138,96,104,195,171,185,356,159,161,319,4,8,19,73,86,158,205,260,465,482,575,1062,13,4,14,6542,7278,13824,1055,802,1856,2290,2034,4323,27,27,52,0,0,0,880,782,1665,88,95,178,972,877,1845,4497,3817,8323,36,35,72,20,19,43,4563,3875,8435,1440,1300,2742,19950,19743,39693
POA3175,1517,1753,3272,663,814,1474,5,0,5,224,256,479,6,5,8,4215,4565,8774,28,30,58,1500,1618,3113,56,86,138,47,60,103,27,28,54,131,138,268,122,153,275,253,320,576,228,306,532,23,42,64,82,105,179,245,310,557,794,868,1661,8,13,25,8637,9703,18344,1972,1570,3548,7147,6025,13169,30,12,49,0,0,4,792,660,1451,140,153,297,935,821,1750,4681,3871,8550,43,23,69,25,28,56,4753,3924,8676,2629,2110,4743,27627,25919,53545
POA3177,248,284,541,136,176,315,0,0,0,68,79,152,0,0,3,773,849,1619,4,0,9,321,307,624,13,20,36,18,18,33,0,12,14,12,16,33,40,45,92,70,87,158,60,67,131,11,6,22,17,19,34,32,44,74,230,267,497,0,3,6,1835,2026,3858,343,271,612,1829,1333,3167,0,9,6,0,0,0,120,122,239,28,29,53,145,147,291,1202,1033,2235,12,11,19,9,7,13,1222,1050,2267,618,526,1146,6245,5645,11889
POA3178,774,894,1669,1021,1220,2242,6,7,10,272,318,594,12,15,25,3932,4258,8186,31,49,78,615,665,1284,34,32,64,28,34,60,42,45,85,161,166,330,69,89,153,253,271,529,190,249,441,21,31,55,40,26,66,332,431,754,495,577,1072,7,11,19,7560,8493,16054,605,583,1188,402,401,804,11,21,33,0,0,0,118,110,226,97,108,205,218,219,435,6250,5761,12009,34,29,64,23,28,49,6309,5816,12127,665,605,1271,16539,17031,33571
POA3179,220,243,461,161,201,368,0,0,0,85,84,166,0,0,4,536,558,1099,9,13,21,72,72,143,0,5,3,4,9,17,15,13,22,15,12,26,14,22,36,69,92,163,46,64,113,5,4,8,8,0,8,67,64,130,120,132,249,0,0,0,1221,1348,2568,189,185,377,63,67,129,4,3,3,0,0,0,21,24,50,16,24,38,40,46,84,1141,966,2110,3,3,7,5,4,12,1148,980,2126,169,139,306,3057,3007,6066
POA3180,163,184,346,222,283,502,3,4,4,131,130,264,0,0,0,542,674,1213,11,15,26,93,97,191,8,3,9,8,8,15,15,21,36,24,20,44,26,31,58,59,80,139,106,116,229,3,12,17,15,11,26,94,138,234,160,173,341,3,10,18,1527,1823,3346,154,164,316,65,52,121,6,0,3,0,0,0,17,15,28,23,20,35,34,38,67,1609,1461,3073,8,4,10,7,9,15,1624,1479,3101,168,170,344,3741,3907,7645
POA3181,147,191,332,548,626,1173,0,0,0,34,44,79,0,0,0,1245,1515,2766,0,3,3,537,659,1195,13,11,28,0,0,0,16,20,40,15,10,29,18,27,48,13,24,38,65,76,142,0,3,3,8,4,17,104,101,211,87,139,230,0,3,3,2723,3282,5998,148,132,278,166,145,312,313,356,667,0,0,0,15,3,18,27,22,46,44,29,71,5226,5063,10293,72,47,120,16,37,53,5316,5150,10464,750,765,1518,9591,10046,19636
POA3182,168,212,379,478,487,963,0,0,0,53,35,84,0,0,0,1572,1806,3381,4,6,13,236,283,520,12,10,22,3,4,9,27,20,46,11,16,26,19,23,43,18,28,50,71,77,148,0,3,5,5,9,16,94,99,193,125,161,284,3,3,8,2741,3068,5806,319,254,568,141,92,232,242,243,482,0,0,0,22,15,41,55,55,108,81,69,151,6226,6107,12335,97,57,158,40,55,93,6363,6228,12586,1241,994,2234,11278,11156,22438
POA3183,104,132,235,257,277,538,0,0,0,30,30,58,0,0,0,927,1188,2117,5,5,3,193,208,398,9,5,11,0,0,0,9,12,23,3,4,12,5,9,23,21,19,41,45,41,87,5,3,6,0,7,5,43,61,101,83,126,208,7,3,8,1637,2002,3637,287,170,453,81,42,127,1965,1986,3946,0,0,0,15,7,22,32,24,54,45,30,79,3932,3977,7910,54,45,97,22,34,52,4006,4062,8070,728,680,1412,8854,9103,17964
POA3184,66,116,187,395,460,857,0,0,0,23,34,55,0,0,0,1034,1268,2308,3,0,3,166,178,342,21,26,40,4,3,4,17,25,40,9,8,19,16,17,31,15,28,37,52,73,120,0,0,0,0,0,0,56,94,150,62,92,152,3,6,11,1873,2316,4188,53,46,101,58,36,86,247,283,534,0,0,0,6,4,9,30,35,62,35,41,71,4143,4470,8614,54,31,87,19,59,86,4223,4561,8788,601,600,1202,7154,8004,15153
POA3185,72,98,166,293,391,689,0,0,0,24,31,51,0,0,0,1038,1240,2275,5,7,11,198,241,443,10,9,19,0,5,4,14,25,38,0,9,9,6,13,20,17,20,31,39,72,109,0,5,5,0,6,6,81,89,174,66,100,170,3,7,6,1796,2249,4042,105,98,200,52,24,82,1043,1166,2215,0,0,0,8,9,16,13,21,36,18,34,48,2819,3012,5824,37,30,72,18,21,37,2868,3062,5931,366,381,749,6327,7109,13433
POA3186,111,206,318,1414,1770,3186,0,0,0,61,60,119,0,0,0,2260,2840,5094,11,11,20,438,474,915,10,21,30,0,5,8,39,46,83,24,26,53,13,21,34,28,36,61,149,169,317,0,4,8,5,4,4,251,349,602,103,168,267,7,0,8,4809,5997,10810,82,66,147,62,71,129,406,423,830,0,0,0,8,8,14,19,26,48,27,36,63,4827,4747,9567,33,20,59,6,28,39,4872,4792,9658,590,698,1295,10956,12292,23252
POA3187,103,160,264,780,1002,1786,0,0,0,25,40,69,0,0,0,1516,1917,3435,8,6,13,441,444,883,3,8,10,0,0,4,11,21,33,18,15,33,17,19,36,6,16,18,91,109,196,0,5,7,0,9,9,168,254,428,73,106,177,6,9,12,3169,3982,7150,86,80,167,74,73,149,724,818,1535,0,0,0,24,23,42,20,23,45,44,42,86,3364,3112,6475,16,17,32,3,14,23,3383,3146,6529,429,445,876,8014,8744,16757
POA3188,80,136,218,869,1040,1911,0,0,0,28,54,77,0,0,0,1818,2228,4044,0,4,8,376,400,777,12,13,27,3,3,7,38,39,74,15,11,25,18,24,42,17,20,37,109,132,239,4,7,13,5,3,3,230,277,506,105,128,232,5,0,8,3645,4384,8033,83,73,152,63,67,131,122,134,259,0,0,4,16,14,28,20,26,50,42,44,88,4399,4234,8637,38,32,68,19,26,48,4451,4293,8746,471,490,966,8967,9627,18587
POA3189,42,74,121,160,210,368,0,0,0,15,19,35,0,0,0,625,736,1365,3,12,14,222,235,459,4,9,13,3,7,10,13,17,27,13,9,22,5,9,9,14,22,40,34,35,64,0,0,3,0,4,6,41,64,109,32,56,87,0,0,0,1200,1436,2633,112,92,203,17,23,42,119,130,253,0,0,0,11,5,20,33,36,72,47,43,91,1343,1193,2533,11,7,16,6,12,16,1357,1213,2565,203,185,383,3092,3194,6287
POA3190,77,124,203,394,527,924,0,0,0,24,38,63,0,0,0,1157,1431,2587,0,7,10,254,313,568,3,9,8,3,13,17,12,11,21,3,9,14,23,14,38,27,33,58,48,75,128,0,0,0,0,0,0,96,137,233,109,134,244,0,0,0,2174,2751,4924,99,95,199,61,85,146,104,120,224,0,0,0,13,13,25,28,24,51,40,37,78,2796,2735,5538,27,13,39,14,11,24,2837,2767,5600,308,325,633,5710,6299,12007
POA3191,35,52,86,563,796,1357,0,0,0,24,29,52,6,0,6,1066,1286,2348,4,3,3,146,174,321,3,8,9,0,0,0,18,24,43,0,3,9,12,16,29,18,27,35,79,101,179,0,0,0,0,3,5,133,184,316,69,96,169,3,5,6,2147,2752,4896,35,34,74,29,33,67,50,51,97,0,0,0,0,4,9,12,6,22,14,10,30,2495,2483,4978,21,19,38,10,15,22,2525,2516,5041,311,326,640,5143,5774,10926
POA3192,156,240,402,778,1152,1926,0,0,0,88,99,190,0,0,4,2408,2700,5103,25,36,57,751,861,1612,29,40,68,10,8,21,19,53,71,8,9,15,37,47,82,60,64,128,135,199,329,3,8,15,8,7,15,185,296,475,177,220,401,8,5,11,4709,5807,10521,296,313,613,159,154,317,175,175,348,0,0,0,49,49,94,34,49,83,80,96,181,5280,5115,10393,38,31,77,20,29,47,5338,5176,10513,622,616,1240,11547,12588,24129
POA3193,73,106,182,1178,1525,2706,0,0,0,66,73,137,0,0,0,2003,2238,4244,11,6,18,354,389,744,15,15,26,6,5,10,29,51,84,19,18,39,22,34,62,32,45,84,139,165,304,4,4,7,3,4,6,280,371,647,129,163,293,14,10,24,4309,5128,9434,36,38,79,52,57,105,77,67,139,0,0,0,3,5,14,8,19,27,19,18,37,4617,4607,9221,41,21,65,12,26,33,4673,4653,9321,450,455,902,9687,10514,20207
POA3194,76,109,184,454,580,1040,0,0,0,55,53,104,0,0,3,1427,1709,3136,3,6,9,351,385,734,7,24,32,5,7,13,18,15,28,10,10,24,9,19,27,28,37,62,72,88,160,3,3,12,3,8,15,124,191,314,107,114,215,4,4,12,2684,3253,5935,112,114,226,79,73,150,54,59,108,0,0,0,11,10,21,13,9,26,22,20,47,2932,2968,5898,21,22,40,11,26,42,2968,3012,5983,288,303,592,6278,6944,13221
POA3195,323,446,772,1321,1674,2991,0,0,0,148,163,312,0,0,0,4571,5132,9697,21,33,56,827,868,1693,53,48,98,15,6,15,58,67,124,31,44,70,49,49,92,116,131,248,247,310,556,10,19,33,4,10,17,330,434,761,285,375,662,13,10,25,8093,9369,17462,310,280,585,184,181,369,84,131,212,0,0,0,20,29,55,48,58,98,65,87,153,8054,7898,15951,55,32,90,19,46,69,8129,7980,16106,852,848,1703,18050,19317,37364
POA3196,137,197,336,927,1262,2187,0,0,0,90,115,206,0,0,0,2854,3466,6323,6,20,26,429,455,883,24,31,58,22,26,47,22,30,52,33,32,64,25,43,60,62,79,140,173,208,377,6,14,23,17,15,32,199,316,513,203,269,473,4,8,8,5084,6394,11477,99,97,197,89,79,171,48,55,106,0,0,0,4,12,13,27,49,74,28,60,84,6425,6378,12804,51,33,78,26,49,77,6494,6459,12960,782,761,1540,12767,14107,26876
POA3197,83,127,207,463,650,1113,3,3,9,50,46,95,0,0,0,1286,1488,2779,0,6,6,204,255,454,15,7,25,8,5,12,21,24,39,19,20,35,8,10,20,40,41,78,79,108,184,0,8,3,3,5,3,138,195,333,100,121,224,0,5,4,2429,2983,5413,58,57,122,46,57,112,19,25,37,0,0,0,16,11,29,7,14,26,29,26,57,2815,2637,5448,14,8,21,10,10,18,2837,2651,5486,299,297,600,5801,6228,12032
POA3198,64,123,182,646,798,1437,0,0,0,75,77,148,0,0,0,1450,1626,3074,5,14,23,164,179,346,31,38,72,8,13,24,31,29,59,6,3,6,22,19,42,46,62,107,107,147,257,9,23,27,12,13,26,129,198,326,149,208,358,9,7,13,2902,3457,6358,60,63,118,66,56,116,19,35,56,0,3,3,7,0,11,42,49,96,50,58,105,4552,4254,8807,33,29,66,21,47,68,4606,4338,8944,677,657,1332,8436,8780,17215
POA3199,222,392,608,2297,2796,5088,0,0,0,237,296,538,0,0,0,4221,5082,9297,37,48,84,573,617,1194,75,94,168,91,103,193,60,85,146,46,49,98,68,103,168,175,238,414,390,508,899,24,35,56,26,33,61,500,730,1223,646,769,1420,29,22,48,9501,11608,21106,180,165,344,190,166,357,71,58,136,0,0,0,28,26,55,120,141,259,143,163,312,14515,13931,28448,108,97,203,69,130,200,14692,14169,28853,2268,2145,4415,27261,28866,56127
POA3200,20,39,59,173,248,425,0,0,0,32,39,67,0,0,0,353,397,753,6,0,3,48,41,85,6,14,17,12,12,19,13,7,14,3,4,14,6,13,20,31,30,57,81,71,154,5,0,11,5,3,8,28,38,71,68,79,148,5,0,8,867,992,1858,16,12,25,29,26,54,5,3,10,0,0,0,4,10,12,13,21,40,26,25,50,1490,1360,2853,23,16,36,9,11,19,1523,1387,2909,374,363,737,2854,2851,5711
POA3201,181,254,436,669,892,1567,0,0,0,90,116,209,0,0,0,1893,2148,4043,6,15,26,288,278,566,31,45,81,43,58,96,22,22,48,23,16,38,31,56,81,83,125,210,143,186,328,14,15,28,40,46,82,109,184,298,253,343,593,10,8,23,3779,4550,8326,316,305,624,193,160,355,20,32,56,0,0,0,74,64,134,41,70,116,116,131,249,5346,5067,10413,44,36,70,9,26,36,5400,5125,10523,718,700,1416,10727,11259,21976
POA3202,24,38,64,81,93,176,0,0,0,12,11,22,0,0,0,301,321,624,0,0,0,62,77,137,0,0,0,3,0,6,3,4,9,4,3,6,7,5,14,21,23,44,16,10,31,0,0,0,0,10,10,31,37,76,48,54,105,0,0,0,591,657,1251,46,39,80,27,30,56,47,52,97,0,0,0,0,0,0,9,10,14,4,8,16,534,541,1077,6,3,7,0,0,3,542,542,1084,98,78,178,1386,1441,2826
POA3204,356,473,833,813,931,1748,3,0,3,104,143,241,0,0,0,2825,3339,6166,5,13,14,973,1106,2080,14,20,32,6,16,16,30,47,74,35,30,62,33,41,75,55,63,120,140,146,284,3,7,15,7,5,16,243,369,616,224,288,505,4,10,20,5517,6576,12091,778,605,1380,130,114,238,1191,1308,2495,0,0,0,64,38,100,47,58,103,110,94,205,7146,6857,14004,70,57,131,17,36,52,7240,6949,14193,824,869,1695,16140,16991,33130
POA3205,102,152,254,362,400,754,0,0,0,29,42,72,0,0,0,881,1051,1934,0,4,4,223,252,472,3,4,7,0,0,4,12,19,27,7,16,26,10,23,33,31,48,76,49,58,106,0,0,0,0,3,4,85,103,183,88,120,207,0,0,0,1779,2141,3924,104,83,192,145,159,300,61,69,130,0,4,3,4,8,13,23,20,52,30,32,63,2958,2714,5673,29,22,53,6,30,39,2996,2770,5762,454,479,926,5671,5877,11548
POA3206,46,61,109,425,521,948,0,0,0,32,32,65,0,0,0,884,1093,1973,0,0,3,457,478,934,9,7,15,0,0,0,17,19,33,8,9,19,5,3,12,12,13,28,51,44,97,3,0,6,0,7,8,70,111,185,40,69,112,4,6,10,2022,2405,4433,107,84,191,12,20,38,43,35,83,0,0,0,7,0,8,10,14,22,12,12,28,2300,2325,4625,18,21,41,6,12,17,2323,2357,4680,230,247,479,4810,5235,10043
