POA_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
POA3415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,22
POA3418,8,0,11,6,4,9,6,11,0,56,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,12,11,0,3,6,7,0,4,13,4,39,176,167,108,97,71,29,49,91,13,798
POA3419,0,0,7,4,6,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,52,59,21,34,25,6,15,24,3,248
POA3420,6,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,6,4,10,4,0,5,9,0,91
POA3423,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,22,9,15,5,3,4,6,0,88
POA3424,4,0,8,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,50,37,16,24,10,8,9,17,0,171
POA3427,13,7,31,18,26,7,10,11,0,128,0,0,0,0,3,0,0,0,0,3,6,3,7,6,3,3,7,8,0,35,4,0,7,4,10,4,6,10,7,51,220,533,371,267,310,118,140,144,45,2141
POA3428,0,0,5,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,6,32,39,51,12,29,10,18,3,3,196
POA3429,82,22,238,119,115,80,49,68,4,774,0,0,0,0,0,8,0,0,0,10,22,30,31,31,37,8,29,14,11,221,44,27,52,32,33,25,36,33,58,338,1719,3328,2564,1875,1763,709,670,681,227,13542
POA3430,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,24,17,5,7,5,5,12,0,83
POA3431,4,0,24,5,20,3,0,4,0,69,0,0,0,0,0,0,0,0,0,3,4,9,9,4,5,6,3,3,0,40,3,4,6,0,9,0,5,0,19,47,244,470,337,181,202,66,69,54,40,1651
POA3432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,11,12,4,10,0,0,0,8,62
POA3433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,17,17,16,3,9,8,3,3,0,79
POA3434,13,3,29,14,19,18,8,12,3,116,0,0,0,0,0,0,0,0,0,0,9,10,5,6,7,0,7,4,0,37,5,0,15,4,10,0,6,3,13,64,318,486,480,234,263,103,95,137,43,2153
POA3435,4,0,15,6,10,9,3,5,0,53,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,12,8,0,8,7,0,5,0,4,4,37,165,283,208,139,109,44,48,69,27,1093
POA3437,24,3,51,25,28,13,8,15,0,169,0,0,0,0,0,0,0,0,0,0,16,19,8,16,13,5,4,3,0,88,15,11,17,7,11,3,13,9,15,97,699,1310,764,443,488,161,144,169,54,4234
POA3438,5,3,12,3,8,0,0,4,0,42,0,0,0,0,0,0,0,0,0,0,7,0,4,3,0,0,0,0,0,13,4,0,0,3,0,5,0,0,5,17,169,267,134,106,95,33,25,42,7,888
POA3440,7,0,4,0,0,5,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,3,0,4,5,0,0,0,0,14,3,0,4,0,0,4,0,4,0,17,147,312,101,65,67,35,17,28,4,769
POA3441,4,0,0,7,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,12,4,0,3,0,0,0,0,0,0,8,125,223,50,45,48,18,7,15,13,552
POA3442,19,3,24,12,15,10,0,8,0,88,0,0,0,0,0,0,0,0,0,0,11,23,5,14,3,7,0,9,0,76,9,5,9,7,14,8,5,3,11,70,657,1121,372,323,294,117,53,109,42,3094
POA3444,25,6,56,33,12,10,4,26,4,174,0,0,0,0,0,0,0,5,0,11,14,22,6,6,9,3,0,11,0,76,19,10,13,13,6,9,7,16,3,89,680,1009,476,373,308,146,91,223,48,3353
POA3446,0,0,3,3,0,0,0,5,0,11,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,11,6,0,4,0,0,0,0,0,0,12,72,150,59,41,32,15,17,19,0,410
POA3447,3,0,5,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,28,48,38,28,18,14,5,17,0,188
POA3448,3,0,3,4,5,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,5,3,0,0,0,0,7,61,88,52,34,44,12,12,24,6,339
POA3450,8,5,36,6,8,4,0,10,0,74,0,0,0,0,0,0,0,0,0,0,15,21,5,3,10,6,4,0,0,73,9,8,13,6,3,5,3,6,9,52,289,915,250,238,189,90,39,104,33,2153
POA3451,13,0,32,15,10,0,3,15,0,81,3,0,0,0,0,0,0,0,0,3,9,8,4,3,6,5,0,0,4,48,5,6,8,6,0,4,5,4,7,43,276,663,325,266,178,77,63,110,32,1991
POA3453,8,0,7,7,6,0,0,7,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,11,0,6,5,0,5,6,4,4,0,17,114,199,103,66,57,35,24,33,9,631
POA3458,6,0,9,0,3,0,3,7,0,37,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,20,3,4,6,0,0,0,0,4,6,24,150,271,129,95,68,21,18,46,11,806
POA3460,19,0,35,10,3,5,0,4,0,88,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,12,0,0,8,3,3,0,0,3,7,19,157,246,146,122,79,38,15,55,15,872
POA3461,17,4,28,12,11,5,4,11,0,88,0,0,0,0,0,0,0,0,0,0,7,8,3,5,4,0,0,0,0,34,8,9,0,5,0,5,4,13,3,41,339,435,229,189,121,52,34,97,26,1532
POA3462,3,0,4,0,3,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,4,50,107,65,44,26,15,10,30,6,356
POA3463,3,0,13,11,0,5,0,4,0,35,0,0,0,0,0,0,0,0,0,0,0,6,3,0,5,0,0,0,0,21,9,4,4,8,0,0,5,3,0,29,145,206,126,91,68,33,41,57,11,773
POA3464,3,0,5,4,4,7,0,0,0,16,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,4,0,9,46,48,62,62,34,14,22,17,4,309
POA3465,12,3,57,26,9,17,3,26,3,161,0,0,0,0,0,0,0,0,0,0,3,4,0,3,11,0,6,5,5,33,8,4,9,14,0,8,9,27,12,100,260,399,375,404,184,120,114,218,32,2111
POA3467,6,0,5,6,0,3,5,6,0,19,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,4,0,0,0,0,6,0,20,54,46,50,51,20,17,22,31,7,294
POA3468,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,20,5,9,6,0,8,6,3,71
POA3469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,3,7,5,4,4,11,0,64
POA3472,0,0,4,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,3,6,6,18,44,35,47,40,22,18,23,35,7,259
POA3475,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,3,8,10,0,0,3,8,0,69
POA3477,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,3,6,0,0,0,0,0,4,0,10,74,46,27,25,19,6,15,29,0,239
POA3478,5,0,16,10,7,5,0,4,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,6,3,0,3,3,7,0,25,105,111,82,111,61,26,26,65,6,596
POA3480,3,0,9,0,0,4,4,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,12,5,0,0,0,3,0,6,12,0,29,125,98,55,48,35,18,35,48,8,470
POA3482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,12,7,0,0,0,0,0,4,0,29
POA3483,0,0,9,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,85,76,35,28,21,10,7,13,3,283
POA3485,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26,13,7,3,0,4,0,5,0,62
POA3487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,3,0,0,0,0,0,22
POA3488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,6,3,0,27
POA3489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,15
POA3490,4,0,3,3,4,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,7,0,3,14,77,69,45,39,19,11,29,25,12,319
POA3491,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,5,0,0,3,6,0,37
POA3494,5,0,3,0,8,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,3,3,11,41,13,16,10,18,3,11,25,6,142
POA3496,15,3,38,16,16,12,11,24,0,130,0,0,0,0,0,0,0,3,0,8,4,0,3,5,3,0,0,3,0,21,13,4,4,12,5,5,12,17,19,87,274,291,312,226,154,80,112,175,48,1675
POA3498,13,7,28,25,17,9,6,14,0,120,3,0,0,0,0,0,0,5,0,9,5,0,0,0,0,6,4,6,0,21,12,3,6,8,7,9,4,3,11,66,307,401,343,233,187,91,78,117,31,1783
POA3500,74,26,224,92,59,81,39,101,8,694,7,0,0,4,0,0,0,12,0,19,14,21,14,21,11,4,13,27,5,130,34,31,44,35,29,24,26,76,75,366,1134,2545,1361,1466,930,509,389,779,176,9286
POA3501,0,0,10,4,0,9,0,4,0,34,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,9,0,13,0,8,10,3,3,6,46,125,204,132,68,78,40,27,35,11,723
POA3505,14,4,31,12,11,9,4,8,0,88,0,0,0,0,0,0,0,0,0,4,5,3,0,6,0,0,4,0,4,24,12,6,15,9,7,8,0,14,9,85,191,257,254,181,135,63,86,111,31,1317
POA3506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7
POA3507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,0,0,6,0,5,0,0,32
POA3509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,6,9,8,5,0,0,4,0,53
POA3512,0,0,0,3,0,0,0,6,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,29,24,3,10,5,3,7,10,0,94
POA3515,5,0,14,11,10,3,0,8,0,46,0,0,0,0,0,0,0,0,0,0,4,0,0,5,3,0,5,0,0,17,3,3,4,4,3,3,0,0,3,26,111,175,169,157,105,42,38,56,14,857
POA3516,0,0,3,3,4,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,3,8,55,41,25,19,31,13,9,15,3,216
POA3517,0,0,0,0,0,0,0,4,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,4,0,14,70,51,42,53,30,16,24,40,5,325
POA3518,0,0,3,3,0,0,0,6,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,18,77,45,29,37,21,13,15,28,3,262
POA3520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,11
POA3521,3,0,3,0,4,0,0,6,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,3,0,6,0,0,18,31,34,67,25,32,17,23,22,6,246
POA3522,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,26,21,13,5,15,4,3,0,9,96
POA3523,6,0,20,4,3,10,0,6,0,61,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,3,3,3,22,6,0,7,4,4,0,9,9,6,41,155,186,173,100,95,45,57,75,24,911
POA3525,4,0,6,0,0,4,0,0,0,15,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,9,3,0,5,0,0,0,0,3,0,16,100,60,41,42,29,16,16,29,0,335
POA3527,0,0,9,0,5,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,47,38,24,18,14,9,6,18,0,178
POA3529,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,4,6,3,0,0,0,0,34
POA3530,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,6,9,0,5,0,0,6,3,39
POA3531,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,13,3,9,3,0,7,0,0,53
POA3533,3,0,3,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,6,9,55,40,20,14,14,3,12,15,6,168
POA3537,0,0,0,0,4,0,0,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,3,0,10,83,52,28,30,16,9,21,25,4,269
POA3540,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,0,3,0,0,0,5,0,37
POA3542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,3,0,0,3,0,0,21
POA3544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,17,4,3,0,0,3,3,0,56
POA3546,0,0,3,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,9,36,25,8,10,6,4,9,9,6,105
POA3549,8,0,7,7,3,3,0,8,0,47,3,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,5,0,6,8,0,7,0,4,0,11,44,19,95,154,87,88,52,62,18,44,156,38,702
POA3550,86,16,269,139,80,66,41,94,11,796,0,0,4,3,3,3,0,7,0,20,28,40,27,19,18,17,14,14,12,182,18,33,28,22,18,19,21,32,65,258,1556,4835,1808,1911,1335,691,444,775,203,13563
POA3551,86,20,194,89,87,52,21,72,10,636,0,0,0,0,0,0,0,3,0,9,27,39,19,25,23,6,17,11,4,170,30,26,50,36,26,29,26,22,35,280,1762,3711,2014,1605,1429,523,509,616,150,12333
POA3555,44,7,122,73,41,36,22,63,0,409,3,0,0,0,0,0,0,6,0,11,9,16,4,14,13,7,8,8,3,90,13,3,22,19,11,12,24,29,33,172,567,1506,970,993,669,339,267,516,73,5899
POA3556,19,9,83,45,19,31,21,37,7,268,0,0,0,0,0,0,0,0,0,4,4,9,8,8,10,6,8,10,0,58,8,6,36,24,8,10,12,37,27,170,306,815,691,733,365,212,232,373,65,3803
POA3557,0,0,0,0,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,5,54,45,72,35,25,12,18,19,4,283
POA3558,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,6,0,0,13,50,36,32,29,22,3,17,22,0,210
POA3559,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,51,35,15,9,15,3,8,7,0,144
POA3561,11,0,17,19,9,11,3,11,0,77,0,0,0,0,0,0,0,0,0,0,7,0,0,5,0,0,0,5,0,12,10,0,10,3,0,4,6,9,9,65,241,211,188,148,89,45,66,125,12,1134
POA3562,6,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,23,15,17,6,5,0,9,13,0,90
POA3563,0,0,0,10,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,9,52,27,30,31,14,13,18,24,5,199
POA3564,53,5,162,66,37,36,18,47,4,425,0,4,0,0,0,0,0,3,0,9,11,12,4,8,8,3,8,9,0,65,22,11,23,13,13,8,21,33,20,166,746,1191,969,747,450,279,222,383,62,5047
POA3565,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,13,6,3,0,0,3,3,0,43
POA3566,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,5,8,31,27,21,17,13,3,0,16,9,138
POA3567,0,0,6,0,0,0,0,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,44,23,22,11,11,4,11,14,0,145
POA3568,10,4,19,7,9,10,0,3,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,6,0,7,3,3,4,3,6,8,39,158,160,122,83,63,30,35,57,12,730
POA3570,3,0,7,0,0,4,6,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,4,0,16,44,30,44,17,24,11,17,22,0,215
POA3571,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,43,22,8,4,6,4,5,7,5,93
POA3572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,18,11,3,4,0,0,0,4,0,47
POA3573,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,44,8,8,8,9,3,6,22,0,100
POA3575,3,0,6,0,5,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,92,29,25,28,10,7,4,37,3,243
POA3576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,17
POA3579,3,5,27,9,10,5,5,15,0,81,0,0,0,0,0,0,0,0,0,0,11,7,7,0,0,0,0,6,0,25,13,4,6,4,0,4,3,7,5,52,264,283,244,172,118,65,72,117,19,1346
POA3580,6,0,8,8,4,0,0,5,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,0,5,14,29,45,43,36,22,13,18,19,5,232
POA3581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,9,8,7,6,0,3,8,4,0,42
POA3583,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,6,6,6,3,0,5,0,47
POA3584,5,0,5,5,4,4,0,0,0,25,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,8,4,0,3,0,0,0,0,4,0,20,62,61,54,61,37,18,15,32,3,340
POA3585,14,8,75,45,30,19,6,28,7,234,0,0,0,0,0,0,0,4,0,5,8,12,10,6,0,6,4,9,3,46,17,4,7,7,3,7,7,25,13,93,466,868,544,475,328,179,100,278,54,3281
POA3586,3,0,10,5,4,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,4,0,0,0,23,55,45,47,28,24,15,10,24,0,256
POA3588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,13,13,12,17,15,8,3,5,17,0,90
POA3589,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,10,24,21,5,5,8,4,0,13,0,86
POA3590,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,19,18,22,15,11,0,4,12,0,97
POA3591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,0,6,8,3,0,6,0,50
POA3594,0,0,5,6,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,8,12,20,27,19,15,4,4,27,0,141
POA3595,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,17,20,17,6,3,13,19,0,119
POA3596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,6,5,0,0,3,0,3,11,0,23
POA3597,3,0,0,4,0,0,0,9,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,12,47,16,9,8,11,0,4,34,4,139
POA3599,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,0,7,0,6,0,0,6,0,35
POA3607,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,12,4,12,11,3,9,0,5,0,49
POA3608,8,4,15,8,4,3,0,8,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,5,15,6,0,3,5,0,0,11,7,0,38,142,136,133,99,72,28,39,79,15,741
POA3610,0,4,10,6,3,3,0,0,3,29,0,0,0,0,0,0,0,0,0,0,5,0,0,5,3,0,0,0,0,15,3,0,3,0,0,4,0,0,0,11,62,82,67,62,38,15,23,23,18,383
POA3612,4,0,9,3,0,3,0,7,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,9,5,0,3,0,3,0,0,13,8,41,55,72,50,59,44,18,29,52,18,404
POA3614,3,0,5,0,5,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,19,61,74,83,41,28,3,15,26,9,340
POA3616,10,4,27,15,7,5,5,12,0,98,0,0,0,0,0,0,0,0,0,0,4,3,3,0,6,0,5,6,0,34,8,4,9,4,4,3,10,4,7,51,268,366,271,225,166,75,81,153,25,1640
POA3617,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,8,0,4,0,0,0,0,37
POA3618,5,0,5,0,0,0,0,6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,3,0,19,43,18,29,28,16,9,13,23,3,176
