POA_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
POA3330,20,46,0,0,3,21,0,4,7,37,13,63,0,6,0,4,7,22,7,32,20,91,0,0,0,0,0,0,4,7,4,7,0,0,0,0,5,9,3,8,11,19,0,0,53,157
POA3331,684,1363,34,161,126,575,27,114,611,2487,794,3333,50,223,60,194,171,566,282,984,1079,4314,4,18,19,55,8,30,86,232,113,339,17,61,20,38,81,181,116,284,233,623,8,19,2007,6315
POA3332,125,251,4,31,17,78,11,37,85,333,117,483,5,37,9,34,29,94,49,159,159,641,0,11,5,12,0,5,14,34,17,62,0,3,4,10,12,30,16,41,35,99,0,3,322,991
POA3333,104,208,0,6,10,49,4,24,51,207,72,288,3,26,3,18,24,84,38,120,105,408,0,0,5,18,0,3,9,23,17,36,0,0,0,3,21,36,25,41,38,82,0,6,249,697
POA3334,62,119,0,0,3,25,0,11,23,86,28,116,4,16,4,21,11,43,22,83,54,198,0,7,0,4,0,3,4,12,4,29,0,0,9,13,5,16,13,29,19,59,3,10,139,383
POA3335,554,1131,14,60,50,255,14,58,664,2510,739,2878,24,121,28,91,80,260,137,478,867,3360,9,33,27,81,10,32,100,250,138,394,5,20,6,21,70,173,87,214,230,605,27,53,1675,5153
POA3336,1008,2073,43,273,280,1304,45,213,2294,8877,2665,10666,105,466,154,565,217,742,480,1771,3142,12437,13,63,49,183,18,82,244,726,321,1044,43,143,46,108,147,358,236,607,559,1654,45,97,4755,16265
POA3337,3124,6317,136,905,455,2276,175,817,2700,10720,3471,14708,218,972,288,1011,881,2895,1387,4879,4860,19588,57,301,199,796,106,384,1000,2868,1361,4351,92,317,167,375,819,1864,1079,2553,2439,6904,165,366,10587,33176
POA3338,2507,5136,101,668,423,2156,125,642,3409,13715,4062,17183,172,778,215,751,544,1808,925,3333,4987,20513,51,257,141,538,74,279,781,2290,1046,3368,55,187,118,265,550,1226,728,1678,1775,5047,137,312,9412,31010
POA3340,2602,5231,56,291,297,1393,86,396,1851,7243,2293,9323,145,640,206,719,602,1955,955,3312,3245,12632,19,75,103,364,40,150,463,1270,623,1859,58,189,95,211,383,851,534,1253,1156,3114,90,182,7088,21161
POA3341,168,332,3,25,19,81,5,13,109,453,138,576,13,61,21,64,65,214,98,336,234,909,0,0,0,11,0,3,20,56,23,74,3,15,6,11,17,41,29,64,53,138,3,6,462,1385
POA3342,477,945,12,63,37,177,17,76,259,1017,321,1333,22,82,34,109,84,259,136,452,460,1780,0,0,11,27,4,13,74,179,84,220,4,11,8,22,69,153,87,193,170,415,19,32,1117,3170
POA3345,175,359,0,20,18,89,8,24,91,380,117,506,3,10,19,50,36,120,53,181,168,693,0,4,0,7,0,7,9,37,19,52,0,4,7,17,19,48,26,63,48,116,0,5,396,1168
POA3350,6856,13672,100,521,718,3283,165,751,4022,15742,5002,20298,280,1170,607,2028,1007,3184,1889,6379,6894,26673,54,223,247,837,104,383,1265,3275,1661,4714,108,339,316,685,1000,2146,1429,3175,3091,7891,236,487,17073,48724
POA3351,1042,2098,29,180,114,557,37,164,585,2362,768,3263,68,282,95,309,247,793,409,1387,1172,4650,7,22,18,52,14,62,106,300,147,431,16,49,15,41,122,261,152,349,298,773,32,62,2551,7582
POA3352,2079,4151,43,270,289,1376,84,380,1286,5234,1710,7261,127,520,195,660,423,1364,740,2545,2446,9803,10,36,55,189,19,70,228,637,308,934,19,53,47,109,209,472,271,637,581,1576,51,97,5156,15626
POA3355,1391,2784,14,87,90,448,36,175,493,1893,638,2610,40,178,81,263,225,720,344,1159,984,3768,6,47,53,178,33,131,348,975,439,1326,31,103,71,151,327,709,427,961,869,2288,80,172,3329,9014
POA3356,1578,3164,18,111,107,500,52,237,725,2781,899,3623,41,172,73,251,279,892,395,1316,1300,4939,16,86,70,225,56,195,453,1245,603,1747,32,106,83,164,390,860,505,1139,1103,2884,75,157,4055,11147
POA3357,455,898,0,22,61,309,9,41,268,1103,343,1475,21,77,39,132,75,227,136,440,475,1916,3,13,8,24,5,27,42,106,58,174,3,11,21,49,40,81,67,143,127,314,8,17,1061,3144
POA3358,330,655,7,47,40,186,5,30,334,1287,389,1551,15,73,23,63,47,151,81,279,471,1834,6,28,9,29,3,14,75,217,93,282,7,14,14,21,31,65,45,105,137,384,18,36,956,2906
POA3360,115,225,0,15,7,30,3,9,41,156,51,214,4,13,5,20,12,39,22,77,71,290,0,0,0,6,5,6,17,49,20,57,0,7,0,0,20,39,17,42,37,98,4,10,229,623
POA3361,74,143,0,9,10,45,0,9,29,108,41,169,4,12,5,8,9,26,18,48,54,220,0,0,4,13,0,8,11,30,11,49,3,5,0,0,18,30,18,33,37,84,3,7,160,453
POA3363,447,890,4,26,37,161,3,11,181,741,225,940,15,60,21,66,72,241,112,372,333,1311,0,7,8,31,8,13,52,136,68,185,4,20,12,30,57,127,77,167,148,363,5,11,936,2570
POA3364,315,628,6,37,23,114,9,35,126,519,162,705,17,75,19,67,40,127,76,262,241,968,0,0,4,18,3,14,13,41,23,71,0,3,3,10,26,59,37,73,59,147,11,22,626,1762
POA3370,271,535,3,32,15,77,4,18,81,304,105,425,6,15,13,33,33,113,53,164,160,588,0,7,4,15,4,14,35,88,41,121,3,11,8,18,40,98,52,121,99,241,12,24,534,1398
POA3371,143,290,3,24,8,29,5,29,25,94,36,170,4,19,6,17,26,80,35,114,77,284,0,0,0,0,0,0,16,44,19,46,0,6,3,12,24,50,30,69,52,118,3,9,276,704
POA3373,343,674,3,19,23,111,3,19,103,397,130,547,10,36,13,49,51,157,73,241,208,793,0,0,6,18,4,12,40,110,48,138,4,12,7,10,42,93,54,118,104,252,3,14,659,1741
POA3374,58,122,0,3,8,39,0,0,14,61,24,105,0,0,0,10,17,43,18,51,43,157,0,0,0,8,0,0,3,11,7,21,0,0,0,0,6,14,6,14,13,31,6,4,120,315
POA3375,40,73,0,6,0,3,0,17,12,67,15,90,0,5,0,8,4,15,6,17,25,110,0,0,0,6,0,0,0,10,3,16,0,0,0,0,0,3,0,3,8,18,0,0,66,200
POA3377,1123,2218,12,61,67,323,30,119,413,1651,523,2152,26,106,49,176,170,519,248,798,769,2950,8,34,25,84,14,65,171,484,221,668,8,33,34,62,161,350,208,447,426,1116,46,93,2360,6388
POA3378,7,16,0,3,0,4,0,0,16,54,16,60,0,0,0,6,0,4,4,16,22,77,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,6,0,6,3,8,0,0,30,101
POA3379,105,209,0,0,10,33,0,0,41,168,51,202,0,3,4,11,15,53,18,60,72,268,0,0,0,5,0,0,5,10,9,18,0,0,6,9,19,37,22,46,27,57,0,0,203,536
POA3380,797,1571,12,47,53,258,9,51,278,1099,350,1449,20,103,23,89,122,358,171,552,516,1999,0,0,12,39,14,48,111,322,134,405,13,45,17,42,88,187,119,273,259,677,33,85,1605,4333
POA3381,189,364,6,19,15,59,0,0,63,264,81,345,6,25,10,35,20,65,35,125,119,465,0,0,0,7,0,0,20,44,19,54,4,6,6,3,10,14,16,29,34,83,3,4,341,920
POA3384,78,160,0,7,6,40,4,21,25,106,40,169,4,11,0,7,14,48,18,71,62,239,0,3,0,0,0,3,4,16,4,25,0,0,0,0,8,16,11,22,15,45,5,6,157,444
POA3385,91,181,0,11,5,23,0,4,26,104,36,141,0,4,5,14,14,38,19,57,50,197,0,3,0,0,0,0,0,6,4,5,0,0,0,5,5,14,6,14,11,28,4,7,154,408
POA3387,41,82,0,0,3,18,0,0,15,69,23,87,0,0,0,3,10,31,11,34,37,129,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,5,5,14,5,14,0,0,86,221
POA3388,84,170,0,0,9,37,0,17,27,95,36,151,3,10,3,11,6,21,13,49,50,192,0,7,4,12,0,0,3,10,11,25,0,0,5,5,9,18,14,23,19,51,0,3,153,418
POA3390,114,222,0,6,9,47,3,12,55,219,66,286,3,7,8,33,19,54,29,97,94,384,0,3,6,30,5,11,14,40,24,84,0,0,6,9,13,30,17,33,43,120,5,4,253,727
POA3391,21,47,0,0,4,13,0,4,8,27,9,46,0,0,0,4,8,14,7,19,19,66,0,0,0,0,0,0,3,4,3,4,0,0,0,0,9,16,9,16,6,25,0,0,52,133
POA3392,78,161,0,0,3,21,0,7,21,81,27,117,4,19,8,16,11,27,17,61,44,175,0,0,5,10,0,5,6,12,10,31,0,4,0,0,13,25,14,28,25,58,0,3,150,400
POA3393,338,672,3,21,27,121,5,23,111,447,151,621,4,15,14,42,41,117,52,179,199,795,0,0,10,36,7,15,45,125,59,178,4,13,9,23,36,86,48,125,112,300,12,22,664,1794
POA3395,49,100,0,0,0,5,0,3,16,83,19,93,0,0,0,7,7,31,14,41,36,132,0,8,0,0,0,0,0,8,3,12,0,0,0,3,4,8,7,12,9,21,0,3,91,254
POA3396,121,238,0,6,0,21,0,0,30,101,30,128,0,3,7,22,8,34,19,49,51,180,0,0,0,0,0,3,11,36,14,37,0,0,0,4,11,25,10,28,23,63,5,6,195,489
POA3400,1703,3399,19,111,151,697,42,201,855,3317,1070,4320,49,218,103,336,246,755,405,1310,1470,5634,7,30,58,189,28,113,321,889,414,1219,18,52,60,123,238,505,319,684,734,1898,60,120,3965,11056
POA3401,581,1160,9,53,71,308,12,63,318,1284,404,1712,46,189,44,143,108,342,199,670,605,2383,0,0,11,27,5,17,36,101,52,151,8,19,3,11,40,87,53,115,106,266,7,19,1300,3826
POA3407,57,107,0,10,8,35,4,9,18,80,33,132,0,5,5,11,9,29,16,48,49,181,0,0,4,6,0,0,6,7,9,16,0,0,0,0,3,7,5,12,10,28,0,0,114,313
POA3409,140,280,0,3,15,63,5,17,48,180,64,266,4,21,9,22,18,58,32,103,97,367,0,0,6,8,0,0,10,24,15,34,0,0,0,5,14,28,14,35,30,64,4,8,267,718
POA3412,37,75,0,0,0,16,0,0,24,77,24,90,0,0,0,3,4,6,0,13,27,109,0,0,0,5,0,3,7,24,10,30,0,0,0,0,5,10,5,10,15,44,0,0,83,227
POA3413,35,59,0,0,4,12,0,3,9,39,13,52,6,6,0,7,3,14,10,22,21,82,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,3,7,0,0,54,147
POA3414,244,493,0,9,19,99,8,29,64,264,93,397,4,25,7,22,33,110,44,154,139,549,0,9,3,14,0,3,29,78,37,102,4,4,5,13,23,42,32,59,66,162,3,14,462,1224
POA3415,9,9,0,0,0,0,0,3,0,8,5,9,0,0,0,0,4,14,4,14,9,20,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,12,34
POA3418,349,700,13,51,24,131,0,4,154,631,191,819,15,57,24,74,71,225,111,357,300,1176,0,5,10,23,0,5,31,76,37,108,0,8,4,10,33,83,44,94,81,209,15,40,749,2120
POA3419,125,251,3,6,8,40,0,0,52,193,57,241,8,15,7,16,15,43,27,78,85,311,0,0,0,5,3,9,13,35,12,45,0,8,0,0,14,36,13,39,33,84,6,4,244,657
POA3420,32,71,0,0,4,8,0,3,19,96,26,104,0,0,3,8,3,16,7,21,32,128,0,0,0,0,0,0,4,9,4,9,0,0,0,0,0,5,0,5,6,14,0,0,69,212
POA3423,85,165,4,14,0,10,0,0,18,79,18,97,0,0,4,9,8,31,11,35,31,132,0,0,0,0,0,0,5,14,4,17,0,0,0,0,11,24,11,24,17,36,0,0,133,343
POA3424,118,225,4,13,9,30,0,0,30,142,44,187,0,6,11,35,15,37,24,77,64,259,0,0,0,0,0,0,9,21,9,21,0,4,0,7,10,14,9,23,19,43,0,3,197,537
POA3427,597,1207,8,47,43,202,19,86,508,1899,571,2230,25,96,35,125,117,396,183,616,753,2848,6,15,14,51,4,28,95,247,118,343,11,31,17,33,89,198,114,264,231,607,27,58,1608,4724
POA3428,60,124,0,0,11,36,5,9,32,138,46,185,8,24,14,43,28,104,50,168,95,349,0,0,0,0,0,9,4,14,8,26,5,14,5,9,11,22,20,41,22,65,3,13,189,557
POA3429,3803,7652,89,484,474,2161,131,621,2686,10345,3382,13605,331,1423,405,1401,1078,3531,1814,6353,5195,19966,32,137,110,387,57,166,655,1731,855,2427,102,319,178,410,729,1632,1013,2357,1866,4782,140,293,11009,32694
POA3430,27,55,3,15,0,12,0,0,16,66,18,90,0,11,6,3,14,34,14,53,35,137,0,0,0,10,0,0,3,10,3,17,0,0,0,0,7,13,7,13,16,28,0,0,76,223
POA3431,483,971,7,37,67,303,13,77,315,1223,402,1641,46,187,61,212,112,370,220,764,626,2405,0,12,13,37,6,16,49,124,74,190,8,30,22,50,52,107,85,191,151,385,10,24,1273,3782
POA3432,22,43,0,0,0,6,0,8,8,39,14,48,0,15,9,14,3,12,16,47,26,97,0,0,0,0,0,0,3,8,4,6,0,0,0,0,0,5,0,5,6,14,0,0,52,149
POA3433,24,44,0,0,3,14,0,0,14,63,20,72,3,9,3,15,4,19,11,39,28,106,0,0,0,0,0,0,0,10,0,10,0,6,0,0,3,9,9,11,11,19,0,0,59,178
POA3434,698,1396,10,62,84,378,29,123,432,1701,551,2261,49,224,73,247,159,532,283,1005,837,3261,3,16,10,49,6,27,84,251,110,343,14,40,20,42,75,149,104,238,212,580,10,21,1754,5255
POA3435,383,767,7,41,40,174,14,71,221,863,283,1151,12,48,31,105,83,268,127,419,406,1573,0,0,9,21,8,20,46,114,56,158,9,22,13,28,49,118,69,162,128,325,11,19,929,2680
POA3437,1187,2387,16,90,190,895,28,128,949,3842,1181,4950,95,386,180,650,240,770,519,1807,1696,6752,6,26,37,129,11,37,134,348,187,545,17,55,50,113,112,249,184,418,368,969,14,39,3271,10141
POA3438,224,455,5,30,46,199,8,23,194,762,247,1018,27,125,32,121,58,183,119,423,362,1438,0,8,4,24,0,0,29,80,41,110,4,13,5,17,28,54,34,84,71,186,6,14,674,2098
POA3440,233,461,7,37,29,146,0,4,155,629,191,818,17,66,33,105,42,139,92,316,282,1135,3,9,12,29,0,4,13,41,24,81,3,10,6,12,22,56,34,71,60,152,6,9,576,1757
POA3441,206,407,0,15,23,107,4,10,104,406,137,536,12,35,24,70,23,82,57,184,188,722,0,0,4,13,0,0,9,31,14,37,0,4,0,3,9,21,10,27,26,68,0,0,423,1201
POA3442,980,1954,12,70,124,533,25,93,614,2409,772,3109,39,155,127,455,172,538,337,1142,1109,4249,0,4,30,90,4,17,115,292,152,407,14,40,48,102,125,270,183,415,335,821,10,31,2441,7050
POA3444,1279,2568,19,103,105,490,28,122,577,2275,731,2982,61,250,82,263,213,667,349,1174,1081,4162,3,26,20,82,10,43,107,289,148,432,18,57,28,60,156,334,202,451,347,884,35,67,2745,7684
POA3446,144,284,0,5,10,39,4,18,80,306,97,371,3,10,6,34,23,77,37,119,134,489,0,3,3,12,0,0,10,26,18,46,4,6,0,0,6,21,13,25,30,67,5,6,305,854
POA3447,78,144,0,8,0,15,0,4,18,74,29,105,3,9,6,27,11,39,19,73,51,182,0,14,0,0,0,0,6,11,12,21,0,0,0,4,10,23,8,22,25,46,3,10,148,383
POA3448,158,313,0,6,3,21,0,7,58,224,66,262,6,30,13,38,20,55,35,122,102,383,0,0,0,4,0,0,11,38,14,46,0,5,4,3,11,25,15,32,32,80,0,6,291,774
POA3450,903,1797,0,6,59,255,8,48,337,1257,404,1572,12,43,45,154,88,280,150,479,557,2044,0,9,27,86,6,13,153,351,182,461,4,19,58,102,127,257,188,386,373,848,25,47,1855,4738
POA3451,783,1562,12,63,59,278,17,70,352,1351,443,1761,12,71,47,153,107,320,169,546,607,2301,3,10,22,65,5,23,98,248,124,344,7,31,26,53,90,203,123,282,251,634,14,31,1656,4530
POA3453,273,541,3,23,22,107,8,21,95,359,125,511,15,61,13,42,49,144,73,245,196,756,0,7,7,25,0,5,32,73,39,107,4,14,7,9,21,30,29,54,65,163,6,12,538,1476
POA3458,376,750,0,0,12,56,5,36,111,439,128,529,8,26,19,53,36,122,62,200,190,731,0,0,7,21,5,8,22,46,30,75,3,7,4,16,33,71,43,88,69,163,8,14,645,1651
POA3460,409,811,4,24,9,48,0,12,107,390,118,464,3,13,14,48,38,110,52,178,174,641,0,0,7,20,6,25,52,130,65,178,0,6,16,25,49,102,64,139,134,318,4,10,719,1778
POA3461,707,1412,5,29,58,266,9,43,199,760,273,1103,16,53,31,118,99,291,144,461,418,1562,0,5,5,25,0,6,52,103,60,135,0,4,11,24,60,128,72,161,135,297,8,20,1269,3298
POA3462,173,346,0,0,14,61,0,0,59,234,77,298,6,28,12,42,22,80,43,151,116,447,0,0,8,18,3,4,15,43,29,67,6,11,8,13,17,31,21,47,46,115,5,5,344,917
POA3463,408,805,0,0,19,111,8,36,92,356,121,499,6,30,16,61,67,211,95,300,215,800,0,4,0,6,5,9,23,57,28,81,5,6,8,14,37,77,48,99,79,175,11,28,714,1816
POA3464,140,281,7,23,13,59,4,20,75,291,94,400,7,30,5,24,34,104,48,159,139,552,0,0,4,8,0,4,18,48,21,57,0,0,0,0,17,41,17,41,39,97,3,6,321,939
POA3465,1313,2649,14,59,93,443,22,94,360,1422,487,2021,38,167,55,165,190,590,283,923,766,2944,13,50,28,129,26,95,218,627,289,904,11,47,24,62,210,444,249,551,543,1450,49,101,2669,7148
POA3467,177,358,0,7,11,70,0,10,58,234,77,317,4,17,7,24,26,74,39,121,112,440,0,0,5,19,7,15,20,57,34,95,0,0,3,6,26,51,26,59,60,152,4,15,362,965
POA3468,52,96,0,0,0,7,6,18,16,43,19,70,0,3,0,9,6,13,5,21,26,88,0,5,0,0,0,0,3,8,0,9,0,0,0,0,6,4,6,4,6,13,0,0,80,203
POA3469,37,68,0,10,0,8,0,0,3,20,7,35,0,0,0,3,7,20,10,24,17,63,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,7,0,7,3,13,0,0,60,144
POA3472,187,370,0,0,6,24,3,29,51,211,65,270,6,18,5,23,22,78,35,121,99,392,0,0,3,5,0,17,27,73,33,95,3,8,9,10,39,79,47,99,75,188,6,14,374,967
POA3475,65,119,0,0,0,8,0,0,14,64,14,73,0,3,0,5,10,28,11,32,25,108,0,0,0,0,0,0,0,7,0,7,0,0,0,0,11,19,13,24,9,25,0,4,103,264
POA3477,119,234,0,0,5,19,3,17,41,168,46,200,4,9,8,22,23,72,31,109,80,302,0,0,0,0,4,9,6,23,10,26,0,0,3,3,15,23,14,29,26,57,0,4,222,605
POA3478,353,702,5,14,16,65,5,29,97,395,122,503,8,28,10,49,58,188,78,261,196,761,0,0,8,23,4,21,38,91,49,137,0,4,8,21,49,102,63,133,114,270,11,22,670,1763
POA3480,229,459,4,23,21,91,6,23,76,308,100,445,9,30,23,66,38,112,64,203,163,656,0,6,5,8,5,12,23,61,29,87,0,3,0,6,24,54,30,65,54,152,11,17,463,1279
POA3482,26,41,0,8,3,10,0,0,8,27,11,42,0,0,0,12,7,8,9,20,19,61,0,0,0,0,0,0,4,12,4,12,0,0,0,0,4,3,4,3,4,13,4,4,50,129
POA3483,106,217,7,21,5,35,0,4,47,192,60,261,4,13,14,48,16,56,35,112,96,374,0,4,0,0,0,0,12,31,10,37,0,0,0,3,12,21,9,26,23,60,3,5,230,657
POA3485,48,96,0,0,5,16,0,0,8,32,7,46,0,5,7,9,9,15,11,36,20,81,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,4,0,3,6,12,0,0,74,185
POA3487,8,16,0,6,3,15,0,3,0,7,5,33,0,0,0,0,4,8,4,8,9,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,17,58
POA3488,18,33,0,0,5,14,0,0,0,17,7,27,0,0,0,0,0,3,0,3,9,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,66
POA3489,10,14,0,0,0,0,0,0,5,23,5,23,0,0,0,0,0,4,0,4,3,24,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,13,47
POA3490,178,357,3,9,13,74,0,14,44,189,65,286,4,9,8,34,18,65,31,100,98,386,0,0,0,3,0,0,14,35,14,38,4,5,4,9,18,44,26,54,37,94,6,9,321,846
POA3491,16,33,0,5,3,15,0,0,8,27,8,49,0,3,4,5,0,9,3,14,19,62,0,0,0,9,0,0,0,0,5,10,0,0,0,0,6,6,6,6,4,16,0,0,37,112
POA3494,70,137,0,0,8,35,10,29,39,138,54,205,0,0,6,19,6,25,15,46,64,250,0,0,0,0,0,0,4,9,4,9,0,0,0,3,4,10,7,20,9,28,3,11,157,426
POA3496,672,1343,15,94,69,334,17,88,346,1401,451,1910,36,153,38,124,166,537,244,814,690,2731,3,22,17,61,11,50,116,316,145,441,9,15,16,37,101,229,121,282,267,725,27,51,1654,4842
POA3498,668,1333,16,100,87,423,22,117,335,1343,467,1980,38,156,44,153,147,486,233,795,700,2777,0,8,24,66,8,25,63,183,96,281,8,23,13,26,75,165,94,219,189,497,26,53,1584,4668
POA3500,3647,7307,65,368,310,1472,114,520,1775,6914,2261,9280,126,538,192,610,594,1872,911,3017,3173,12298,25,117,138,501,93,353,806,2213,1061,3190,74,230,145,318,630,1388,847,1929,1910,5118,159,336,8887,25064
POA3501,214,427,6,34,28,129,0,20,175,734,214,920,20,81,19,67,65,215,106,364,318,1283,0,0,0,3,0,3,20,51,21,60,0,8,0,0,27,54,25,62,43,120,3,7,582,1833
POA3505,557,1113,5,42,57,262,19,93,282,1139,363,1545,23,83,29,102,117,362,171,553,541,2094,3,27,23,73,7,40,88,228,123,372,0,10,18,42,67,140,86,189,209,557,13,35,1318,3800
POA3506,5,6,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,5,0,5,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17
POA3507,21,42,0,0,3,18,0,0,3,12,9,32,0,5,0,0,0,5,5,8,10,41,0,0,0,0,0,3,3,22,9,21,0,0,0,0,0,0,0,0,5,28,0,0,34,110
POA3509,37,76,0,0,0,0,0,0,12,56,12,56,0,6,0,4,0,8,4,19,19,67,0,0,0,0,0,4,4,12,4,8,0,0,0,0,3,9,3,7,7,22,0,0,64,164
POA3512,47,93,0,0,7,21,0,0,25,110,32,123,0,0,0,15,3,7,7,21,35,145,0,0,0,5,0,5,0,4,3,7,0,0,0,4,3,7,6,14,8,23,0,0,96,268
POA3515,275,554,8,42,25,129,14,52,241,972,289,1200,15,55,25,74,42,155,79,292,375,1491,0,0,7,10,5,12,27,69,36,98,0,0,5,10,11,32,20,44,52,144,10,18,712,2207
POA3516,100,200,3,19,13,38,0,14,33,139,48,202,4,19,10,25,20,78,36,123,86,328,0,0,0,4,0,0,0,7,4,11,0,0,0,5,12,18,9,20,14,35,4,6,196,563
POA3517,195,394,4,19,16,82,0,6,73,291,91,394,3,15,7,24,26,83,40,128,131,524,0,0,0,11,0,0,16,45,15,57,0,4,7,12,29,56,33,76,50,132,4,11,382,1055
POA3518,178,359,0,7,13,43,3,16,39,157,56,227,3,28,12,30,20,68,39,127,95,355,0,0,0,3,0,4,17,53,19,58,0,0,0,3,26,58,28,63,43,117,11,16,324,848
POA3520,17,34,0,0,0,0,0,0,3,10,3,16,0,3,0,0,6,9,4,20,8,30,0,0,0,0,0,0,5,15,5,15,0,0,0,0,4,12,4,12,5,22,3,8,35,91
POA3521,85,164,0,6,4,26,7,26,59,222,69,287,8,20,4,14,17,48,24,89,96,378,0,4,0,9,0,0,10,26,12,38,0,7,8,19,12,29,18,48,38,87,4,5,213,631
POA3522,54,105,0,0,0,10,0,4,12,57,16,67,3,9,3,6,7,31,13,41,30,110,0,0,0,0,0,0,4,11,4,11,0,0,3,3,6,15,7,21,11,28,0,0,95,245
POA3523,615,1229,9,35,19,87,7,34,144,553,173,706,7,40,15,51,78,232,96,323,275,1032,0,7,4,8,5,12,50,120,52,146,3,7,10,16,72,149,83,172,135,319,27,57,1052,2630
POA3525,205,407,0,12,19,79,0,6,47,201,63,293,4,15,8,27,25,80,40,121,101,417,0,0,0,6,6,13,14,38,16,55,0,4,5,8,17,40,25,52,43,104,10,19,362,946
POA3527,115,231,0,5,12,53,0,3,30,97,38,161,0,0,3,6,16,46,22,56,57,217,0,0,5,11,0,0,9,24,10,34,0,0,3,7,9,28,18,33,27,72,3,3,202,520
POA3529,10,22,0,0,0,6,0,5,11,32,9,42,0,6,0,5,9,20,9,27,17,68,0,0,0,0,0,0,3,11,3,12,0,0,0,0,0,0,0,0,6,16,0,0,30,104
POA3530,17,39,0,0,4,7,0,0,3,11,3,18,0,0,0,7,4,9,5,20,8,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,72
POA3531,22,44,0,0,0,8,3,6,15,51,16,70,0,14,4,16,0,3,5,30,24,98,0,0,0,0,0,0,3,9,3,9,0,0,0,0,3,8,3,8,7,18,0,0,54,158
POA3533,97,197,0,5,12,65,0,5,31,127,51,203,3,7,7,22,5,19,18,46,63,244,0,0,0,0,0,0,17,44,19,45,0,0,0,4,17,23,18,29,33,77,9,14,195,533
POA3537,126,249,0,21,21,88,0,0,45,182,69,290,5,17,9,18,8,29,22,67,84,350,0,3,0,10,0,0,14,37,17,54,0,0,0,6,14,27,16,34,31,87,4,3,247,697
POA3540,40,80,0,0,3,17,0,0,0,11,3,28,0,6,0,0,7,17,9,21,15,47,0,0,0,6,0,4,4,14,8,21,0,3,0,4,0,10,6,17,12,36,3,6,67,171
POA3542,21,46,0,0,3,12,0,0,8,23,11,31,0,0,0,0,4,10,4,10,11,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,0,0,42,101
POA3544,30,59,0,5,4,7,0,0,10,51,16,61,4,12,0,0,6,24,8,39,23,96,0,0,0,0,0,0,3,11,3,11,0,0,0,0,0,3,3,7,9,18,0,0,60,174
POA3546,58,112,0,0,7,33,0,0,18,64,24,97,0,0,3,9,10,19,8,27,30,123,0,6,0,5,0,0,0,9,9,16,0,0,4,5,6,7,3,11,9,32,0,0,97,266
