POA_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
POA3166,229,229,465,75,90,160,0,0,0,0,3,0,20,15,35,3169,2291,5466,119,244,367,32,4,31,32,4,31,64,22,86,45,29,70,96,141,238,3893,3071,6963,37,49,81,0,0,0,16,36,48,21,8,36,3,8,9,8,7,18,89,105,195,0,0,0,5,4,3,4,4,10,3,8,15,4,3,9,14,26,36,32,26,56,130,153,289,30,27,54,0,3,3,5,5,5,32,33,65,2162,2270,4430,589,950,1545,31,14,43,6837,6501,13333
POA3167,72,49,125,17,42,59,0,0,0,0,0,0,11,4,16,1382,948,2328,53,105,156,16,0,16,6,0,6,19,0,24,15,7,20,31,31,62,1622,1191,2813,16,19,32,0,0,0,5,8,12,15,6,21,3,3,8,0,0,0,40,41,79,0,0,0,0,0,0,7,3,9,0,3,5,0,4,4,6,9,20,13,7,20,57,60,115,9,14,24,0,0,6,0,0,0,11,21,32,665,752,1419,229,332,563,5,7,20,2599,2362,4961
POA3168,231,219,447,127,208,335,0,0,0,0,0,5,52,44,96,3063,1564,4631,132,242,375,28,0,28,34,7,40,63,20,83,52,22,73,283,310,594,4067,2640,6710,94,119,214,0,0,0,18,21,38,28,16,40,4,12,19,11,0,17,160,175,334,0,0,0,0,3,5,3,8,6,7,23,31,7,10,17,27,43,65,46,29,71,226,246,468,47,57,105,0,16,17,0,0,0,48,77,120,1205,1092,2294,571,740,1311,45,25,68,6158,4810,10972
POA3169,178,173,349,32,64,97,3,0,3,4,0,7,26,22,51,3197,1895,5091,165,319,482,50,0,51,22,0,22,30,8,39,29,18,40,41,69,110,3766,2566,6336,38,70,113,0,0,0,14,9,20,30,19,49,0,10,12,3,4,3,91,112,209,0,0,0,0,0,0,0,0,0,8,11,21,0,0,0,11,12,26,28,28,53,132,152,282,20,41,59,0,0,4,0,0,4,19,41,66,1029,1091,2120,374,546,919,41,22,65,5359,4426,9789
POA3170,51,44,87,41,54,95,0,0,0,0,0,0,9,16,21,2876,2115,4993,110,191,301,43,0,39,11,0,16,18,4,18,22,10,38,31,42,75,3221,2468,5692,20,18,43,0,0,0,0,3,3,45,16,61,5,4,8,0,0,0,69,38,110,0,0,0,0,0,0,0,3,9,8,9,17,0,0,4,11,10,31,22,23,43,109,79,185,24,14,31,0,3,7,0,0,0,25,13,39,1303,1271,2570,356,595,944,21,25,46,5034,4444,9479
POA3171,137,167,303,67,109,182,0,0,0,0,0,0,21,24,48,3521,1943,5463,240,425,665,57,0,63,12,0,15,23,8,32,47,18,66,86,110,193,4228,2802,7027,43,76,129,0,0,0,6,13,19,22,21,42,4,14,18,3,0,3,83,126,209,0,0,0,0,0,0,4,7,6,3,16,20,3,7,7,7,26,33,47,24,72,143,174,319,38,40,79,0,3,5,0,0,3,40,48,87,620,623,1241,255,397,652,38,25,62,5322,4064,9385
POA3172,70,37,108,39,50,84,0,0,0,0,0,0,10,15,27,3795,2706,6497,248,384,633,53,0,53,15,0,15,29,3,30,28,26,55,42,52,96,4328,3269,7598,23,26,55,0,0,0,5,0,5,25,10,34,0,5,7,0,4,3,54,48,104,0,0,0,0,0,0,3,0,7,5,6,15,0,0,0,6,18,20,50,27,80,116,87,201,17,22,34,0,4,4,0,4,4,17,27,44,825,1082,1903,386,617,1000,30,16,40,5694,5088,10786
POA3173,92,63,155,35,48,88,6,0,6,0,0,0,20,19,41,5110,3684,8794,314,485,799,89,0,92,10,3,14,21,6,29,50,21,66,34,43,73,5780,4373,10152,23,24,49,0,0,0,0,4,0,42,25,70,4,5,8,0,0,4,72,58,137,0,0,0,0,0,0,0,0,3,4,8,12,4,3,9,10,10,27,52,35,88,135,110,245,31,34,56,0,3,5,0,0,0,31,38,64,1306,1481,2788,417,682,1102,33,21,54,7699,6696,14400
POA3174,235,308,544,55,116,172,0,0,0,0,0,0,43,47,91,6521,3920,10446,445,714,1158,94,0,102,28,0,33,34,11,43,80,48,124,49,95,139,7591,5260,12850,63,144,207,0,0,0,7,17,27,44,27,72,3,22,24,5,4,16,133,210,344,0,0,0,0,0,0,4,3,8,3,17,20,0,6,12,12,29,39,80,59,134,222,294,520,46,83,124,3,3,5,3,0,3,50,87,134,1128,1303,2435,552,815,1361,46,42,89,9591,7794,17381
POA3175,218,191,402,202,282,485,4,0,0,0,0,0,47,42,91,8629,4307,12932,483,713,1192,155,6,164,23,3,31,44,11,56,108,51,162,122,134,253,10035,5733,15769,58,116,176,0,0,0,8,3,10,39,21,60,4,9,10,10,8,10,111,157,273,0,0,0,0,0,0,11,12,21,14,34,43,7,13,17,34,54,92,84,30,113,233,243,473,52,55,103,5,3,10,0,3,3,52,57,114,1303,1457,2759,684,1020,1706,110,68,176,12415,8584,21005
POA3177,29,21,56,40,43,82,0,0,0,0,0,0,11,10,18,2031,901,2923,133,145,280,51,3,48,7,0,7,8,0,10,18,9,25,23,19,36,2344,1142,3495,5,14,20,0,0,0,3,0,3,6,9,10,3,0,4,0,0,0,14,22,34,0,0,0,0,0,0,0,0,4,3,4,5,0,3,5,5,7,12,23,8,30,42,41,84,4,11,16,0,0,5,0,0,0,4,11,18,159,249,410,148,172,320,37,17,54,2742,1643,4381
POA3178,57,37,96,31,52,82,0,0,0,0,0,0,14,10,24,5798,4373,10175,293,335,633,68,0,69,32,0,32,19,4,19,39,23,60,23,43,69,6381,4874,11253,12,22,36,0,0,0,0,3,5,60,23,83,0,3,7,0,4,4,80,54,131,0,0,3,0,0,0,9,0,10,9,5,13,0,0,3,17,13,26,47,20,66,147,77,226,23,21,43,0,0,0,0,0,0,23,22,40,2161,2483,4644,691,1257,1950,29,23,49,9425,8745,18168
POA3179,9,7,21,14,15,31,0,0,0,0,0,0,4,3,3,989,768,1753,57,75,128,12,3,12,7,0,8,4,0,7,8,5,7,12,14,25,1115,880,1998,0,0,0,0,0,0,0,0,0,8,3,16,0,0,0,0,0,0,8,7,20,0,0,0,0,0,0,0,0,0,8,4,10,3,0,3,8,5,12,15,4,15,35,15,49,0,8,8,0,0,0,0,0,0,0,8,5,366,374,737,124,191,316,11,5,20,1652,1481,3133
POA3180,16,13,23,13,18,33,0,0,0,0,0,0,0,5,3,1191,929,2117,39,95,135,8,0,8,7,0,5,3,0,7,14,7,19,16,20,40,1316,1079,2392,3,0,9,0,0,0,0,6,6,14,8,20,0,0,0,0,0,0,18,16,32,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,8,9,14,24,25,51,5,0,9,0,0,0,0,0,0,7,0,8,456,498,955,140,247,385,5,3,7,1942,1856,3794
POA3181,224,203,431,9,15,23,3,0,5,208,265,474,21,24,48,1841,1264,3108,61,100,160,8,0,8,50,3,55,169,71,239,26,25,48,368,457,822,2978,2436,5414,18,12,33,0,0,0,59,50,112,10,10,23,0,6,7,9,10,20,97,92,189,0,0,0,8,8,9,0,0,0,0,0,0,0,0,0,9,11,18,25,30,58,130,133,259,33,21,46,0,0,3,3,3,8,38,25,60,2788,2994,5778,529,787,1320,26,28,50,6492,6393,12883
POA3182,115,84,205,48,59,108,0,6,0,429,466,895,21,34,51,2241,1508,3755,95,145,235,11,0,11,88,9,100,216,110,320,39,36,76,305,382,689,3617,2835,6455,15,17,33,0,0,0,54,58,108,3,3,11,0,0,6,8,9,22,79,93,168,0,0,0,6,15,17,0,0,0,0,0,0,0,0,3,6,16,21,57,60,122,150,169,315,37,23,56,0,4,4,17,3,21,46,34,83,2656,3215,5870,606,915,1529,37,21,61,7120,7186,14308
POA3183,154,162,315,17,26,40,7,3,9,132,164,298,19,17,37,1828,1336,3161,62,144,206,9,0,9,49,5,57,128,63,189,30,23,49,187,215,397,2626,2152,4776,10,5,22,0,0,0,50,54,99,8,4,10,4,3,4,13,0,15,81,67,150,0,0,0,3,4,12,0,0,0,5,0,5,0,0,0,14,4,16,22,25,43,112,101,212,20,24,51,0,0,0,0,0,3,30,27,55,2028,2441,4466,498,693,1187,8,23,34,5299,5428,10733
POA3184,109,88,194,27,29,51,4,0,4,51,94,153,9,16,28,1644,1286,2925,58,64,123,12,0,12,26,4,32,144,80,218,12,9,29,100,140,239,2196,1810,4009,9,12,19,0,0,0,12,19,32,4,7,6,0,0,4,8,3,9,36,35,73,0,0,0,9,19,29,0,0,0,0,0,0,5,0,5,16,21,35,15,19,34,63,79,135,16,13,25,0,0,0,5,0,3,18,18,32,1809,2443,4253,333,646,979,20,11,28,4430,5004,9438
POA3185,164,154,317,7,28,33,0,0,0,23,26,47,5,9,13,1296,1012,2300,33,110,148,7,0,7,29,0,29,59,11,75,13,13,27,84,135,217,1722,1499,3219,12,10,21,0,0,0,12,23,39,9,4,17,0,0,4,10,5,11,42,41,85,0,0,0,0,0,5,0,0,0,0,3,3,0,0,0,0,5,5,14,7,20,57,57,112,11,9,19,0,6,6,0,0,3,12,11,24,1574,1772,3348,280,540,817,11,18,30,3653,3899,7553
POA3186,179,140,312,16,12,33,0,0,0,0,3,5,6,10,16,2148,1622,3769,72,124,202,13,0,13,15,0,13,81,17,100,23,19,40,121,157,279,2683,2109,4791,6,7,10,0,0,0,8,15,22,14,9,21,0,3,4,5,0,7,31,36,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,13,25,44,48,95,4,7,15,0,0,5,0,3,0,11,11,17,2519,2524,5043,484,759,1244,22,30,45,5755,5476,11235
POA3187,78,39,118,3,7,10,0,0,0,12,14,23,8,5,13,1614,1288,2903,76,112,185,17,0,17,16,0,19,46,17,60,17,9,25,45,58,103,1934,1549,3484,6,4,8,0,0,0,3,3,7,12,9,17,0,6,3,3,0,3,24,12,38,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,6,16,11,29,45,29,70,6,11,16,0,0,0,0,0,0,14,11,21,1718,1737,3455,360,544,904,12,14,27,4083,3882,7960
POA3188,129,100,237,13,15,30,0,0,0,3,0,3,5,9,9,1811,1436,3249,70,111,175,7,0,7,25,0,20,65,24,87,17,17,34,79,104,180,2228,1814,4043,11,9,26,0,0,0,3,9,11,4,9,17,3,3,3,3,0,4,27,30,60,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,5,20,18,39,54,50,101,6,8,12,0,0,0,0,0,0,6,9,15,2059,2068,4133,427,717,1141,19,18,42,4796,4673,9476
POA3189,46,27,74,9,11,26,0,0,0,0,0,0,3,4,5,761,627,1389,43,47,88,8,4,11,9,0,9,13,5,16,4,5,11,35,38,63,933,760,1692,6,12,16,0,0,0,0,0,0,0,3,6,0,0,4,3,0,4,14,20,31,0,0,0,0,0,0,0,0,0,4,0,4,0,3,3,3,3,4,8,3,14,24,26,47,3,4,6,0,0,0,0,0,0,3,5,7,550,567,1113,123,232,354,10,0,10,1639,1589,3224
POA3190,82,81,167,8,27,35,0,0,0,0,0,0,3,6,3,1383,1103,2488,54,85,138,10,0,10,13,0,13,35,7,40,10,8,20,63,75,138,1670,1381,3053,15,10,21,0,0,0,7,8,14,10,7,15,3,0,3,3,0,5,29,22,58,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,8,16,21,41,41,84,3,5,10,0,0,0,0,0,0,10,5,15,1181,1318,2502,266,481,748,14,4,19,3181,3233,6410
POA3191,67,64,134,5,11,18,0,0,0,0,0,0,7,0,5,1049,798,1846,37,69,102,10,0,10,10,0,10,37,8,51,10,8,16,47,81,125,1282,1036,2323,11,3,10,0,0,0,4,4,10,9,8,14,0,6,3,8,0,8,24,19,41,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,9,6,17,31,29,61,8,5,15,0,0,0,0,0,0,8,5,15,1166,1215,2374,239,414,654,16,12,27,2743,2704,5452
POA3192,132,129,259,35,48,88,0,0,0,0,0,0,5,7,16,2972,2256,5227,129,211,349,41,0,38,23,3,24,59,20,78,27,25,54,112,142,255,3535,2837,6372,16,12,34,0,0,0,12,13,25,18,10,28,4,4,11,7,0,5,52,42,93,0,0,0,0,0,0,0,0,0,0,3,4,0,4,0,0,4,13,32,17,46,89,67,154,15,17,29,0,0,0,4,0,7,17,20,36,2008,2254,4265,554,959,1512,22,8,28,6221,6149,12377
POA3193,54,34,83,10,18,25,0,0,0,0,0,0,3,0,4,2162,1742,3901,82,127,213,14,0,10,19,3,17,46,11,58,19,18,37,77,115,192,2477,2063,4545,16,5,24,0,0,0,0,0,0,20,14,35,3,7,7,0,3,6,37,36,75,0,0,0,0,0,0,0,0,0,5,4,5,0,0,3,5,3,12,18,20,36,57,54,112,8,4,12,0,0,0,0,0,0,8,7,16,2053,2094,4154,438,757,1196,23,23,43,5060,5002,10064
POA3194,86,80,161,25,22,46,3,0,3,0,0,0,10,7,10,1672,1383,3060,61,97,162,30,0,25,15,0,19,28,6,35,13,16,28,75,82,155,2004,1691,3696,17,14,27,0,0,0,3,5,13,7,4,14,0,7,7,8,4,11,33,41,71,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,3,5,8,11,22,42,52,95,9,4,13,0,0,0,0,0,0,6,4,15,1143,1344,2485,269,532,802,10,7,19,3473,3639,7109
POA3195,212,153,368,21,36,58,5,0,4,0,0,0,9,12,22,5074,4108,9186,229,306,536,77,0,77,29,5,36,88,26,120,27,17,49,115,170,284,5898,4846,10740,16,30,47,0,0,0,8,12,21,29,25,51,3,14,20,8,0,11,67,74,140,0,0,0,0,0,0,5,0,6,3,0,3,0,5,5,3,7,12,38,27,64,110,107,214,12,23,27,0,0,0,3,0,3,16,23,36,3026,3483,6513,845,1490,2338,35,31,67,9928,9975,19910
POA3196,101,96,202,17,22,38,4,0,3,0,0,7,18,14,31,3847,2974,6817,147,185,329,40,0,40,38,0,35,41,6,51,26,15,41,51,93,146,4334,3402,7734,39,44,82,0,0,0,7,0,12,23,13,35,4,7,6,11,0,9,78,65,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,7,23,21,45,106,83,193,21,29,52,0,0,0,0,0,3,22,27,53,1773,2328,4105,595,1117,1715,25,18,44,6860,6982,13841
POA3197,57,39,96,9,6,10,3,0,3,0,0,0,3,0,3,1958,1461,3421,83,103,186,26,0,26,6,0,6,19,3,17,8,7,19,20,30,51,2195,1653,3847,14,13,24,0,0,0,0,3,8,9,3,10,0,0,7,4,0,4,22,23,45,0,0,0,0,0,0,0,0,0,5,6,3,0,0,0,3,5,5,27,3,32,53,33,82,3,5,11,0,0,0,0,0,0,3,5,13,691,919,1614,251,471,718,22,14,32,3216,3094,6312
POA3198,66,53,122,24,16,45,3,0,0,0,0,0,5,0,13,2605,1962,4573,117,115,234,46,0,43,22,4,28,35,9,40,15,11,29,36,36,77,2987,2218,5205,17,18,32,0,0,0,5,0,7,7,5,13,0,3,4,7,0,7,37,30,61,0,0,0,0,0,0,0,0,3,3,0,3,0,3,3,5,3,5,21,6,31,60,39,106,12,3,10,0,0,0,0,0,0,10,3,16,784,1115,1900,359,692,1050,20,14,31,4229,4083,8309
POA3199,129,73,202,78,116,200,3,5,10,0,0,0,26,21,52,8228,6247,14470,461,478,948,113,0,116,52,4,62,75,31,100,54,36,89,213,224,436,9439,7234,16675,25,30,61,0,0,0,0,0,0,37,16,52,3,5,13,14,0,13,86,53,143,3,0,3,0,0,0,4,0,5,9,15,28,3,12,12,19,28,47,75,44,122,182,133,312,25,21,48,0,9,10,6,0,9,29,30,57,2506,3307,5819,1212,2301,3506,39,52,90,13411,13050,26461
POA3200,10,4,15,29,24,52,0,0,0,0,0,0,5,8,8,784,522,1302,48,44,88,12,0,16,11,0,10,7,0,7,11,4,12,7,9,18,914,616,1527,5,6,12,0,0,0,0,0,0,8,4,10,0,0,0,0,0,0,14,6,23,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,8,7,3,10,25,16,39,3,5,7,0,0,0,0,0,0,3,5,7,85,125,208,82,156,235,13,9,26,1117,921,2038
POA3201,37,22,57,37,36,74,10,0,8,0,0,0,11,11,18,4223,3130,7349,241,210,447,68,3,73,39,6,41,19,0,18,20,14,32,46,56,98,4743,3481,8224,15,12,27,0,0,0,0,0,0,20,9,25,0,4,5,0,0,3,38,19,57,0,0,0,0,0,0,5,0,5,4,11,10,0,0,0,8,11,19,35,19,55,81,55,136,12,14,18,0,3,6,0,0,0,10,15,27,568,1072,1641,420,826,1247,20,17,42,5840,5467,11311
POA3202,12,12,22,3,0,7,0,0,0,0,0,0,0,0,0,361,342,706,23,33,56,0,0,0,3,0,3,4,0,5,3,5,6,20,12,29,440,401,840,3,0,3,0,0,0,0,0,0,9,0,9,0,0,6,0,0,0,10,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7,0,4,9,11,19,0,0,5,0,0,0,0,0,0,0,0,5,226,211,434,56,107,161,0,0,0,739,722,1462
POA3204,346,312,657,50,51,99,0,0,0,7,10,15,14,12,25,3480,2948,6429,153,287,440,38,0,38,43,0,49,98,29,134,35,24,54,118,180,299,4379,3858,8238,59,33,91,0,0,0,30,35,64,37,17,56,7,16,19,11,9,15,138,111,246,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,6,12,34,22,57,166,144,314,24,28,59,0,4,4,0,0,0,24,35,59,3521,3591,7113,804,1222,2028,30,20,49,8933,8867,17796
POA3205,24,17,39,9,9,11,0,0,0,176,201,380,9,12,24,847,531,1380,38,67,105,4,0,4,24,3,25,111,43,150,24,15,32,294,281,574,1553,1184,2739,0,0,5,0,0,0,19,21,43,0,0,0,0,0,0,6,6,8,24,29,55,0,0,0,6,4,11,0,0,0,0,0,0,0,0,0,7,4,9,24,25,49,53,59,113,9,7,20,0,0,0,0,5,8,13,11,23,1482,1629,3104,227,396,626,9,3,11,3332,3283,6620
POA3206,3,4,8,0,0,3,0,0,0,94,84,179,11,4,16,864,542,1411,35,60,93,11,0,9,18,0,20,76,46,125,11,22,35,96,93,189,1219,854,2076,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,4,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,19,11,29,26,16,45,0,0,3,0,0,0,0,3,4,3,4,10,1154,1302,2465,197,347,540,7,18,25,2611,2551,5164
POA3207,13,8,23,41,35,80,0,0,0,96,117,220,13,17,28,1765,1147,2910,81,111,189,17,0,17,50,7,58,169,76,250,32,17,49,172,213,381,2446,1757,4199,4,3,4,0,0,0,7,6,19,0,0,4,0,0,0,0,0,0,15,16,29,0,0,0,14,14,23,5,0,5,0,4,4,0,5,5,14,21,36,27,35,60,62,71,130,6,11,16,0,6,5,0,0,5,17,13,29,1974,2498,4475,348,582,929,21,19,34,4862,4931,9792
POA3211,5,5,8,0,0,0,0,0,0,0,0,0,0,0,0,207,124,324,17,9,25,13,0,13,0,0,0,0,0,0,4,0,3,5,4,6,240,139,382,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,67,80,149,22,43,63,0,5,3,335,273,609
POA3212,77,56,132,6,15,24,0,0,4,0,0,0,3,6,8,3168,2483,5645,216,164,371,66,5,65,16,0,22,15,0,17,22,12,32,34,49,86,3619,2790,6412,0,13,17,0,0,0,5,7,9,24,5,32,0,7,7,10,0,10,37,37,67,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,3,5,4,34,21,55,71,55,127,9,13,20,0,0,0,0,0,0,9,13,23,699,969,1664,359,603,961,15,11,25,4773,4438,9212
POA3213,8,10,9,4,3,9,0,0,0,0,0,0,7,0,5,911,684,1593,44,89,137,30,0,33,3,0,3,3,0,3,5,0,6,26,10,33,1037,798,1834,0,0,5,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,3,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,9,17,7,28,0,0,0,0,0,0,0,0,0,0,0,0,159,227,381,101,156,253,10,3,13,1321,1188,2506
POA3214,34,25,61,55,109,162,0,0,0,0,0,0,26,22,45,3357,2442,5800,282,282,564,35,0,41,25,3,25,40,13,51,20,15,36,67,73,145,3948,2979,6928,0,14,12,0,0,0,0,4,4,13,10,18,0,0,3,3,0,3,15,27,39,0,0,0,0,0,0,0,0,0,7,11,20,0,3,7,10,19,26,41,26,65,62,66,135,3,7,12,4,7,4,0,0,0,9,9,19,258,448,702,364,579,941,67,34,100,4701,4132,8831
POA3215,37,26,63,25,72,101,0,0,0,0,0,0,22,20,45,3483,2765,6248,207,267,474,43,0,43,19,3,25,67,16,86,27,18,43,67,84,151,4008,3263,7270,3,5,8,0,0,0,7,5,4,10,9,19,0,0,0,5,0,5,22,16,39,0,0,0,0,0,0,6,0,10,7,3,14,0,6,13,11,14,28,33,14,56,68,49,118,3,4,10,3,0,3,0,0,0,12,4,11,775,1050,1827,395,754,1153,42,25,71,5299,5150,10451
POA3216,86,44,130,117,172,286,3,0,3,0,0,3,34,32,66,9561,7906,17475,543,674,1212,92,3,94,50,4,57,145,38,187,70,30,96,192,210,400,10888,9115,19998,5,7,10,0,0,0,3,3,8,29,16,45,0,4,10,11,0,10,54,37,90,0,0,0,0,0,0,11,0,11,8,11,25,7,8,17,24,29,52,79,42,128,157,104,267,14,12,28,9,10,11,0,3,3,26,22,42,2736,3136,5872,1348,2459,3807,49,47,99,15204,14885,30086
POA3217,44,26,71,22,37,60,4,0,4,0,0,0,9,12,20,3914,3324,7235,184,225,410,36,0,36,9,0,11,9,8,14,17,9,34,25,25,53,4291,3662,7955,0,0,5,0,0,0,3,0,3,13,0,10,0,0,0,0,3,6,20,8,27,0,0,0,0,0,0,0,4,10,0,5,9,0,0,3,5,12,18,30,18,50,61,40,96,10,4,12,3,5,8,0,0,0,7,10,14,966,1240,2201,464,899,1367,10,23,29,5800,5863,11660
POA3218,36,25,61,31,45,74,4,0,4,0,0,0,11,17,33,2387,1977,4364,104,165,267,19,0,19,16,6,16,67,24,86,10,8,18,127,134,256,2807,2395,5203,3,4,9,0,0,0,0,0,0,10,6,12,0,0,3,5,0,5,19,6,31,5,0,5,0,0,0,0,0,0,4,6,7,0,0,3,10,4,7,18,20,33,46,28,73,3,5,7,0,0,0,0,0,5,10,4,14,869,1051,1921,304,632,936,10,11,28,4045,4131,8176
POA3219,28,16,49,48,62,108,5,0,4,0,0,0,17,18,39,3131,2622,5753,217,211,432,41,0,41,23,6,29,74,35,108,19,12,40,80,113,186,3687,3095,6782,0,4,7,0,0,0,0,0,0,8,4,12,0,0,0,0,4,3,10,12,20,0,0,0,0,0,0,0,0,3,6,7,10,0,3,5,5,7,13,40,24,61,56,44,97,5,4,6,0,6,4,3,0,0,5,11,20,539,795,1332,387,755,1138,27,22,52,4705,4713,9419
POA3220,40,19,63,28,54,79,0,0,0,0,0,0,10,15,25,2414,1933,4352,117,184,300,26,0,26,20,4,26,82,35,113,11,11,21,315,412,723,3060,2677,5733,6,0,3,0,0,0,7,0,9,4,0,10,0,0,0,0,0,6,17,9,21,0,0,0,0,0,0,0,3,6,3,0,6,0,5,6,9,9,19,34,14,48,62,31,92,3,8,11,0,0,6,0,0,0,8,7,16,1011,1160,2170,383,666,1050,13,15,23,4534,4555,9091
POA3221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,105,240,7,6,16,4,0,8,0,0,0,0,0,0,0,0,0,4,3,8,160,121,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,52,51,100,15,29,41,5,0,5,229,195,419
POA3222,11,4,18,14,23,37,7,0,5,0,0,3,4,0,3,2788,2366,5151,161,158,316,43,0,42,13,0,12,21,6,26,18,15,36,54,46,109,3135,2622,5758,0,0,0,0,0,0,0,0,0,15,3,14,0,0,3,0,0,0,13,8,22,0,0,0,0,0,0,0,5,5,0,5,10,0,0,3,4,13,17,22,15,41,40,36,74,3,0,6,0,0,0,4,0,4,4,0,9,612,832,1436,407,691,1107,24,12,33,4223,4199,8416
POA3223,6,0,6,9,13,17,0,0,0,0,0,4,0,0,0,1024,843,1870,52,60,110,31,6,32,5,0,5,7,3,9,8,10,17,27,37,66,1184,968,2156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,6,13,14,9,25,0,0,0,0,0,0,0,0,5,0,3,5,368,446,810,171,291,454,18,11,29,1756,1727,3485
